"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Owner,Agenda Upload,Map Location,Weblink to Meeting Minutes/Summaries,Agenda Download,2010 House Districts,2010 Senate Districts,Counties
"Geology and Mineral Industries, Oregon Department of",Governing Board Meeting,DOGAMI Governing Board Meeting,03/22/2013 08:30:00 AM,03/22/2013 12:30:00 PM,"PSOB Suite 965, 800 NE Oregon St.", Portland,OR,See Agenda PDF.,yes,Carol DuVernois,971-673-1544,carol.duvernois@dogami.state.or.us,,,,Carol DuVernois,971-673-1544,carol.duvernois@dogami.state.or.us,,,,,http://www.oregongeology.org/sub/portoff/boardagenda-03-22-13.pdf,deb.schueller@dogami.state.or.us,,,http://www.oregongeology.org/sub/portoff/GovBrdMin.HTM,,,,
"Geology and Mineral Industries, Oregon Department of",Technical Review Team/Water Subcommittee Meeting,Calico Resources USA Technical Review Team/Water Subcommittee Meeting,10/22/2012 12:00:00 PM,10/22/2012 03:00:00 PM,725 Summer Street NE, Salem,OR,"Oregon Consolidated Application and Permitting Process – Chemical Process Mine
Calico Resources USA
Technical Review Team/Water Subcommittee Meeting
October 22, 2012
Water Resources Department – 3rd floor Conference Room
Check in at Water Resources Department front desk to be escorted to the 3rd floor
725 Summer Street NE, Salem, OR 97301
Noon – 3:00 pm - Pacific Daylight Time

The public can monitor the call by phone. The public can monitor the call by phone. To register, contact DOGAMI Offices in Albany at 541/967-2040.

You will be provided the call-in number when you register.
",no,ReNeea Gordon,(541) 967-2051,Reneea.J.Gordon@mlrr.OregonGeology.com,,,,,,,,,,,http://www.oregongeology.org/mlrr/noi/TRT_mtg_water_sub_agenda_10-22-12-DRAFT.pdf,deb.schueller@dogami.state.or.us,,,,,,,
"Geology and Mineral Industries, Oregon Department of",DOGAMI Governing Board Meeting,Oregon Department of Geology and Mineral Industries Governing Board Meeting,06/29/2012 08:30:00 AM,,"800 NE Oregon St., Ste. 965", Portland,OR,,,Carol DuVernois,,carol.duvernois@dogami.state.or.us,,,,,,,,,,,http://www.oregongeology.org/sub/portoff/boardagenda-06-29-2012.pdf,deb.schueller@dogami.state.or.us,,,,,,,
"Geology and Mineral Industries, Oregon Department of",DOGAMI Governing Board Meeting,DOGAMI Governing Board Meeting,04/23/2012 12:00:00 PM,,Teleconference, Portland,,"If you wish to attend this meeting by teleconference, please phone (201) 368 9209 and enter Participant code 225517.",,Carol DuVernois,(971) 673-1544,carol.duvernois@dogami.state.or.us,http://www.oregongeology.org/sub/portoff/GovBrd.HTM,,,Carol DuVernois,(971) 673-1544,carol.duvernois@dogami.state.or.us,,,(201) 368 9209,225517,http://www.oregongeology.org/sub/portoff/boardagenda-04-23-12.pdf,deb.schueller@dogami.state.or.us,,,,,,,
"Geology and Mineral Industries, Oregon Department of",Calico TRT meeting,Technical Review Team Water Resources Subcommittee Meeting,01/22/2014 02:00:00 PM,01/22/2014 04:00:00 PM,telephone conference call, Albany,OR,"The public can monitor the call by phone. To register, contact DOGAMI Offices in Albany at 541-967-2040. You will be provided the call-in number when you register. The public can also monitor the call in person from the DOGAMI Portland offices at 800 NE Oregon, Suite 965, Portland, OR.
Also see agenda.",yes,ReNeea Gordon,541-967-2040,Reneea.J.Gordon@mlrr.OregonGeology.com,,,,ReNeea Gordon,541-967-2040,Reneea.J.Gordon@mlrr.OregonGeology.com,,,,,http://www.oregongeology.org/mlrr/noi/TRT-water-sub-01-22-14-agenda.pdf,deb.schueller@dogami.state.or.us,,,,,,,
"Geology and Mineral Industries, Oregon Department of",Calico TRT Meeting,Calico Technical Review Team Meeting,02/25/2013 11:00:00 AM,02/25/2013 04:00:00 PM,"DEQ Salem Offices, 750 Front Street, NE", Salem,OR,"The public can monitor the call by phone. To register, contact the DOGAMI Offices in Albany at 541-967-2040. You will be provided the call-in number when you register.",,ReNeea Gordon,541-967-2051,ReNeea.J.Gordon@mlrr.oregongeology.com,,,,ReNeea Gordon,541-967-2051,ReNeea.J.Gordon@mlrr.oregongeology.com,,,,,http://www.oregongeology.org/mlrr/noi/TRT-agenda-02-25-13-draft-rev.pdf,deb.schueller@dogami.state.or.us,,,,,,,
"Geology and Mineral Industries, Oregon Department of",Calico TRT meeting,Calico Technical Review Team meeting,06/11/2013 11:00:00 AM,06/11/2013 04:00:00 PM,"DEQ offices ÛÒ 750 Front Avenue, NE, Suite 120", Salem,OR,"See agenda link.

The public can monitor the call by phone. To register, contact the DOGAMI Offices in Albany at 541-967-2040. You will be provided the call-in number when you register.",,ReNeea Gordon,(541) 967-2040,ReNeea.J.Gordon@mlrr.oregongeology.com,,,,ReNeea Gordon,(541) 967-2040,ReNeea.J.Gordon@mlrr.oregongeology.com,,,,,http://www.oregongeology.org/mlrr/noi/TRT-agenda-06-11-13.pdf,deb.schueller@dogami.state.or.us,,,,,,,
"Geology and Mineral Industries, Oregon Department of","OAR 632, Div. 10 - Notice of Proposed Rulemaking Hearing","OAR 632, Div. 10 - Notice of Proposed Rulemaking Hearing",11/15/2012 01:00:00 PM,10/26/2012 03:00:00 PM,"DOGAMI Albany Office, 229 Broadalbin St., SW", Albany,OR,"OAR 632, Div. 10 - Notice of Proposed Rulemaking Hearing: Oil and Gas Rules

Rule caption: Adopt revised rule language that addresses ORS 520 revisions.

The last day for public comment is November 28, 2012.

Notice: 
http://www.oregongeology.org/mlrr/rules/Div_10_Notice_Rule_Hearing_10-23-12.pdf

Draft Rules: 
http://www.oregongeology.org/mlrr/rules/Div_10_Final_Draft_09-07-2012.pdf",yes,ReNeea Gordon,541-976-2051,Reneea.J.Gordon@mlrr.OregonGeology.com,http://www.oregongeology.org/mlrr/regulations.htm,,,,,,,,,,,deb.schueller@dogami.state.or.us,,,,,,,
"Geology and Mineral Industries, Oregon Department of","OAR 632, Div. 15 - Notice of Proposed Rulemaking Hearing","OAR 632, Div. 15 - Notice of Proposed Rulemaking Hearing",11/15/2012 03:00:00 PM,11/26/2012 05:00:00 PM,"DOGAMI Albany Office, 229 Broadalbin St., SW", Albany,OR,"OAR 632, Div. 15 - Notice of Proposed Rulemaking Hearing
Oil and Gas Information and Seismic Test Holes

Rule caption: Adopt revised rule language that addresses ORS 520 revisions.

The last day for public comment is November 28, 2012.

Notice: 
http://www.oregongeology.org/mlrr/rules/Div_15_Notice_Rule_Hearing_10-23-12.pdf

Draft Rules: 
http://www.oregongeology.org/mlrr/rules/Div_15_Final_Draft_09-06-12.pdf",yes,ReNeea Gordon,541-976-2051,Reneea.J.Gordon@mlrr.OregonGeology.com,http://www.oregongeology.org/mlrr/regulations.htm,,,,,,,,,,,deb.schueller@dogami.state.or.us,,,,,,,
"Geology and Mineral Industries, Oregon Department of",Calico Resources TRT Meeting,Calico Resources USA Technical Review Team Meeting,03/08/2013 02:00:00 PM,03/08/2013 03:00:00 PM,telephone conference call, Albany,OR,"The public can monitor the call by phone. To register, contact the DOGAMI Offices in Albany at 541/967-2040. You will be provided the call-in number when you register.

The public can also monitor the call in person at the DOGAMI Portland Offices, 800 NE Oregon, Suite 965, Portland, OR 97232.

Also see agenda.",,ReNeea Gordon,(541) 967-2051,ReNeea.J.Gordon@mlrr.oregongeology.com,,,,ReNeea Gordon,(541) 967-2051,ReNeea.J.Gordon@mlrr.oregongeology.com,,,,,http://www.oregongeology.org/mlrr/noi/TRT-agenda-03-08-13-draft.pdf,deb.schueller@dogami.state.or.us,,,,,,,
"Geology and Mineral Industries, Oregon Department of",Governing Board Teleconference,DOGAMI Governing Board Teleconference,02/15/2013 11:00:00 AM,02/15/2013 12:00:00 PM,"800 NE Oregon St, Suite 965", Portland,OR,"If you wish to attend this meeting by teleconference, please phone (201) 368 9209 and enter Participant code 225517. If you wish to attend in person please come to:

Portland State Office Building
800 NE Oregon St, Suite 965
Portland OR 97232",yes,Carol DuVernois,971-673-1544,carol.duvernois@dogami.state.or.us,,http://www.oregongeology.org/sub/portoff/gmap-Portlandoffice.htm,,Carol DuVernois,971-673-1544,carol.duvernois@dogami.state.or.us,,,201-368-9209,225517,http://www.oregongeology.org/sub/portoff/boardagenda-02-15-2013.pdf,deb.schueller@dogami.state.or.us,,,http://www.oregongeology.org/sub/portoff/GovBrdMin.HTM,,,,
"Geology and Mineral Industries, Oregon Department of",Governing Board Meeting,DOGAMI Governing Board Public Meeting,09/28/2012 08:30:00 AM,09/28/2012 12:15:00 PM,"Ontario Community Library, 388 S.W. 2nd Avenue", Ontario,OR,See agenda.,,Carol Duvernois,,carol.duvernois@dogami.state.or.us,,,,Carol Duvernois,,carol.duvernois@dogami.state.or.us,,,,,http://www.oregongeology.org/sub/portoff/boardagenda-09-28-2012.pdf,deb.schueller@dogami.state.or.us,,,http://www.oregongeology.org/sub/portoff/GovBrdMin.HTM,,,,
"Geology and Mineral Industries, Oregon Department of",Calico Resources Meeting,Calico Resources Project Coordinating Committee Meeting,10/17/2012 09:30:00 AM,10/17/2012 12:00:00 PM,"Four Rivers Cultural Center, 676 Southwest 5th Avenue, Ontario, OR 97914", Ontario,OR,"Oregon Consolidated Application and Permitting Process – Chemical Process
Mines - Calico Resources USA
Project Coordinating Committee Meeting

October 17, 2012

Four Rivers Cultural Center
Malheur River Room
676 Southwest 5th Avenue, Ontario, OR 97914

9:30 – noon - Mountain Daylight Time
(8:30 – 11:00 am - Pacific Daylight Time)

The public can monitor the meeting at the DOGAMI offices, 800 NE Oregon, Suite 965,
Portland, OR. The call will be closed if no member of the public is interested in monitoring the call within the first 30 minutes of the meeting. 

The meeting will be tape recorded and a summary of the meeting will be prepared.

Reasonable accommodation, such as assisted hearing devices, sign language interpreters, and
materials in large print or audiotape, will be provided as requested. In order to ensure
availability, please contact the DOGAMI Mined Land Regulation and Reclamation Office at
(541) 967-2040 at least 72 hours prior to the meeting to make your request. Services for persons
with a hearing or speech disability are available by dialing 711.

ADDITIONAL INFORMATION
More about the Oregon Consolidated Application and Permitting process is posted at
http://www.oregongeology.org/mlrr/chemicalprocessmining.htm
A copy of the proposed baseline data collection methodologies for environmental, cultural, and
economic issues is available at http://www.oregongeology.org/mlrr/chemicalprocess_Calico-
GrassyMtn.htm",yes,ReNeea Gordon,(541) 967-2051,Reneea.J.Gordon@mlrr.OregonGeology.com,,,,,,,,,,,http://www.oregongeology.org/mlrr/noi/Calico-PCC_mtg_agenda-DRAFT-10-17-12.pdf,deb.schueller@dogami.state.or.us,,,,,,,
"Geology and Mineral Industries, Oregon Department of",Governing Board Meeting,DOGAMI Governing Board Meeting,12/07/2012 08:30:00 AM,12/07/2012 11:30:00 AM,"Portland State Office Building (PSOB), 800 NE Oregon St., Suite 965", Portland,OR,"Agenda: 
http://www.oregongeology.org/sub/portoff/boardagenda-12-07-12.pdf",,Carol DuVernois,(971) 673-1544,carol.duvernois@dogami.state.or.us,,http://www.oregongeology.org/sub/portoff/gmap-Portlandoffice.htm,,Carol DuVernois,(971) 673-1544,carol.duvernois@dogami.state.or.us,,,,,http://www.oregongeology.org/sub/portoff/boardagenda-12-07-12.pdf,deb.schueller@dogami.state.or.us,,,http://www.oregongeology.org/sub/portoff/GovBrdMin.HTM,,,,
"Geology and Mineral Industries, Oregon Department of",Governing Board Meeting,DOGAMI Governing Board Meeting,09/26/2013 08:30:00 AM,09/26/2013 12:30:00 PM,500 Summer St. NE, Salem,OR,"Next Governing Board meeting
Sept. 26, 8:30 am to 12:30 pm
Health Services Building, Room 137D
500 Summer St. NE, Salem, OR

Joint meeting with LCDC afterwards:
635 Capitol St Ag Bldg
Basement hearing room",yes,Carol DuVernois,(971) 673-1544,carol.duvernois@dogami.state.or.us,,,,Carol DuVernois,(971) 673-1544,carol.duvernois@dogami.state.or.us,,,,,http://www.oregongeology.org/sub/portoff/boardagenda-09-26-2013.pdf,deb.schueller@dogami.state.or.us,,,http://www.oregongeology.org/sub/portoff/GovBrdMin.HTM,,,,
"Geology and Mineral Industries, Oregon Department of",Governing Board Meeting,Teleconference - Governing Board Meeting,07/15/2014 08:00:00 AM,07/15/2014 12:00:00 PM,Teleconference, Portland,OR,Agenda TBA,,Carol DuVernois,971-673-1544,carol.duvernois@state.or.us,,,,Carol DuVernois,971-673-1544,carol.duvernois@state.or.us,,,,,http://www.oregongeology.org/sub/portoff/boardagenda-07-15-2014.pdf,deb.schueller@dogami.state.or.us,,,http://www.oregongeology.org/sub/portoff/GovBrdMin.HTM,,,,
"Geology and Mineral Industries, Oregon Department of",Calico Resources USA TRT Meeting and TRT Water Resource Subcommittee Meeting,Technical Review Team Meeting and TRT Water Resources Subcommittee Meeting ,03/30/2015 01:00:00 PM,03/30/2015 03:00:00 PM,"teleconference; monitor at 800 NE Oregon, Suite 965",Portland,OR,"The Technical Review Team for the Calico Resources proposed gold mine in Malheur County will meet by teleconference on March 30 from 1 p.m. to 2 p.m. PST, followed by a teleconference meeting of the Water Resources Subcommittee from 2 p.m. to 3 p.m. PST.

The public and media may listen to the meeting in person at the Oregon Department of Geology and Mineral Industries (DOGAMI) Portland offices, 800 NE Oregon St., Ste. 965, or listen by phone. For call-in instructions, contact the DOGAMI offices in Albany at 541-967-2040.",,ReNeea Lofton,541-967-2040,ReNeea.Lofton@mlrr.oregongeology.com,,,,ReNeea Lofton,541-967-2040,ReNeea.Lofton@mlrr.oregongeology.com,,,,,http://www.oregongeology.org/mlrr/noi/TRT-agenda-03-30-15.pdf,,,,,,,,
"Geology and Mineral Industries, Oregon Department of",Calico Resources Technical Review Team Meeting,Calico Resources Technical Review Team Meeting,12/13/2012 11:00:00 AM,12/13/2012 04:00:00 PM,"Salem Conference Center, Croisan Creek Room - C, 200 Commercial Street SE", Salem,OR,"Agenda PDF: http://www.oregongeology.org/mlrr/noi/TRT-mtg-agenda-12-13-12-DRAFT.pdf

Location:
Salem Conference Center, Croisan Creek Room - C, 200 Commercial Street SE - Salem, OR 97301",,ReNeea Gordon,(541) 967-2051,Reneea.J.Gordon@mlrr.OregonGeology.com,,,,,,,,,,,http://www.oregongeology.org/mlrr/noi/TRT-mtg-agenda-12-13-12-DRAFT.pdf,deb.schueller@dogami.state.or.us,,,,,,,
"Geology and Mineral Industries, Oregon Department of",Governing Board Meeting,DOGAMI Governing Board Meeting,12/07/2012 08:30:00 AM,12/07/2012 12:15:00 PM,"Portland State Office Building (PSOB), 800 NE Oregon St., Suite 965", Portland,OR,"AGENDA
The Board meeting will begin at 8:30 am, and proceed chronologically through the agenda.
PUBLIC TESTIMONY
If you wish to give testimony on any item scheduled on this agenda, please sign up on the sheets provided on the day of the meeting and you will be called to testify by the Board Chair. The Board places great value on information received from the public. Persons desiring to testify or otherwise present information to the Board are encouraged to:
1. Provide written summaries of information to the Board (6 sets);
2. Limit testimony to 3 minutes, recognizing that substance, not length, determines the value of testimony or written information;
3. Endorse rather than repeat testimony of other witnesses; and
4. Designate one spokesperson whenever possible when groups or organizations wish to testify.
THANK YOU FOR TAKING TIME TO PRESENT YOUR VIEWS
If you bring written materials to the meeting, please provide six (6) copies. If you have questions regarding this agenda, please contact Carol DuVernois at (971) 673-1544 or you may email her at carol.duvernois@dogami.state.or.us.
REASONABLE ACCOMMODATION OF DISABILITIES
Reasonable accommodation, such as assisted hearing devices, sign language interpreters, and materials in large print or audiotape, will be provided as requested. In order to ensure availability, please contact the Director's Office at (971) 673-1555 at least 72 hours prior to the meeting to make your request.",yes,Carol DuVernois,(971) 673-1544,carol.duvernois@dogami.state.or.us,,http://www.oregongeology.org/sub/portoff/gmap-Portlandoffice.htm,,Carol DuVernois,(971) 673-1544,carol.duvernois@dogami.state.or.us,,,,,http://www.oregongeology.org/sub/portoff/boardagenda-12-07-12.pdf,deb.schueller@dogami.state.or.us,,,http://www.oregongeology.org/sub/portoff/GovBrdMin.HTM,,,,
