"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Owner,Agenda Upload,Map Location,Weblink to Meeting Minutes/Summaries,Agenda Download,2010 House Districts,2010 Senate Districts,Counties
"Health Authority, Oregon",Public Health Advisory Board Accountability Metrics Subcommittee,,08/25/2016 02:00:00 PM,08/25/2016 03:00:00 PM,Webinar only, Portland,OR,"What: A public meeting of the Public Health Advisory Board’s Accountability Metrics Subcommittee. The meeting will be held by webinar only.

Agenda: Discuss applicability of child and family well-being, Healthy People 2020, Oregon’s State Health Improvement Plan, Winnable Battles and NACCHO Profile measures to state and local health departments; review accountability measure public input survey draft; discuss next steps.

When: Thursday, August 25, 2-3 p.m. A 10-minute public comment period is scheduled at 2:50 p.m.; comments may be limited to three minutes. 

Where: By webinar at https://attendee.gotowebinar.com/register/6661354190155385345. The public also may attend by a telephone conference call line at 888-251-2909, access code 8975738#.

Oregon’s Public Health Advisory Board provides guidance for Oregon’s governmental public health system and oversees the implementation of public health modernization and Oregon’s State Health Improvement Plan. The Accountability Metrics Subcommittee develops recommendations about public health quality measures for consideration by the Public Health Advisory Board.

More information, including agendas, meeting packets and minutes, is available on the board’s website at http://public.health.oregon.gov/About/Pages/ophab.aspx.

Program contact: Cara Biddlecom, 971-673-2284; cara.m.biddlecom@state.or.us

# # #

",Yes,Cara Biddlecom,971-673-2284,cara.m.biddlecom@state.or.us,,,,,,,,,,,,,,,http://public.health.oregon.gov/About/Pages/ophab.aspx,,,,
"Health Authority, Oregon",Public Health Advisory Board Accountability Metrics Subcommittee,,08/25/2016 02:00:00 PM,08/25/2016 03:00:00 PM,Webinar only, Portland,OR,"What: A public meeting of the Public Health Advisory Board’s Accountability Metrics Subcommittee. The meeting will be held by webinar only.

Agenda: Discuss applicability of child and family well-being, Healthy People 2020, Oregon’s State Health Improvement Plan, Winnable Battles and NACCHO Profile measures to state and local health departments; review accountability measure public input survey draft; discuss next steps.

When: Thursday, August 25, 2-3 p.m. A 10-minute public comment period is scheduled at 2:50 p.m.; comments may be limited to three minutes. 

Where: By webinar at https://attendee.gotowebinar.com/register/6661354190155385345. The public also may attend by a telephone conference call line at 888-251-2909, access code 8975738#.

Oregon’s Public Health Advisory Board provides guidance for Oregon’s governmental public health system and oversees the implementation of public health modernization and Oregon’s State Health Improvement Plan. The Accountability Metrics Subcommittee develops recommendations about public health quality measures for consideration by the Public Health Advisory Board.

More information, including agendas, meeting packets and minutes, is available on the board’s website at http://public.health.oregon.gov/About/Pages/ophab.aspx.

Program contact: Cara Biddlecom, 971-673-2284; cara.m.biddlecom@state.or.us

# # #

",Yes,Cara Biddlecom,971-673-2284,cara.m.biddlecom@state.or.us,,,,,,,true,https://attendee.gotowebinar.com/register/6661354190155385345,1-888-251-2909,8975738#,,,,,http://public.health.oregon.gov/About/Pages/ophab.aspx,,,,
"Health Authority, Oregon",Administrative Rule Hearing Re: Ambulatory Surgical Center (ASC) Circulatory Nurse Requirements,Public hearing for rulemaking regarding amending rules pertaining to Ambulatory Surgical Center (ASC) Circulatory Nurse Requirements,08/25/2016 10:30:00 AM,08/25/2016 10:30:00 AM,"Portland State Office Building, 800 NE Oregon Street, Room 1B", Portland,OR,To take public comment regarding proposed changes related to the Ambulatory Surgical Center (ASC) Circulatory Nurse Requirements.  Proposed rules can be located at: http://public.health.oregon.gov/ProviderPartnerResources/HealthcareProvidersFacilities/HealthcareHealthCareRegulationQualityImprovement/Pages/proposedrules.aspx,"Yes and written comment will be accetped until 5pm August 26, 2016",Tracy Candela,971-673-0561,publichealth.rules@state.or.us,,,,,,,,,,,,,,,,,,,
Medical Assistance Program Administration,Rule Advisory Committee - Psychiatric Emergency Services,Meeting to discuss proposed rule changes effective 1/1/2017. The RAC was formed 7/1/2016.,08/25/2016 10:00:00 AM,08/25/2016 01:00:00 PM,"Barbara Roberts Human Services Building, 500 Summer St NE, Room 137BC", Salem,OR,"Topics for discussion:
*309-032-XXXX - Standards for Psychiatric Emergency Services
*309-033-0400 - Standards for Transportation of persons relating to Psychiatric Emergency Services
*410-125-0360 - Definitions and billing requirements.
*410-172-0600 - Making payment possible. 
",,"Justin Hopkins, Contracts and Compliance Director",503-945-7818,justin.hopkins@state.or.us,,,,,,,,,1-866-390-1828,639037,,,,,,"I:\Admin Rules- DMAP Program\RAC\RACs for 2016\8.25.16 PES\RAC Notification - Psychiatric Emergency Services, 8-25-2016.pdf (https://data.oregon.gov/views/gs36-7t8m/files/201c669c-a474-4eb9-bd67-c1feb9cc7c8f?download=true&filename=I:\Admin%20Rules-%20DMAP%20Program\RAC\RACs%20for%202016\8.25.16%20PES\RAC%20Notification%20-%20Psychiatric%20Emergency%20Services,%208-25-2016.pdf)",,,
Broadband Advisory Council,Broadband Advisory Council,regular council meeting,08/25/2016 09:15:00 AM,08/25/2016 12:15:00 PM,virtual meeting, Salem,OR,,Yes,Chris Tamarin,503-508-0178,christopher.tamarin@oregon.gov,,,,,,,,,,,,,,,http://www.orinfrastructure.org/Infrastructure-Programs/Telecommunications/OBAC/2016meetings.php,,,,
Environmental Quality Dept.,Stakeholder Meeting for 1200-Z Permit,,08/25/2016 09:00:00 AM,08/25/2016 12:00:00 PM,"DEQ HQ, 811 SW 6th Avenue", Portland,OR,"Conference Room EQC-A (10th Floor)

Teleconference: 888-363-4734 or 215-446-3656, access code 2045600  
 Webinar (no audio): https://www.connectmeeting.att.com
 Meeting number 888-363-4734, access code 2045600",,Erich Brandstetter,,brandstetter.erich@deq.state.or.us,,,,,,,,,,,,,,,,,,,
"Health Authority, Oregon",Nurse Staffing Open House,Information about Oregon's nurse staffing laws and how the Oregon Health Authority administers those laws.,08/25/2016 09:00:00 AM,08/23/2016 11:00:00 AM,"800 NE Oregon Street, Room 1D", Portland,OR,,,Anna Davis,971-673-2950,anna.l.davis@state.or.us,,,,,,,true,https://www.youtube.com/watch?v=ouypUJ-xN88,,,https://public.health.oregon.gov/ProviderPartnerResources/HealthcareProvidersFacilities/HealthcareHealthCareRegulationQualityImprovement/Documents/NSOpenHouseAgendaAugust2016.pdf,,,,,,,,
Lake ESD,Monthly Board Meeting,Regular meeting of the ESD Board of Directors.,08/24/2016 07:00:00 PM,08/24/2016 08:30:00 PM,Lake County ESD, Lakeview,OR,,,Debbie Goss,541-947-3371,dgoss@lakeesd.k12.or.us,,,,,,,,,,,,,,,,8-24-16.pdf (https://data.oregon.gov/views/gs36-7t8m/files/3b677288-f7d2-4f9e-84ab-bd99a366d50a?download=true&filename=8-24-16.pdf),,,
"Treasurer, Oregon State",ORSP - Marketing Services Provider Procurement Conference Call,Discuss the procurement process for Marketing Services in support ot the Plans needs and to review an authorization request from Staff to proceed with this procurement.,08/24/2016 03:00:00 PM,08/24/2016 03:30:00 PM,Conference Call, Salem,OR,,,Missy Simpson,503-373-7453,missy.simpson@ost.state.or.us,,,,,,,,,877.336.1828,1691288,,,,,,ORSP Board Notice - 08.24.16.pdf (https://data.oregon.gov/views/gs36-7t8m/files/ede38553-1612-461e-8bb9-71f091003c66?download=true&filename=ORSP%20Board%20Notice%20-%2008.24.16.pdf),,,
Travel Information Council,OTIC Finance Committee,"Review, discuss, and make recommendations on agency finances.",08/24/2016 02:00:00 PM,08/24/2016 04:00:00 PM,"OTE Administrative Office, 1500 Liberty St SE, Suite 150", Salem,OR,,,Nancy DeSouza,503-373-1042,nancyd@oregonte.com,,,,,,,,,,,,,,,,,,,
"Trawl Commission, Oregon",Marketing Strategies 8-24-16 and Regular Business Meeting  8-25-16 ,August 24 @ 1pm the OTC will conduct it's 1st Marketing Strategies meeting,08/24/2016 01:00:00 PM,08/25/2016 04:00:00 PM,Agate Beach Inn, Newport,OR,"The Marketing meeting will be held at the Sea Grant meeting room on 1211 SE Bay Blvd Newport Or starting at 1 p.m. lasting until 4 p.m.

The Regular meeting will be at the Agate Beach Inn ""Cove Gallery"" meeting room starting at 9 a.m. lasting until 4 p.m.",yes,Kathy Hall,541-469-7830,kathy@ortrawl.org,,,,,,,,,,,,,,,,,,,
Independent Living Council,Executive Committee,Approve State Plan technical clarification,08/24/2016 12:00:00 PM,08/24/2016 12:15:00 PM,"Room 257, 500 Summer St NE", Salem,OR,"Please call for specifics on parking and meeting room. Accommodations, including the provision of interpreters, assistive listening devices, and materials in alternate formats are available upon request. Every effort will be made to arrange accommodations prior to the meeting.  If you would like to receive this announcement in an alternate format, or need information about accommodations, please contact SILC staff at 503-945-7015.",No,Joette Fitch,503-945-7015,joette.l.fitch@state.or.us,,"https://www.google.com/maps/place/500+Summer+St+NE,+Salem,+OR+97301/@44.9427218,-123.0295127,577m/data=!3m1!1e3!4m5!3m4!1s0x54bfff103abbee0d:0x18f935b5c0c86a9a!8m2!3d44.942718!4d-123.027324",,Joette Fitch,503-945-7015,joette.l.fitch@state.or.us,,,,,,,,,,,,,
"Forestry, State Board of",Board of Forestry Executive Session ,Employment of Chief Executive Officer,08/24/2016 12:00:00 PM,08/24/2016 04:30:00 PM,Clatsop Room 2600 State St. , Salem,OR,,No,Jenna Nelson,,Jenna.a.nelson@oregon.gov,,,,,,,,,,,,,,,,BOFMIN_20160824_20160907_NOTICE.pdf (https://data.oregon.gov/views/gs36-7t8m/files/3c021020-9978-4823-bb54-c333b4ca43a4?download=true&filename=BOFMIN_20160824_20160907_NOTICE.pdf),,,
Independent Living Council,Executive Committee,Approve State Plan technical clarification,08/24/2016 12:00:00 PM,08/24/2016 12:15:00 PM,"Room 257, 500 Summer St NE", Salem,OR,"Please call for specifics on parking and meeting room. Accommodations, including the provision of interpreters, assistive listening devices, and materials in alternate formats are available upon request. Every effort will be made to arrange accommodations prior to the meeting.  If you would like to receive this announcement in an alternate format, or need information about accommodations, please contact SILC staff at 503-945-7015.",No,Joette Fitch,503-945-7015,joette.l.fitch@state.or.us,,"https://www.google.com/maps/place/500+Summer+St+NE,+Salem,+OR+97301/@44.9427218,-123.0295127,577m/data=!3m1!1e3!4m5!3m4!1s0x54bfff103abbee0d:0x18f935b5c0c86a9a!8m2!3d44.942718!4d-123.027324",,Joette Fitch,503-945-7015,joette.l.fitch@state.or.us,,,,,,,,,,,,,
"Health Authority, Oregon",School facilities webinar,,08/24/2016 12:00:00 PM,08/24/2016 01:00:00 PM,Webinar only,N/A,OR,"Oregon state education leaders have adopted new rules for lead test planning in schools. Tune in to a live webinar to learn how these steps help Oregon students and families, and what state agencies are doing by joining us online at noon, August 24 at https://www.youtube.com/watch?v=F9bBd0vmQHU. The Oregon Health Authority will co-host with the Oregon Department of Education. The webinar will be available live and posted to the new OHA Healthy Schools website at http://www.healthoregon.org/healthyschools following the live presentation.

What: The Healthy School Facilities webinar presentation will recap what has happened to date to support healthy school facilities; clarify what the new rules mean; and outline next steps as the new school year begins. Questions related to school testing and new education rules can be emailed to HealthySchool.Facilities@state.or.us, and will be answered in the order they’re received during the webinar.

When: Noon, August 24. Tune in live at https://www.youtube.com/watch?v=F9bBd0vmQHU

Who: The webinar is open to everyone, and aims to support school administrators, principals, staff, parents and families and others interested in learning more about state solutions.

More information:
-- Oregon Department of Education rule adoption page: http://www.ode.state.or.us/search/page/?id=5565
-- OHA website for lead exposure and testing: https://public.health.oregon.gov/HealthyEnvironments/HealthyNeighborhoods/LeadPoisoning/Pages/index.aspx
-- OHA website for radon testing in schools: http://public.health.oregon.gov/HealthyEnvironments/HealthyNeighborhoods/RadonGas/Pages/index.aspx
-- Information on statewide plan for reducing student exposure to lead in drinking water: https://public.health.oregon.gov/HealthyEnvironments/HealthyNeighborhoods/LeadPoisoning/ChildCareSchools/Documents/schools-lead-in-drinking-water.pdf

# # #

",,Tony Andersen,,PHD.Communications@state.or.us,,,,,,,true,https://www.youtube.com/watch?v=F9bBd0vmQHU,,,,,,,,,,,
Construction Contractors Board,CANCELLED: August 24 Construction Contractors Board Meeting,Board Meeting,08/24/2016 09:30:00 AM,08/24/2016 11:00:00 AM,201 High St. SE, Salem,OR,This meeting of the CCB Board has been cancelled. See our website: http://www.oregon.gov/CCB/board/Pages/board-info.aspx,Yes,Leslie Culpepper,503-934-2228,leslie.culpepper@state.or.us,,,,Leslie Culpepper,503-934-2228,leslie.culpepper@state.or.us,,,,,http://www.oregon.gov/CCB/board/Pages/board-info.aspx,,,,http://www.oregon.gov/CCB/board/Pages/minutes.aspx,,,,
"Health Authority, Oregon",SB231 Primary Care Payment Reform Collaborative Meeting,,08/23/2016 01:00:00 PM,08/23/2016 04:00:00 PM,Ambridge Event Center: 1333 NE MLK Jr. Blvd., Portland,OR,http://www.oregon.gov/oha/Transformation-Center/Pages/SB231-Primary-Care-Payment-Reform-Collaborative.aspx,Yes,Thomas Cogswell,,thomas.cogswell@state.or.us,,,,,,,,,866-390-1828,4628003,,,,,,C:\Users\OR0199065\Dropbox (TC)\Transformation Center\APM\SB231\Committee\Meetings\8.23.16\Agenda\SB231 8-23-16 Agenda-final.docx (https://data.oregon.gov/views/gs36-7t8m/files/3af4feec-d41d-42c7-b2e1-53674cd93acd?download=true&filename=C:\Users\OR0199065\Dropbox%20(TC)\Transformation%20Center\APM\SB231\Committee\Meetings\8.23.16\Agenda\SB231%208-23-16%20Agenda-final.docx),,,
Columbia Gorge ESD,4RELH Governance Board Meeting,,08/23/2016 10:00:00 AM,08/23/2016 12:00:00 PM,66364 Lonerock Road, Moro,OR,,,Cindy Johnson,,cjohnson@cgesd.k12.or.us,,,,,,,,,,,,,,,,,,,
Transportation Department,Bicycle and Pedestrian Advisory Committee (OBPAC),OBPAC acts a liaison between the public and ODOT on the bicycle and pedestrian transportation system.,08/23/2016 09:30:00 AM,08/23/2016 03:00:00 PM,"ODOT Mill Creek Building, 555 13th St. NE Room Mt. McLoughlin", Salem,OR,"This committee, appointed by the governor, acts as a liaison between the public and ODOT. They advise ODOT in the regulation of bicycle and pedestrian traffic and the establishment of bikeways and walkways. The committee meets quarterly in various locations around the state to listen to the views and concerns of interested citizens, local officials and ODOT Region staff. ** This meeting will focus on updates to STIP Enhance; Connect Oregon; Urban Design Initiative; Modal Plan Work Plan Update; CMAQ in the Legislative session","Yes, non-agenda items only",Sheila Lyons,(503) 986-3555,Sheila.A.Lyons@odot.state.or.us,,,,Amanda Tucker,(503) 986.3317,Amanda.R.Tucker@odot.state.or.us,,,,,http://www.oregon.gov/ODOT/HWY/BIKEPED/docs/OBPAC_Agenda/OBPAC%20agenda%20Aug%202016.pdf,,,,http://www.oregon.gov/ODOT/HWY/BIKEPED/Pages/obpac.aspx,C:\Users\tdb121\Desktop\OBPAC agenda Aug 2016.pdf (https://data.oregon.gov/views/gs36-7t8m/files/61667b5b-337e-46bc-b802-f85c12e2fb42?download=true&filename=C:\Users\tdb121\Desktop\OBPAC%20agenda%20Aug%202016.pdf),,,
Transportation Department,Oregon Public Transportation Plan Policy Advisory Committee,,08/22/2016 01:00:00 PM,08/22/2016 04:30:00 PM,"Chemeketa Center for Business and Industry, 626 High St NE", Salem,OR,,Yes,Lucia Ramirez,,Lucia.L.RAMIREZ@odot.state.or.us,,,,,,,,,,,http://www.oregon.gov/ODOT/TD/TP/docs/OPTP/OPTP_201608_Agenda.pdf,,,,http://www.oregon.gov/ODOT/TD/TP/Pages/optp_pac.aspx,,,,
Hispanic Affairs Commission,Regular Meeting,Regular Meeting,08/22/2016 12:00:00 PM,08/22/2016 01:00:00 PM,"Lincoln Building, 421 SW Oak St., Ste 770 Conference Room, ZIP 97204", Portland,OR,,Yes,Nancy Kramer,503-302-9725,nancy.kramer@oregon.gov,,,,Nancy Kramer,503-302-9725,nancy.kramer@oregon.gov,,,,,,,,,http://www.oregon.gov/Hispanic/Pages/meetings.aspx,,,,
Human Services Department,Oregon Disabilities Commission - Executive Committee Meeting,,08/22/2016 10:00:00 AM,08/22/2016 11:30:00 AM,"500 Summer St NE, Room 166", Salem,OR,,Yes,Jeffrey Puterbaugh,503-947-1189,jeffrey.l.puterbaugh@state.or.us,,,,Kelsey Gleeson,503-947-5104,kelsey.gleeson@state.or.us,,,888-808-6929,4517555,,,,,,,,,
"Health Licensing Agency, Oregon",Board of Cosmetology,,08/22/2016 10:00:00 AM,08/22/2016 04:00:00 PM,700 Summer St. Suite 320, Salem,OR,,,Maria Gutierrez,,maria.s.gutierrez@state.or.us,,,,,,,,,,,,,,,,,,,
Employment Relations Board,ULP Hearing,,08/22/2016 09:00:00 AM,08/23/2016 05:00:00 PM,"528 Cottage ST NE, Suite 400", Salem,OR,"**CANCELLED

Hearing in UP-011-16 OSEA v. Scio School District",,Cynthia Nelson,503-378-3295,cynthia.nelson@oregon.gov,,,,,,,,,,,,,,,,,,,
"Black Affairs, Commission on",Regular Meeting,Regular Meeting,08/20/2016 09:00:00 AM,08/20/2016 11:00:00 AM,"Portland Community College Cascade Campus, 705 N. Killingsworth St., Terrell Hall Room 112, ZIP 97217", Portland,OR,,Yes,Nancy Kramer,503-302-9725,nancy.kramer@oregon.gov,,,,Nancy Kramer,503-302-9725,nancy.kramer@oregon.gov,,,,,,,,,http://www.oregon.gov/OCBA/Pages/meetings.aspx,,,,
Psychologists Examiners Board,Education Committee Meeting,Committee Meeting of the OBPE,08/19/2016 01:00:00 PM,08/19/2016 03:00:00 PM,3218 Pringle Rd. SE, Salem,OR,,No,Ashlie Rios,503-373-1146,ashlie.rios@state.or.us,,http://www.oregon.gov/obpe/docs/DirectionsOBPE.pdf (http://www.oregon.gov/obpe/docs/DirectionsOBPE.pdf%20),http://www.oregon.gov/OBPE/Board_Meetings/CALENDAR.pdf,LaRee Felton,503-373-1196,laree.felton@state.or.us,,,,,http://www.oregon.gov/obpe/Pages/index.aspx,,,,http://www.oregon.gov/obpe/Pages/Minutes.aspx (http://www.oregon.gov/obpe/Pages/Minutes.aspx%20),Meeting_Notice_8-19-16.pdf (https://data.oregon.gov/views/gs36-7t8m/files/113c99e4-3904-4957-9970-81c1c11bbc76?download=true&filename=Meeting_Notice_8-19-16.pdf),,,
Environmental Quality Dept.,COLSB Public Hearing,,08/19/2016 10:00:00 AM,08/19/2016 12:00:00 PM,"DEQ Headquarters, 811 SW 6th Avenue", Portland,OR,"Conference Room EQC-A (10th Floor)

Teleconference: 888-363-4734 or 215-446-3656, access code 2045600  
 Webinar (no audio): https://www.connectmeeting.att.com
 Meeting number 888-363-4734, access code 2045600",,Erich Brandstetter,,brandstetter.erich@deq.state.or.us,,,,,,,,,,,,,,,,,,,
Residential Facilities Advisory Committee,Monthly Meeting,,08/19/2016 09:00:00 AM,08/19/2016 11:00:00 AM,Office of the Long-Term Care Ombudsman, Salem,OR,"This is the regularly scheduled  monthly meeting of the Residential Facilities Advisory Committee. Everyone with an interest in the Long-Term Care Ombudsman Program, long-term care in general, advocacy for residents of facilities for people with developmental disabilities or mental illness or the Oregon Public Guardian and Conservator Program is welcome to attend and participate via teleconference at the LTCO office. ",Members of the publc will listen via speaker phone but may not be invited to participate.,Mary Ann Lebold,503-378-6533,mary.ann.lebold@ltco.state.or.us,,,,Mary Ann Lebold,503-378-6533,mary.ann.lebold@ltco.state.or.us,,,,,http://www.oregon.gov/LTCO/Pages/Residential-Facilities-Advisory-Committee-Agendas.aspx,,,,http://www.oregon.gov/LTCO/Pages/Residential-Facilities-Advisory-Committee-Minutes.aspx,RFACAug2016Agenda.pdf (https://data.oregon.gov/views/gs36-7t8m/files/40f65b4a-120a-4b83-856b-2e8014e43a60?download=true&filename=RFACAug2016Agenda.pdf),,,
"Health Authority, Oregon",Metrics and Scoring Committee,,08/19/2016 09:00:00 AM,08/19/2016 12:00:00 PM,"Clackamas Community College Wilsonville Training Center, Room 210, 29353 Southwest Town Center Loop East", Wilsonville,OR,"What: The regular public meeting of the Oregon Health Authority Metrics and Scoring Committee 

When: Friday, August 19, 9 a.m. to noon. Public testimony will be heard at 10:15 a.m. 

Where: Clackamas Community College Wilsonville Training Center, Room 210, 29353 SW Town Center Loop E, Wilsonville 

The public also can join through a listen-only conference line at 1-888-204-5984, participant code 1277166.

Agenda: Welcome and consent agenda; updates; public testimony; finalize 2017 benchmarks; Review 2018 measure selection work plan; revisit equity measure concepts; select 2017 challenge pool; wrap up and adjourn. 

For more information, please visit the committee's website at http://www.oregon.gov/oha/analytics/Pages/Metrics-Scoring-Committee.aspx. 

The meeting site is accessible to people with disabilities. To request alternate formats, sign language interpreters, physical accessibility, or other reasonable accommodations, call the Oregon Health Authority at 1-800-282-8096 at least 48 hours before the meeting.

# # #
",Yes,Jennifer Uhlman,503-739-5267,jennifer.m.uhlman@state.or.us,,,,,,,,,1-888-204-5984,1277166,http://www.oregon.gov/oha/analytics/MetricsDocs/August_19_2016_Agenda.pdf,,,,http://www.oregon.gov/oha/analytics/Pages/Metrics-Scoring-Committee.aspx,,,,
"Medical Board, Oregon",Emergency Medical Services (EMS) Advisory Committee,Quarterly meeting,08/19/2016 09:00:00 AM,08/19/2016 01:00:00 PM,OMB Offices, Portland,OR,"The 6-member EMS Advisory Committee makes recommendations to the Board on scope of practice for EMS providers and other issues related to EMS in Oregon.  Although the Oregon Health Authority issues licenses and investigates complaints against EMS providers, the Oregon Medical Board is charged with setting the scope of practice for each level of EMS provider and other issues related to EMS practice in Oregon.",Yes,Theresa Lee,971-673-2700,theresa.lee@state.or.us,,,,,,,,,,,http://www.oregon.gov/omb/board/Pages/Meeting-Notices.aspx,,,,http://www.oregon.gov/omb/board/Pages/Meeting-Minutes.aspx,,,,
"Health Licensing Agency, Oregon",Behavior Analysis Regulatory Board,,08/19/2016 09:00:00 AM,08/19/2016 04:00:00 PM,700 Summer St. Suite 320 Salem OR 97301, Salem,OR,,,Maria Gutierrez,,maria.s.gutierrez@state.or.us,,,,,,,,,,,,,,,,,,,
Water Resources Commission,Water Resources Commission Mtg,,08/19/2016 08:00:00 AM,08/19/2016 12:00:00 PM,"Hermiston Conference Center, 415 S. Hwy 395", Hermiston,OR,,Yes,Cindy Smith,503-986-0876,cindy.s.smith@wrd.state.or.us,,,,Cindy Smith,,,,,,,,,,,http://apps.wrd.state.or.us/apps/misc/wrd_notice_view/Default.aspx?notice_id=23,S:\groups\commission\2016 August\Revised - August 18 - 19 Agenda.pdf (https://data.oregon.gov/views/gs36-7t8m/files/15657f1e-448f-4279-8417-512d93a1ac47?download=true&filename=S:\groups\commission\2016%20August\Revised%20-%20August%2018%20-%2019%20Agenda.pdf),,,
