"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Public Call-In Number,Call-in Access Code,Agenda URL,Map Location,2010 House Districts,2010 Senate Districts,Counties
"Treasurer, Oregon State",Oregon Investment Council,Regular Meeting,05/29/2013 09:00:00 AM,05/29/2013 01:00:00 PM,PERS Headquarters, Tigard,OR,"The Oregon Investment Council will hold a regular meeting at the listed date, time and location. Meeting end time is approximate. The meeting location is accessible to persons with disabilities. A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities should be made at least 48 hours before the meeting to Oregon State Treasury - Investment Division, Attention: Martha Kellams at 503-378-4111. In Martha's absence, other staff will assist with these requests. The agenda may be accessed on our website one week prior to the scheduled meeting.",,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,http://www.oregon.gov/treasury/Divisions/Investment/Pages/Oregon-Investment-Council-(OIC).aspx,http://maps.google.com/maps?q=11410+Southwest+68th+Parkway%2c+Tigard%2c+OR+97223&hl=en&oq=11410+SW+68th+Parkway%2c+Tigard%2c+OR+97223&hnear=11410+SW+68th+Pkwy%2c+Tigard%2c+Oregon+97223&t=m&z=16,http://www.oregon.gov/treasury/Newsroom/Pages/Calendar.aspx,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,,,,http://www.oregon.gov/treasury/Divisions/Investment/Pages/Oregon-Investment-Council-(OIC).aspx,,,,
"Treasurer, Oregon State",Oregon Investment Council,Regular Meeting,09/25/2013 09:00:00 AM,09/25/2013 01:00:00 PM,PERS Headquarters, Tigard,OR,"The Oregon Investment Council will hold a regular meeting at the listed date, time and location. Meeting end time is approximate. The meeting location is accessible to persons with disabilities. A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities should be made at least 48 hours before the meeting to Oregon State Treasury - Investment Division, Attention: Martha Kellams at 503-378-4111. In Martha's absence, other staff will assist with these requests. The agenda may be accessed on our website one week prior to the scheduled meeting.",,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,http://www.oregon.gov/treasury/Divisions/Investment/Pages/Oregon-Investment-Council-(OIC).aspx,http://maps.google.com/maps?q=11410+Southwest+68th+Parkway%2c+Tigard%2c+OR+97223&hl=en&oq=11410+SW+68th+Parkway%2c+Tigard%2c+OR+97223&hnear=11410+SW+68th+Pkwy%2c+Tigard%2c+Oregon+97223&t=m&z=16,http://www.oregon.gov/treasury/Newsroom/Pages/Calendar.aspx,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,,,,http://www.oregon.gov/treasury/Divisions/Investment/Pages/Oregon-Investment-Council-(OIC).aspx,,,,
"Treasurer, Oregon State",Oregon Investment Council,Regular Meeting,10/30/2013 09:00:00 AM,10/30/2013 01:00:00 PM,PERS Headquarters, Tigard,OR,"The Oregon Investment Council will hold a regular meeting at the listed date, time and location. Meeting end time is approximate. The meeting location is accessible to persons with disabilities. A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities should be made at least 48 hours before the meeting to Oregon State Treasury - Investment Division, Attention: Martha Kellams at 503-378-4111. In Martha's absence, other staff will assist with these requests. The agenda may be accessed on our website one week prior to the scheduled meeting.",,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,http://www.oregon.gov/treasury/Divisions/Investment/Pages/Oregon-Investment-Council-(OIC).aspx,http://maps.google.com/maps?q=11410+Southwest+68th+Parkway%2c+Tigard%2c+OR+97223&hl=en&oq=11410+SW+68th+Parkway%2c+Tigard%2c+OR+97223&hnear=11410+SW+68th+Pkwy%2c+Tigard%2c+Oregon+97223&t=m&z=16,http://www.oregon.gov/treasury/Newsroom/Pages/Calendar.aspx,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,,,,http://www.oregon.gov/treasury/Divisions/Investment/Pages/Oregon-Investment-Council-(OIC).aspx,,,,
"Treasurer, Oregon State",Oregon Investment Council,Regular Meeting,07/30/2014 09:00:00 AM,07/30/2014 12:00:00 PM,PERS Headquarters, Tigard,OR,"The Oregon Investment Council will hold a regular meeting at the listed date, time and location. Meeting end time is approximate. The meeting location is accessible to persons with disabilities. A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities should be made at least 48 hours before the meeting to Oregon State Treasury – Investment Division, Attention: Martha Kellams at 503-378-4111. In Martha’s absence, other staff will assist with these requests. The agenda may be accessed on our web site one week prior to the scheduled meeting.",,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,http://www.oregon.gov/treasury/Divisions/Investment/Pages/Oregon-Investment-Council-(OIC).aspx,"https://maps.google.com/maps?q=11410+Southwest+68th+Parkway,+Tigard,+OR+97223&hl=en&oq=11410+SW+68th+Parkway,+Tigard,+OR+97223&hnear=11410+SW+68th+Pkwy,+Tigard,+Oregon+97223&t=m&z=16",http://www.oregon.gov/treasury/Newsroom/Pages/Calendar.aspx,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,,,,http://www.oregon.gov/treasury/Divisions/Investment/Pages/Oregon-Investment-Council-(OIC).aspx,,,,
"Treasurer, Oregon State",Oregon Investment Council,Regular Meeting,12/05/2012 09:00:00 AM,12/05/2012 12:00:00 PM,PERS Headquarters, Tigard,OR,"The Oregon Investment Council will hold a regular meeting at the listed date, time and location.  Meeting end time is approximate.  The meeting loction is accessible to persons with disabilities.  A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities should be made at least 48 hours before the meeting to Oregon State Treasury - Investment Division, Attention: Martha Kellams at 503-378-4111.  In Martha's absence, other staff will assist with these requests.  The agenda may be accessed one week prior to the scheduled meeting on web site http://www.ost.state.or.us/About/OIC/AgendasAndMinutes.asp or by called the phone number listed above.",,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,http://www.ost.state.or.us/About/Investment/,http://www.ost.state.or.us/Contact/Directions/Pers.asp,http://www.ost.state.or.us/News/calendar/Month.asp,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,,,,http://www.ost.state.or.us/About/OIC/AgendasAndMinutes.asp,,,,
"Treasurer, Oregon State",Oregon Investment Council,Regular Meeting,02/20/2013 09:00:00 AM,02/20/2012 01:00:00 PM,PERS Headquarters, Tigard,OR,"The Oregon Investment Council will hold a regular meeting at the listed date, time and location. Meeting end time is approximate. The meeting location is accessible to persons with disabilities. A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities should be made at least 48 hours before the meeting to Oregon State Treasury - Investment Division, Attention: Martha Kellams at 503-378-4111. In Martha's absence, other staff will assist with these requests. The agenda may be accessed on our website one week prior to the scheduled meeting.",,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,http://www.oregon.gov/treasury/Divisions/Investment/Pages/Oregon-Investment-Council-(OIC).aspx#OICMin,http://maps.google.com/maps?q=11410+Southwest+68th+Parkway%2c+Tigard%2c+OR+97223&hl=en&oq=11410+SW+68th+Parkway%2c+Tigard%2c+OR+97223&hnear=11410+SW+68th+Pkwy%2c+Tigard%2c+Oregon+97223&t=m&z=16,http://www.oregon.gov/treasury/Newsroom/Pages/Calendar.aspx,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,,,,http://www.oregon.gov/treasury/Divisions/Investment/Pages/Oregon-Investment-Council-(OIC).aspx#OICMin,,,,
"Treasurer, Oregon State",Oregon Investment Council,Regular Meeting,12/03/2014 09:00:00 AM,12/03/2014 12:00:00 PM,PERS Headquarters, Tigard,OR,"The Oregon Investment Council will hold a regular meeting at the listed date, time and location. Meeting end time is approximate. The meeting location is accessible to persons with disabilities. A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities should be made at least 48 hours before the meeting to Oregon State Treasury – Investment Division, Attention: Martha Kellams at 503-378-4111. In Martha’s absence, other staff will assist with these requests. The agenda may be accessed on our web site one week prior to the scheduled meeting.",,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,http://www.oregon.gov/treasury/Divisions/Investment/Pages/Oregon-Investment-Council-(OIC).aspx,"https://maps.google.com/maps?q=11410+Southwest+68th+Parkway,+Tigard,+OR+97223&hl=en&oq=11410+SW+68th+Parkway,+Tigard,+OR+97223&hnear=11410+SW+68th+Pkwy,+Tigard,+Oregon+97223&t=m&z=16",http://www.oregon.gov/treasury/Newsroom/Pages/Calendar.aspx,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,,,,http://www.oregon.gov/treasury/Divisions/Investment/Pages/Oregon-Investment-Council-(OIC).aspx,,,,
"Treasurer, Oregon State",Oregon Investment Council,Operational Review Workshop,05/29/2013 12:45:00 PM,05/29/2013 03:45:00 PM,PERS Headquarters, Tigard,OR,"The Oregon Investment Council will hold a workshop meeting at the listed date, time, and location. Meeting end time is approximate. The meeting location is accessible to persons with disabilities. A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities should be made at least 48 hours before the meeting to Oregon State Treasury - Investment Division, Attention: Martha Kellams at 503-378-4111. In Martha's absence, other staff will assist with these requests. The agenda may be accessed on our website.",,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,http://www.oregon.gov/treasury/Divisions/Investment/Pages/Oregon-Investment-Council-(OIC).aspx,http://maps.google.com/maps?q=11410+Southwest+68th+Parkway%2c+Tigard%2c+OR+97223&hl=en&oq=11410+SW+68th+Parkway%2c+Tigard%2c+OR+97223&hnear=11410+SW+68th+Pkwy%2c+Tigard%2c+Oregon+97223&t=m&z=16,http://www.oregon.gov/treasury/Newsroom/Pages/Calendar.aspx,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,,,,http://www.oregon.gov/treasury/Divisions/Investment/Pages/Oregon-Investment-Council-(OIC).aspx#OICMin,,,,
"Treasurer, Oregon State",Oregon Investment Council,Regular Meeting,04/30/2014 09:00:00 AM,04/30/2014 12:00:00 PM,PERS Headquarters, Tigard,OR,"The Oregon Investment Council will hold a regular meeting at the listed date, time and location. Meeting end time is approximate. The meeting location is accessible to persons with disabilities. A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities should be made at least 48 hours before the meeting to Oregon State Treasury – Investment Division, Attention: Martha Kellams at 503-378-4111. In Martha’s absence, other staff will assist with these requests. The agenda may be accessed on our web site one week prior to the scheduled meeting.",,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,http://www.oregon.gov/treasury/Divisions/Investment/Pages/Oregon-Investment-Council-(OIC).aspx,"https://maps.google.com/maps?q=11410+Southwest+68th+Parkway,+Tigard,+OR+97223&hl=en&oq=11410+SW+68th+Parkway,+Tigard,+OR+97223&hnear=11410+SW+68th+Pkwy,+Tigard,+Oregon+97223&t=m&z=16",http://www.oregon.gov/treasury/Newsroom/Pages/Calendar.aspx,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,,,,http://www.oregon.gov/treasury/Divisions/Investment/Pages/Oregon-Investment-Council-(OIC).aspx,,,,
"Treasurer, Oregon State",Oregon Investment Council,Regular Meeting,05/30/2012 09:00:00 AM,05/30/2012 12:00:00 PM,PERS Headquarters, Tigard,OR,"The Oregon Investment Council will hold a regular meeting and the Oregon Investment Council will hold an executive session as part of the regular meeting pursuant to ORS 192.660(2)(f) & (h) at the listed date, time and location.  Meeting end time is approximate.  The meeting loction is accessible to persons with disabilities.  A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities should be made at least 48 hours before the meeting to Oregon State Treasury - Investment Division, Attention: Martha Kellams at 503-378-4111.  In Martha's absence, other staff will assist with these requests.  The agenda may be accessed one week prior to the scheduled meeting on web site http://www.ost.state.or.us/About/OIC/AgendasAndMinutes.asp or by called the phone number listed above.",,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,http://www.ost.state.or.us/About/Investment/,http://www.ost.state.or.us/Contact/Directions/Pers.asp,http://www.ost.state.or.us/News/calendar/Month.asp,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,,,,http://www.ost.state.or.us/About/OIC/AgendasAndMinutes.asp,,,,
"Treasurer, Oregon State",Oregon Short Term Fund (OSTF) Board Meeting,The OSTF Board will review and comment on various entities Investment Policies,07/12/2012 10:00:00 AM,07/12/2012 12:00:00 PM,Oregon State Treasury, Salem,OR,,,Heidi Rawe,503-378-4552,heidi.rawe@ost.state.or.us,http://www.ost.state.or.us/about/OSTF,,,,,,,Please contact Heidi Rawe at 503-378-4552 for call-in information,,http://www.ost.state.or.us/about/OSTF,,,,
