"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Public Call-In Number,Call-in Access Code,Agenda URL,Map Location,2010 House Districts,2010 Senate Districts,Counties
"Blueberry Commission, Oregon",Blueberry Commission Meeting,Regular scheduled commission meeting,03/13/2012 12:00:00 PM,03/13/2012 02:00:00 PM,West Salem Roth's IGA - Santiam Room, Salem,OR,,,Jenny Woellmer,503-364-2944,jenny@ostlund.com,,,,,,,,,,,,,,
Clackamas ESD,Board of Directors Regular Session,Monthly Board Meeting,02/22/2012 07:00:00 PM,02/22/2012 09:00:00 PM,13455 SE 97th Ave,Clackamas,OR,,Yes,Shawnee Halligan,503-675-4004,shalliga@clackesd.k12.or.us,https://v3.boardbook.org/Public/PublicHome.aspx?ak=1000564,http://clackesd.k12.or.us/about/maps/sunnybrook.pdf,,,,,,,,,,,,
Clackamas ESD,Board of Directors Regular Session,Monthly Board Meeting,03/21/2012 06:30:00 PM,03/21/2012 09:00:00 PM,13455 SE 97th Ave,Clackamas,OR,,Yes,Cindy Bernert-Coppola,503-675-4003,ccoppola@clackesd.k12.or.us,https://v3.boardbook.org/Public/PublicHome.aspx?ak=1000564,http://clackesd.k12.or.us/about/maps/sunnybrook.pdf,,,,,,,,,,,,
Columbia Gorge ESD,Board of Directors Meeting,Regular meeting of Board of Directors,02/13/2012 07:00:00 PM,02/13/2012 08:00:00 PM,1100 East 12th Street, The Dalles,OR,Regular monthly meeting of the Board of Directors.,Yes,Mary Bowen,541-506-2240,mbowen@cgesd.k12.or.us,,,,Mary Bowen,541-506-2240,mbowen@cgesd.k12.or.us,,,,,"1100 12th Street
The Dalles, OR
(45.593057355546, -121.176086612089)",59,30,2451
Columbia Gorge ESD,Board of Directors Work Session,Work session,02/13/2012 05:00:00 PM,02/13/2012 06:30:00 PM,"400 East Scenic Drive, Bldg 2, Room 2.204", The Dalles,OR,Work session to discuss facilities and board zone boundaries.,No,Mary Bowen,541-506-2240,mbowen@cgesd.k12.or.us,,,,,,,,,,,,,,
Columbia Gorge ESD,Board of Directors Meeting,Regular meeting of Board of Directors,03/21/2012 07:00:00 PM,03/21/2012 08:00:00 PM,1011 Eugene Street, Hood River,OR,Regular monthly meeting of the Board of Directors.,Yes,Mary Bowen,541-506-2240,mbowen@cgesd.k12.or.us,,,,Mary Bowen,541-506-2240,mbowen@cgesd.k12.or.us,,,,,"1011 Eugene Street Hood River, OR
(45.706219046492, -121.521354325578)",52,26,2366
Consumer & Business Services Department,Management-Labor Advisory Committee,This is a meeting of the full committee.,03/16/2012 09:00:00 AM,,"Labor & Industry Building, 350 Winter St. NE, Room 260", Salem,OR,,,Win Lombardi,,winifred.c.lombardi@state.or.us,http://www.oregon.gov/DCBS/MLAC/,,,,,,,,,,,,,
"Counselors and Therapists, Board of Licensed Professional",Board Meeting,Telephonic Board Meeting,03/20/2012 09:00:00 AM,03/20/2012 10:00:00 AM,Telephonic, Salem,OR,This is a telephonic Board meeting to discuss board issues.,Yes,Lonnie Knotts,503.378.5499,lonnie.p.knotts@state.or.us,,,,,,,,,,,,,,
"Counselors and Therapists, Board of Licensed Professional",Board Meeting,Public Board Meeting,02/10/2012 08:30:00 AM,02/10/2012 03:00:00 PM,"3218 Pringle Road SE, 2nd Floor Conference Room", Salem,OR,,Yes,Lonnie Knotts,503-378-5499 ext. 1,lonnie.p.knotts@state.or.us,http://oregon.gov/OBLPCT,,,,,,,,,,,,,
Criminal Justic Commission,CJC Commission Meeting,CJC,02/27/2012 09:30:00 AM,02/27/2012 10:00:00 AM,Teleconference, Salem,OR,Discussion DUII Gridblock Rules,,Liz Skinner,503-378-4830,liz.skinner@state.or.us,,,,,,,,contact Liz for number,,,,,,
"Dentistry, Oregon Board of","March 12, 2012 - Special TeleConfrence Board Meeting",Special Teleconference Meeting of the Board,03/12/2012 12:00:00 PM,,via Teleconfrene - Public welcome at Board office, Portland,OR,,No,Lisa Warwick,(971) 673-3200,Lisa.Warwick@state.or.us,,,,Patrick Braatz,(971) 673-3200,Patrick.Braatz@state.or.us,,,,http://www.oregon.gov/Dentistry/docs/Board_Agendas/BrdMtgAgenda_Special_Teleconference20120312.pdf,,,,
"Dentistry, Oregon Board of","February 10, 2012 - Board Meeting",Regularly Scheduled Meeting of the Board,02/10/2012 07:30:00 AM,02/03/2012 01:30:00 PM,"1600 SW 4th Ave., Ste # 770,", Portland,OR,,No,Lisa Warwick,(971) 673-3200,Lisa.Warwick@state.or.us,,,,Patrick Braatz,(971) 673-3200,Patrick.Braatz@state.or.us,,,,http://www.oregon.gov/Dentistry/docs/Board_Agendas/BrdMtgAgenda20120210.pdf,,,,
Douglas ESD,Board Of Directors Meeting,February 2012 Regular Meeting,02/16/2012 06:30:00 PM,,1871 NE Stephens St., Roseburg,OR,,Yes,Angie Wyscaver,,angie.wyscaver@douglasesd.k12.or.us,,,,,,,,,,http://www.douglasesd.k12.or.us/LinkClick.aspx?fileticket=o8_S79mT02w%3d&tabid=431&mid=3690,,,,
Douglas ESD,Board of Directors Meeting,Regular Meeting,03/15/2012 06:30:00 PM,,1871 NE Stephens St., Roseburg,OR,,,Angie Wyscaver,,angie.wyscaver@douglasesd.k12.or.us,,,,,,,,,,http://www.douglasesd.k12.or.us/LinkClick.aspx?fileticket=fXG_TwGdFew%3d&tabid=431&mid=3690,,,,
Early Learning Council,Early Learning Council,Meeting of the Early Learning Council,03/14/2012 12:00:00 PM,03/14/2012 04:00:00 PM,"Oregon State Capitol, HR C, 900 Court Street, NE, Salem, OR 97301", Salem,OR,,Yes,Seth Allen,503-378-8213,seth.allen@state.or.us,,,,Leslie Roth,503-986-6520,Leslie.Roth@state.or.us,,,,,,,,
Early Learning Council,Early Learning Council ,Meeting of the Early Learning Council,02/22/2012 10:00:00 AM,02/22/2012 02:00:00 PM,"State Library, Rooms 102 & 103, 1st Floor, 250 Winter Street, NE, Salem, OR 97301", Salem,OR,,Yes,Seth Allen,503-378-8213,seth.allen@state.or.us,,,,Leslie Roth,503-986-6520,Leslie.Roth@state.or.us,,,,,,,,
"Emergency Management, Oregon",OSSPAC,Bi-Monthly Meeting,03/13/2012 09:00:00 AM,03/13/2012 12:00:00 PM,Oregon State Capitol Hearing Room F, Salem,OR,,,Kent Yu,,kyu@degenkolb.com,http://www.oregon.gov/OMD/OEM/osspac/osspac.shtml,,,,,,,,,,,,,
"Emergency Management, Oregon",Oregon Seismic Safety Policy Advisory Commission (OSSPAC),Bi-Monthly OSSPAC Meeting,03/13/2012 09:00:00 AM,03/13/2012 12:00:00 PM,"State Capitol, Hearing Room ""F""", Salem,OR,,,Kent Yu,,kyu@degenkolb.com,http://www.oregon.gov/OMD/OEM/osspac/osspac.shtml,,,,,,,,,,,,,
"Emergency Management, Oregon",Special OSSPAC Meeting,Resiliency Plan,02/21/2012 09:00:00 AM,02/21/2012 12:00:00 PM,"Port of Portland Headquarters Bldg., Anchor Conference Room, First Floor, 7200 NE Airport Way", Portland,OR,,,Kent Yu,,kyu@degenkolb.com,http://www.oregon.gov/OMD/OEM/osspac/docs/osspac_agenda_2_21_12.pdf,,,,,,,1-877-807-5706,145058,,,,,
Employment Relations Board,Hearing on Unfair Labor Practice Complaint,Hearing,01/31/2012 09:00:00 AM,01/31/2012 05:00:00 PM,"528 Cottage St. NE, 4th floor Conference Room", Salem,OR,"UP-060-11, Oregon State Police Officers Association v. State of Oregon, Department of State Police",,Patti Grady,503-378-3295,patti.grady@state.or.us,,http://www.oregon.gov/ERB/maps.shtml,,,,,,,,,"528 Cottate St
Conference Room Salem, OR
(44.933259999849, -123.043810000031)",21,11,2409
Employment Relations Board,Hearing on Unfair Labor Practice Complaint,Hearing,03/15/2012 09:00:00 AM,03/15/2012 05:00:00 PM,"528 Cottage St NE, Room 340", Salem,OR,"UP-055-11, Klamath County Employees Association v. Klamath County School District


",,Patti Grady,503-378-3295,patti.grady@state.or.us,,http://www.oregon.gov/ERB/maps.shtml,,,,,,,,,,,,
Employment Relations Board,Hearing on Unfair Labor Practice Complaint,Hearing,03/06/2012 09:00:00 AM,03/06/2012 05:00:00 PM,"528 Cottage St NE, Room 340", Salem,OR,"UP-086-11, Service Employees International Union Local 503, Oregon Public Employees Union Jackson County Oregon Human Resources
(Bifurcated from UP-064-11)

",,Patti Grady,503-378-3295,patti.grady@state.or.us,,http://www.oregon.gov/ERB/maps.shtml,,,,,,,,,,,,
Employment Relations Board,Hearing on Unfair Labor Practice Complaint,Hearing,02/28/2012 09:00:00 AM,02/29/2012 05:00:00 PM,"528 Cottage St NE, Room 340", Salem,OR,"2 Day Hearing

UP-021-10, Portland Police Association v. City of Portland",,Patti Grady,503-378-3295,patti.grady@state.or.us,,http://www.oregon.gov/ERB/maps.shtml,,,,,,,,,,,,
Employment Relations Board,Hearing on Unfair Labor Practice Complaint,Hearing - Continued,02/06/2012 09:30:00 AM,02/06/2012 05:00:00 PM,"528 Cottage St. NE, Room 340", Salem,OR,"Hearing Continued from February 1, 2012

UP-062-11, McKenzie Education Association/lane Unified Bargaining Council/OEA v. v. McKenzie School District No. 68
",,Patti Grady,503-378-3295,patti.grady@state.or.us,,http://www.oregon.gov/ERB/maps.shtml,,,,,,,,,,,,
Employment Relations Board,Hearing on State Personnel Relations Law Appeal,Hearing,02/07/2012 09:00:00 AM,02/08/2012 05:00:00 PM,"528 Cottage St NE, Room 340", Salem,OR,"2 Day Hearing

MA-014-11, Luis Rodriguiz v. State of Oregon, DHS",,Patti Grady,503-378-3295,patti.grady@state.or.us,,http://www.oregon.gov/ERB/maps.shtml,,,,,,,,,,,,
Employment Relations Board,Hearing on Unfair Labor Practice Complaint,Hearing ~ Canceled,03/12/2012 09:30:00 AM,03/13/2012 05:00:00 PM,"528 Cottage St NE, Room 340", Salem,OR,"2 Day Hearing

UP-036-11, Oregon State Police Officers' Association v. State of Oregon, Department of State Police",,Patti Grady,503-378-3295,patti.grady@state.or.us,,http://www.oregon.gov/ERB/maps.shtml,,,,,,,,,,,,
Employment Relations Board,Hearing on Unfair Labor Practice Complaint,Hearing,03/21/2012 09:00:00 AM,03/22/2012 05:00:00 PM,"528 Cottage St NE, 4th Floor Conference Room", Salem,OR,"2 Day Hearing

CC-001-12, IEBW Local 659 v. City of Myrtle Creek


",,Patti Grady,503-378-3295,patti.grady@state.or.us,,http://www.oregon.gov/ERB/maps.shtml,,,,,,,,,,,,
Employment Relations Board,Hearing on State Personnel Relations Law Appeal,Hearing,02/10/2012 09:00:00 AM,02/10/2012 05:00:00 PM,"528 Cottage St. NE, Room 340", Salem,OR,"MA-019-11, Alicia L. Reynolds v. State of Oregon, Deparment of Human Services",,Patti Grady,503-378-3295,patti.grady@state.or.us,,http://www.oregon.gov/ERB/maps.shtml,,,,,,,,,"528 Cottage St
Salem, OR
(44.943818796153, -123.031405944976)",21,11,2409
Employment Relations Board,Hearing on Unfair Labor Practice Complaint,Hearing ~ Cancelled,03/13/2012 09:00:00 AM,03/13/2012 05:00:00 PM,"528 Cottage St NE, 4th Floor Conference Room", Salem,OR,"UP-079-11, Association of Oregon Corrections Employees v. State of Oregon, Department of Corrections",,Patti Grady,503-378-3295,patti.grady@state.or.us,,http://www.oregon.gov/ERB/maps.shtml,,,,,,,,,,,,
Employment Relations Board,Hearing on Unfair Labor Practice Complaint,Hearing,03/20/2012 09:30:00 AM,03/21/2012 05:00:00 PM,"528 Cottage St. NE, Room 340", Salem,OR,"UP-051-11, AFSCME Local #3032 v. State of Oregon, Military Department",,Patti Grady,503-378-3295,patti.grady@state.or.us,,http://www.oregon.gov/ERB/maps.shtml,,,,,,,,,"528 Cottate St
Salem, OR
(44.933259999849, -123.043810000031)",21,11,2409
Employment Relations Board,Hearing on Unfair Labor Practice Complaint,Hearing ~ Canceled,03/20/2012 09:30:00 AM,03/21/2012 05:00:00 PM,"528 Cottage St NE, Room 340", Salem,OR,"2 Day Hearing

UP-051-11, AFSCME Local 3932 v. State of Oregon, Oregon Military Department",,Patti Grady,503-378-3295,patti.grady@state.or.us,,http://www.oregon.gov/ERB/maps.shtml,,,,,,,,,,,,
Employment Relations Board,Hearing on Unfair Labor Practice Complaint,Hearing,02/01/2012 09:30:00 AM,02/01/2012 05:00:00 PM,"528 Cottage St NE, Room 340", Salem,OR,"UP-062-11, McKenzie Education Association/Lane Unified Bargaining Council/OEA v. v. McKenzie School District No. 68",,Patti Grady,503-378-3295,patti.grady@state.or.us,,http://www.oregon.gov/ERB/maps.shtml,,,,,,,,,,,,
Employment Relations Board,Hearing on Unfair Labor Practice Complaint,Hearing ~ Cancelled,02/22/2012 09:00:00 AM,02/22/2012 05:00:00 PM,"528 Cottage St NE, 4th Floor Conference Room", Salem,OR,"UP-078-11, Association of Oregon Corrections Employees State of Oregon, Department of Corrections",,Patti Grady,503-378-3295,patti.grady@state.or.us,,http://www.oregon.gov/ERB/maps.shtml,,,,,,,,,,,,
Employment Relations Board,Hearing on Unfair Labor Practice Complaint,Hearing,02/16/2012 09:00:00 AM,02/16/2012 05:00:00 PM,"528 Cottage St NE, Room 340", Salem,OR,"UP-017-08, Rogue River Education Association v. Rogue River School District 35


",,Patti Grady,503-378-3295,patti.grady@state.or.us,,http://www.oregon.gov/ERB/maps.shtml,,,,,,,,,,,,
Employment Relations Board,Hearing on Unfair Labor Practice Complaint,Hearing,02/22/2012 09:00:00 AM,02/22/2012 05:00:00 PM,"528 Cottage St NE, Room 340", Salem,OR,"UP-067-10, SEIU v. State of Oregon, DAS


",,Patti Grady,503-378-3295,patti.grady@state.or.us,,http://www.oregon.gov/ERB/maps.shtml,,,,,,,,,,,,
Employment Relations Board,Hearing on State Personnel Relations Law Appeal,Hearing,03/07/2012 09:00:00 AM,03/08/2012 05:00:00 PM,"528 Cottage St NE, Room 340", Salem,OR,"MA-017-11, Karla Keller v. State of Oregon, Department of Transportation",,Patti Grady,503-378-3295,patti.grady@state.or.us,,http://www.oregon.gov/ERB/maps.shtml,,,,,,,,,,,,
Employment Relations Board,Oral Argument,Oral Argument,03/14/2012 01:30:00 PM,03/14/2012 02:15:00 PM,"528 Cottage St. NE, Room 340", Salem,OR,"UP-027-10, City of Portland Professional Employees Association (COPPEA) v. City of Portland",,April Bathurst,503-378-3808,april.bathurst@state.or.us,,http://www.oregon.gov/ERB/maps.shtml,,,,,,,,,,,,
"Engineering and Land Surveying, Board of Examiners for",Examinations & Qualifications,Examinations & Qualifications Committee Meeting,02/17/2012 09:00:00 AM,,"670 Hawthorne Avenue, SE, Suite 220", Salem,OR,"The Oregon State Board of Examiners for Engineering and Land Surveying will hold the following Committee Meetings in the Conference Room of the Board office at 670 Hawthorne Avenue, SE, Suite 220, Salem, OR 97301. A Committee may enter into Executive Session during the meeting as provided in ORS 192.660(2)(f), to consider information or records that are exempt from disclosure by law, including written advice from the Board’s attorney. A Committee may also enter into Executive Session during the meeting as provided in the ORS 192.660(2)(h), to consult with counsel concerning the legal rights and duties of a public body with regard to current litigation or litigation likely to be filed. The meeting location is accessible to person with disabilities. A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities should be made at least 48 hours before the meeting to Brianna Weekly at (503) 362-2666. The meetings are open to the public and interested parties are encouraged to attend. For additional information, please contact the Board office at the address listed above.",yes,Mari Lopez,503-362-2666,osbeels@osbeels.org,http://www.oregon.gov/OSBEELS/docs/Committees/Notice/NoticeFebruary2012.pdf,,,,,,,,,,,,,
"Engineering and Land Surveying, Board of Examiners for",Finance,Finance Committee Meeting,02/10/2012 11:00:00 AM,,"670 Hawthorne Avenue, SE, Suite 220", Salem,OR,"The Oregon State Board of Examiners for Engineering and Land Surveying will hold the following Committee Meetings in the Conference Room of the Board office at 670 Hawthorne Avenue, SE, Suite 220, Salem, OR 97301. A Committee may enter into Executive Session during the meeting as provided in ORS 192.660(2)(f), to consider information or records that are exempt from disclosure by law, including written advice from the Board’s attorney. A Committee may also enter into Executive Session during the meeting as provided in the ORS 192.660(2)(h), to consult with counsel concerning the legal rights and duties of a public body with regard to current litigation or litigation likely to be filed. The meeting location is accessible to person with disabilities. A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities should be made at least 48 hours before the meeting to Brianna Weekly at (503) 362-2666. The meetings are open to the public and interested parties are encouraged to attend. For additional information, please contact the Board office at the address listed above. 
",yes,Mari Lopez,503-362-2666,osbeels@osbeels.org,http://www.oregon.gov/OSBEELS/docs/Committees/Notice/NoticeFebruary2012.pdf,,,,,,,,,,,,,
"Engineering and Land Surveying, Board of Examiners for",External Relations,External Relations Committee Meeting,02/10/2012 11:30:00 AM,,"670 Hawthorne Avenue, SE, Suite 220", Salem,OR,"The Oregon State Board of Examiners for Engineering and Land Surveying will hold the following Committee Meetings in the Conference Room of the Board office at 670 Hawthorne Avenue, SE, Suite 220, Salem, OR 97301. A Committee may enter into Executive Session during the meeting as provided in ORS 192.660(2)(f), to consider information or records that are exempt from disclosure by law, including written advice from the Board’s attorney. A Committee may also enter into Executive Session during the meeting as provided in the ORS 192.660(2)(h), to consult with counsel concerning the legal rights and duties of a public body with regard to current litigation or litigation likely to be filed. The meeting location is accessible to person with disabilities. A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities should be made at least 48 hours before the meeting to Brianna Weekly at (503) 362-2666. The meetings are open to the public and interested parties are encouraged to attend. For additional information, please contact the Board office at the address listed above.
",yes,Mari Lopez,503-362-2666,osbeels@osbeels.org,http://www.oregon.gov/OSBEELS/docs/Committees/Notice/NoticeFebruary2012.pdf,,,,,,,,,,,,,
"Engineering and Land Surveying, Board of Examiners for",Professional Practices,Professional Practices Committee Meeting,02/10/2012 01:00:00 PM,,"670 Hawthorne Avenue, SE, Suite 220", Salem,OR,"The Oregon State Board of Examiners for Engineering and Land Surveying will hold the following Committee Meetings in the Conference Room of the Board office at 670 Hawthorne Avenue, SE, Suite 220, Salem, OR 97301. A Committee may enter into Executive Session during the meeting as provided in ORS 192.660(2)(f), to consider information or records that are exempt from disclosure by law, including written advice from the Board’s attorney. A Committee may also enter into Executive Session during the meeting as provided in the ORS 192.660(2)(h), to consult with counsel concerning the legal rights and duties of a public body with regard to current litigation or litigation likely to be filed. The meeting location is accessible to person with disabilities. A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities should be made at least 48 hours before the meeting to Brianna Weekly at (503) 362-2666. The meetings are open to the public and interested parties are encouraged to attend. For additional information, please contact the Board office at the address listed above.",yes,Mari Lopez,503-362-2666,osbeels@osbeels.org,http://www.oregon.gov/OSBEELS/docs/Committees/Notice/NoticeFebruary2012.pdf,,,,,,,,,,,,,
"Engineering and Land Surveying, Board of Examiners for",Rules & Regulations,Rules & Regulations Committee Meeting,02/10/2012 08:00:00 AM,,"670 Hawthorne Avenue, SE, Suite 220", Salem,OR,"The Oregon State Board of Examiners for Engineering and Land Surveying will hold the following Committee Meetings in the Conference Room of the Board office at 670 Hawthorne Avenue, SE, Suite 220, Salem, OR 97301. A Committee may enter into Executive Session during the meeting as provided in ORS 192.660(2)(f), to consider information or records that are exempt from disclosure by law, including written advice from the Board’s attorney. A Committee may also enter into Executive Session during the meeting as provided in the ORS 192.660(2)(h), to consult with counsel concerning the legal rights and duties of a public body with regard to current litigation or litigation likely to be filed. The meeting location is accessible to person with disabilities. A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities should be made at least 48 hours before the meeting to Brianna Weekly at (503) 362-2666. The meetings are open to the public and interested parties are encouraged to attend. For additional information, please contact the Board office at the address listed above. ",yes,Mari Lopez,503-362-2666,osbeels@osbeels.org,http://www.oregon.gov/OSBEELS/docs/Committees/Notice/NoticeFebruary2012.pdf,,,,,,,,,,,,,
"Engineering and Land Surveying, Board of Examiners for",Board Meeting,March Board Meeting,03/13/2012 09:00:00 AM,,"670 Hawthorne Avenue, S.E., Suite 220", Salem,OR,"The Oregon State Board of Examiners for Engineering and Land Surveying will hold a regular meeting at 9:00 a.m. on Tuesday, March 13, 2012 in the Conference Room of the Board office at 670 Hawthorne Avenue, S.E., Suite 220, Salem, OR 97301.

The meeting is open to the public and interested parties are encouraged to attend.

The Board will consider applications for registration by comity, committee reports, and other routine business affecting the practice of engineering, land surveying, and photogrammetry in the State of Oregon. The Board will enter into Executive Session during the meeting as provided in ORS 192.660(2)(i), to review the employment related performance of the Executive Secretary. The Board may also enter into Executive Session during the meeting as provided in ORS 192.660(2)(f), to consider information or records that are exempt from disclosure by law, including written advice from the Board’s attorney or ORS 192.660(2)(h), to consult with counsel concerning the legal rights and duties of a public body with regard to current litigation or litigation likely to be filed.

The meeting location is accessible to person with disabilities. A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities should be made at least 48 hours before the meeting to Brianna Weekly at (503) 362-2666.

For additional information, contact the Board office at the address below:
Oregon State Board of Examiners for Engineering and Land Surveying
Mari Lopez, Executive Secretary
670 Hawthorne Avenue, S.E.
Suite 220
Salem, OR 97301
Phone: (503) 362-2666
Fax: (503) 362-5454
www.oregon.gov/osbeels",yes,Mari Lopez,503-362-2666,osbeels@osbeels.org,http://www.oregon.gov/OSBEELS/docs/Board/Notice/NoticeMarch2012.pdf,,,,,,,,,,,,,
"Engineering and Land Surveying, Board of Examiners for",Law Enforcement,Law Enforcement Committee Meeting,02/09/2012 08:00:00 AM,,"670 Hawthorne Avenue, SE, Suite 220", Salem,OR,"The Oregon State Board of Examiners for Engineering and Land Surveying will hold the following Committee Meetings in the Conference Room of the Board office at 670 Hawthorne Avenue, SE, Suite 220, Salem, OR 97301.

A Committee may enter into Executive Session during the meeting as provided in ORS 192.660(2)(f), to consider information or records that are exempt from disclosure by law, including written advice from the Board’s attorney. A Committee may also enter into Executive Session during the meeting as provided in the ORS 192.660(2)(h), to consult with counsel concerning the legal rights and duties of a public body with regard to current litigation or litigation likely to be filed. 
The meeting location is accessible to person with disabilities. A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities should be made at least 48 hours before the meeting to Brianna Weekly at (503) 362-2666. 

The meetings are open to the public and interested parties are encouraged to attend. For additional information, please contact the Board office at the address listed above.",yes,Mari Lopez,503-362-2666,osbeels@osbeels.org,http://www.oregon.gov/OSBEELS/docs/Committees/Notice/NoticeFebruary2012.pdf,,,,,,,,,,,,,
