"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Owner,Agenda Upload,Map Location,Weblink to Meeting Minutes/Summaries,2010 House Districts,2010 Senate Districts,Counties
Agriculture Department,Industrial Hemp Rules Advisory Committee,Industrial Hemp Rules Advisory Committee,01/16/2014 08:00:00 AM,01/16/2014 12:00:00 PM,"151 Hawthorne St. NE, Salem, OR", Salem,OR,,,Lindsay Eng,503-872-6636,leng@oda.state.or.us,,,,,,,,,,,,sean.k.fornelli@state.or.us,,,,,,
"Albacore Commission, Oregon",Special Meeting Conference Call,Discuss FDA seafood consumption guidelines,06/26/2014 10:15:00 AM,06/26/2014 11:15:00 AM,Conference Call, Lincoln City,OR,,,Nancy J Fitzpatrick,,nanjfitz@gmail.com,,,,,,,,,,,,nanjfitz@gmail.com,,,,,,
"Albacore Commission, Oregon",Special Meeting - Promotion Committee,Discuss promotional opportunities,06/11/2014 09:00:00 AM,06/11/2014 10:00:00 AM,Conference Call, Lincoln City,OR,,,Nancy J Fitzpatrick,,nanjfitz@gmail.com,,,,,,,,,,,,nanjfitz@gmail.com,,,,,,
"Albacore Commission, Oregon",Special Meeting - Promotion Committee,Conference Call,06/26/2014 08:30:00 AM,06/26/2014 09:00:00 AM,Conference Call, Lincoln City,OR,,,Nancy J Fitzpatrick,,nanjfitz@gmail.com,,,,,,,,,,,,nanjfitz@gmail.com,,,,,,
"Asian and Pacific Islander Affairs, Commission on",Regular meeting,Regular meeting,03/19/2014 10:00:00 AM,03/19/2014 12:00:00 PM,"Oregon State Bar, Oregon State Bar, 16037 SW Upper Boones Ferry Rd., 97224", Tigard,OR,,Yes,Nancy Kramer,503.302.9725,nancy.kramer@state.or.us,,,,Nancy Kramer,503.302.9725,nancy.kramer@state.or.us,,,,,,nancy.kramer@state.or.us,,,,,,
"Asian and Pacific Islander Affairs, Commission on",Regular Meeting,Regular Meeting,05/21/2014 09:30:00 AM,05/21/2014 12:00:00 PM,"Oregon State Bar, Sandy Meeting Room, 16037 SW Upper Boones Ferry Rd., ZIP 97224", Tigard,OR,,Yes,Nancy Kramer,503.302.9725,nancy.kramer@oregon.gov,,,,Nancy Kramer,503.302.9725,nancy.kramer@oregon.gov,,,,,,nancy.kramer@state.or.us,,,,,,
"Asian and Pacific Islander Affairs, Commission on",Regular Meeting,Regular Meeting,01/15/2014 10:00:00 AM,01/15/2014 12:00:00 PM,"Willamette University, Mudd Building, 315 Winter St SE, Room 302, ZIP 97301", Salem,OR,,Yes,Nancy Kramer,503-302-9725,nancy.kramer@state.or.us,,,,Nancy Kramer,503-302-9725,nancy.kramer@state.or.us,,,,,,nancy.kramer@state.or.us,,,,,,
"Beef Council, Oregon",Public Budget Hearing,Public Budget Hearing,06/12/2014 11:00:00 AM,06/12/2014 12:00:00 AM,"The Hood River Inn, 1108 East Marina Way", Hood River,OR,"The Oregon Beef Council will have a meeting and Public Hearing on Thursday, June 12, 2014 at the Hood River Inn at 11:00 am.

All cattle producers, feeders, and others interested in the proposed budget are invited to attend the meeting.",Yes,Julie Hoffman,503-274-2333,julie@orbeef.org,,,,,,,,,,,,julie@orbeef.org,,,,,,
"Black Affairs, Commission on",Legislative Committee Meeting,Legislative Committee Meeting,01/17/2014 09:00:00 AM,01/17/2014 10:00:00 AM,"Lincoln Building, 421 SW Oak Street, Oak Room, 1st floor, 97204", Portland,OR,,,Nancy Kramer,503-302-9725,nancy.kramer@state.or.us,,,,Nancy Kramer,503-302-9725,nancy.kramer@state.or.us,,,,,,nancy.kramer@state.or.us,,,,,,
"Black Affairs, Commission on",Regular Meeting,Regular Meeting,06/21/2014 09:00:00 AM,06/21/2014 11:00:00 AM,"Center for Intercultural Organizing, 700 N. Killingsworth St., ZIP 97217", Portland,OR,Officer elections for Chair and Vice Chair will be held at this meeting.,Yes,Nancy Kramer,503.302.9725,nancy.kramer@oregon.gov,,,,Nancy Kramer,503.302.9725,nancy.kramer@oregon.gov,,,,,,nancy.kramer@state.or.us,,,,,,
"Black Affairs, Commission on",Legislative Committee Meeting,Legislative Committee Meeting,03/21/2014 09:00:00 AM,03/21/2014 10:00:00 AM,"800 NE Oregon St., Room 1A, ZIP 97232", Portland,OR,,,Nancy Kramer,503-302-9725,nancy.kramer@state.or.us,,,,Nancy Kramer,503-302-9725,nancy.kramer@state.or.us,,,,,,nancy.kramer@state.or.us,,,,,,
"Black Affairs, Commission on",Advocacy Committee Meeting,Advocacy Committee Meeting,03/25/2014 01:00:00 PM,03/25/2014 02:00:00 PM,"Lincoln Building, 421 SW Oak St., Oak Room (1st fl), ZIP 97204", Portland,OR,,,Nancy Kramer,503-302-9725,nancy.kramer@state.or.us,,,,Nancy Kramer,503-302-9725,nancy.kramer@state.or.us,,,,,,nancy.kramer@state.or.us,,,,,,
"Black Affairs, Commission on",Advocacy Committee meeting,Advocacy Committee meeting,03/25/2014 01:00:00 PM,03/25/2014 02:00:00 PM,Location to be announced, Portland,OR,,,Nancy Kramer,503-302-9725,nancy.kramer@state.or.us,,,,Nancy Kramer,503-302-9725,nancy.kramer@state.or.us,,,,,,nancy.kramer@state.or.us,,,,,,
"Black Affairs, Commission on",Regular Meeting,Regular Meeting,02/15/2014 09:00:00 AM,02/15/2014 11:00:00 AM,"PCC Cascade Campus, Terrell Hall room 100, 705 N. Killingsworth St, ZIP 97217", Portland,OR,,Yes,Nancy Kramer,503-302-9725,nancy.kramer@state.or.us,,,,Nancy Kramer,503-302-9725,nancy.kramer@state.or.us,,,,,,nancy.kramer@state.or.us,,,,,,
"Black Affairs, Commission on",Regular meeting,Regular meeting,04/19/2014 09:00:00 AM,04/19/2014 12:00:00 PM,"Portland Community College Cascade Campus, Terrell Hall Room 112, 705 N. Killingsworth St., ZIP 97217", Portland,OR,,Yes,Nancy Kramer,5033029725,nancy.kramer@state.or.us,,,,Nancy Kramer,5033029725,nancy.kramer@state.or.us,,,,,,nancy.kramer@state.or.us,,,,,,
Broadband Advisory Council,Broadband Advisory Council Meeting,OBAC Meeting,04/24/2014 09:15:00 AM,04/24/2014 12:15:00 PM,Local Government Center, Salem,OR,,Yes,Chris Tamarin,503-508-0178,christopher.tamarin@state.or.us,http://www.oregon4biz.com/The-Oregon-Advantage/Telecommunications/oregon-broadband-council/2014meetings.php,,,,,,,,,,http://www.orinfrastructure.org/Infrastructure-Programs/Telecommunications/OBAC/2014meetings.php,carmen.l.spuhler@oregon.gov,,,http://www.orinfrastructure.org/Infrastructure-Programs/Telecommunications/OBAC/2014meetings.php,,,
Broadband Advisory Council,Broadband Advisory Council Meeting,OBAC Meeting,02/27/2014 09:15:00 AM,02/27/2014 12:15:00 PM,Independence, Salem,OR,,Yes,Chris Tamarin,503-508-0178,christopher.tamarin@state.or.us,http://www.oregon4biz.com/The-Oregon-Advantage/Telecommunications/oregon-broadband-council/2014meetings.php,,,,,,,,,,http://www.orinfrastructure.org/Infrastructure-Programs/Telecommunications/OBAC/2014meetings.php,carmen.l.spuhler@oregon.gov,,,http://www.orinfrastructure.org/Infrastructure-Programs/Telecommunications/OBAC/2014meetings.php,,,
Broadband Advisory Council,Broadband Advisory Council Meeting,OBAC Meeting,05/22/2014 09:15:00 AM,05/22/2014 12:15:00 PM,Local Government Center, Salem,OR,,Yes,Chris Tamarin,503-508-0178,christopher.tamarin@state.or.us,http://www.oregon4biz.com/The-Oregon-Advantage/Telecommunications/oregon-broadband-council/2014meetings.php,,,,,,,,,,http://www.orinfrastructure.org/Infrastructure-Programs/Telecommunications/OBAC/2014meetings.php,carmen.l.spuhler@oregon.gov,,,http://www.orinfrastructure.org/Infrastructure-Programs/Telecommunications/OBAC/2014meetings.php,,,
Broadband Advisory Council,Broadband Advisory Council Meeting,OBAC Meeting,01/23/2014 09:15:00 AM,01/23/2014 12:15:00 PM,Local Government Center, Salem,OR,,Yes,Chris Tamarin,503-508-0178,christopher.tamarin@state.or.us,http://www.oregon4biz.com/The-Oregon-Advantage/Telecommunications/oregon-broadband-council/2014meetings.php,,,,,,,,,,http://www.orinfrastructure.org/Infrastructure-Programs/Telecommunications/OBAC/2014meetings.php,carmen.l.spuhler@oregon.gov,,,http://www.orinfrastructure.org/Infrastructure-Programs/Telecommunications/OBAC/2014meetings.php,,,
Broadband Advisory Council,Broadband Advisory Council Meeting,OBAC Meeting,06/26/2014 09:15:00 AM,06/26/2014 12:15:00 PM,Local Government Center, Salem,OR,,Yes,Chris Tamarin,503-508-0178,christopher.tamarin@state.or.us,http://www.oregon4biz.com/The-Oregon-Advantage/Telecommunications/oregon-broadband-council/2014meetings.php,,,,,,,,,,http://www.orinfrastructure.org/Infrastructure-Programs/Telecommunications/OBAC/2014meetings.php,carmen.l.spuhler@oregon.gov,,,http://www.orinfrastructure.org/Infrastructure-Programs/Telecommunications/OBAC/2014meetings.php,,,
"Business Development Commission, Oregon",Finance Committee Meeting,Finance Committee Meeting,03/27/2014 09:00:00 AM,03/27/2014 09:30:00 AM,Salem, Salem,OR,"The Oregon Business Development Commission's Finance Committee will hold a conference call meeting executive session authorized under ORS 192.660(2)(f) to consider the following application:

Fry Foods, Inc., of Malheur County, Oregon Industrial Development Bonds

Meeting information may be obtained by contacting Pam Brunell at Business Oregon, 775 Summer St, NE, Suite 200, Salem, OR 97301-1280.",No,Pam Brunell,,pamela.brunell@state.or.us,http://www.oregon4biz.com/calendar.php?site=BITD&site_category=general,,,,,,,,,,,carmen.l.spuhler@oregon.gov,,,,,,
"Business Development Commission, Oregon",Business Development Commission Meeting,Commission Meeting,04/04/2014 08:30:00 AM,04/04/2014 02:00:00 PM,Tillamook Creamery and Port of Tillamook, Salem,OR,,Yes,Suzy Miller,503-986-0106,suzy.miller@state.or.us,http://www.oregon4biz.com/Contact-us/Oregon-Business-Development-Commission/2014meetings.php,,,,,,,,,,http://www.oregon4biz.com/Contact-us/Oregon-Business-Development-Commission/2014meetings.php,carmen.l.spuhler@oregon.gov,,,,,,
"Business Development Commission, Oregon",Business Development Commission Meeting,Commission Meeting,06/27/2014 08:30:00 AM,06/27/2014 02:00:00 PM,Port of Morrow, Salem,OR,,Yes,Suzy Miller,503-986-0106,suzy.miller@state.or.us,,,,,,,,,,,http://www.oregon4biz.com/Contact-us/Oregon-Business-Development-Commission/2014meetings.php,carmen.l.spuhler@oregon.gov,,,,,,
"Business Development Commission, Oregon",Finance Committee Meeting,Finance Committee Meeting,06/19/2014 09:00:00 AM,06/19/2014 09:30:00 AM,Salem, Salem,OR,"The Oregon Business Development Commission's Finance Committee will hold a conference call meeting executive session authorized under ORS 192.660(2)(f) to consider the following applications: MDRI Properties, LLC of Multnomah County, Industrial Development Bond; JKT Investments LLC, Lane County, Oregon Business Development Fund. 

Meeting information may be obtained by writing Pam Brunell at Business Oregon.",No,Pam Brunell,,pamela.brunell@oregon.gov,,,http://www.oregon4biz.com/event-detail.php?id=1099,,,,,,,,,carmen.l.spuhler@oregon.gov,,,,,,
"Business Development Commission, Oregon",Business Development Commission Meeting,Commission Meeting,01/24/2014 08:30:00 AM,01/24/2014 02:30:00 PM,OTRADI, Portland,OR,,Yes,Suzy Miller,503-986-0106,suzy.miller@state.or.us,,,http://www.oregon4biz.com/Contact-us/Oregon-Business-Development-Commission/2014meetings.php,,,,,,,,http://www.oregon4biz.com/Contact-us/Oregon-Business-Development-Commission/2014meetings.php,carmen.l.spuhler@oregon.gov,,,,,,
Citizens’ Initiative Review Commission ,Board Meeting,Board Meeting,03/10/2014 09:00:00 AM,03/10/2014 11:00:00 AM,"Portland State University, 506 SW Mill St., Room 750A", Portland,OR,"Meeting of the CIRC to review and decide biennial report on activities of the CIRC, to review and decide administrative and program services contracts, and to consider administrative rule options.",,Anthony Iaccarino,(503) 508-0886,info@circommission.org,,,,Anthony Iaccarino,(503) 508-0886,info@circommission.org,,,(267) 507-0370,10503,http://www.oregon.gov/circ/Documents/Meeting%20Materials/CIRC_3-10-2014_Meeting%20Information.pdf,info@circommission.org,https://data.oregon.gov/views/dvfy-gbe4/files/zLJsDKid9nRoemLutaADrHJ2nKB0VNXqHsJB-cgrK_4?filename=application%2Fpdf%3B+charset%3Dbinary,,http://www.oregon.gov/circ/Pages/meetings.aspx,,,
Citizens’ Initiative Review Commission ,Board Meeting,Quarterly Meeting,01/30/2014 09:00:00 AM,01/30/2014 11:00:00 AM,"Portland State University, 506 SW Mill St., Room 611", Portland,OR,"Quarterly meeting to consider administrative rules, program & administrative services.",Yes,Anthony Iaccarino,503-508-0886,info@circommission.org,,,,Anthony Iaccarino,503-508-0886,info@circommission.org,,,,,http://www.oregon.gov/circ/Documents/Meeting%20Materials/CIRC_1-30-2014_Meeting_Information.pdf,info@circommission.org,,,http://www.oregon.gov/circ/Pages/meetings.aspx,,,
Citizens’ Initiative Review Commission ,Commission Meeting ,"Meeting to set a temporary rule for panelist stipends, review sufficiency of funds to conduct statewide CIRs, prepare for July ",06/16/2014 01:00:00 PM,06/16/2014 02:30:00 PM,"Portland State University, Urban Center, Room 511", Portland,OR,"The meeting location is accessible to persons with disabilities. A request for accommodations for persons with disabilities should be made at least 48 hours before the meeting. For questions or requests call 503-508-0886. All members are asked to please give at least 24-hour notice if they are unable to attend the meeting so arrangements may be made. 

Agenda:

1. Call to order

2. Approval of minutes from March 10 CIRC Commission meeting

3. Proposed rule re daily compensation for panelists

4. Financial update and Sufficiency of Funds

5. Preparation for Initiative Selection

6. Compensation for Commissioners",,Sarah Giles,503-508-0886,info@circommission.org,,http://www.pdx.edu/campus-map,,,503-508-0886,info@circommission.org,,,,,http://www.oregon.gov/circ/Pages/meetings.aspx,sarahgiles@pdx.edu,https://data.oregon.gov/views/dvfy-gbe4/files/mDZN-v0qVxSWJDy95tA3aJwBwdFrlKTAcO1yA4IM380?filename=application%2Fpdf%3B+charset%3Dbinary,,http://www.oregon.gov/circ/Pages/meetings.aspx,,,
Citizens’ Initiative Review Commission ,Rulemaking Hearing,Rulemaking hearing to consider public testimony regarding proposed rules,01/29/2014 11:00:00 AM,01/29/2014 12:00:00 PM,"Portland State University, 506 SW Mill St., Room 710", Portland,OR,Rulemaking hearing to consider public testimony regarding proposed administrative rules relating to procedure and budget.,Yes,Anthony Iaccarino,503-508-0886,info@circommission.org,,,,Anthony Iaccarino,503-508-0886,info@circommission.org,,,,,http://www.oregon.gov/circ/Documents/Meeting%20Materials/CIRC_1-29-2014_Rulemaking_Hearing.pdf,info@circommission.org,,,,,,
Columbia Gorge ESD,Board of Directors Meeting,Board Meeting,05/21/2014 07:00:00 PM,05/21/2014 08:00:00 PM,3601 West 10th Street, The Dalles,OR,Regular monthly meeting.,Yes,Mary Bowen,541-506-2240,mbowen@cgesd.k12.or.us,,,,Mary Bowen,541-506-2240,mbowen@cgesd.k12.or.us,,,,,,mbowen@cgesd.k12.or.us,https://data.oregon.gov/views/dvfy-gbe4/files/AxC4jKN6U2CC9tPbazTtXpOFJ99XNFHciwXuu-G85t8?filename=application%2Fpdf%3B+charset%3Dbinary,,http://cgesd.schoolwires.net/cms/lib07/OR01915656/Centricity/Domain/13/May%202014%20Minutes.pdf,,,
Columbia Gorge ESD,Board of Directors Meeting,Regular Board meeting,04/16/2014 06:30:00 PM,04/16/2014 08:00:00 PM,1011 Eugene Street, Hood River,OR,Regular monthly meeting.,Yes,Mary Bowen,541-506-2240,mbowen@cgesd.k12.or.us,,,,Mary Bowen,541-506-2240,mbowen@cgesd.k12.or.us,,,,,http://www.cgesd.k12.or.us/cms/lib07/OR01915656/Centricity/Domain/13/April%202014%20Agenda.pdf,mbowen@cgesd.k12.or.us,https://data.oregon.gov/views/dvfy-gbe4/files/qxFOUOgSmPE34ufM1TrX6HUOtTDpykINV0mV-R3QJOo?filename=application%2Fpdf%3B+charset%3Dbinary,,http://cgesd.schoolwires.net/cms/lib07/OR01915656/Centricity/Domain/13/April%202014%20Minutes.pdf,,,
Columbia Gorge ESD,Board of Directors Meeting,Regular monthly board meeting,01/15/2014 07:00:00 PM,01/15/2014 08:00:00 PM,1011 Eugene Street, Hood River,OR,Regular monthly meeting,Yes,Mary Bowen,541-506-2240,mbowen@cgesd.k12.or.us,,,,Mary Bowen,541-506-2240,mbowen@cgesd.k12.or.us,,,,,http://cgesd.schoolwires.net/cms/lib07/OR01915656/Centricity/Domain/13/January%202014%20Agenda.pdf,mbowen@cgesd.k12.or.us,https://data.oregon.gov/views/dvfy-gbe4/files/nY8BwTcT8WeY9WzlKyZ80nkokMEDFKMEBHMwv0vLMIg?filename=application%2Fpdf%3B+charset%3Dbinary,,http://cgesd.schoolwires.net/cms/lib07/OR01915656/Centricity/Domain/13/January%202014%20Minutes.pdf,,,
Columbia Gorge ESD,Board of Directors Meeting,Board meeting,03/26/2014 07:00:00 PM,03/26/2014 08:00:00 PM,"400 East Scenic Drive, Bldg 2, Room 2.204", The Dalles,OR,Regular monthly meeting.,Yes,Mary Bowen,541-506-2240,mbowen@cgesd.k12.or.us,,,,Mary Bowen,541-506-2240,mbowen@cgesd.k12.or.us,,,,,http://cgesd.schoolwires.net/cms/lib07/OR01915656/Centricity/Domain/13/March%202014%20Agenda.pdf,mbowen@cgesd.k12.or.us,https://data.oregon.gov/views/dvfy-gbe4/files/AUFPGdDtX3rCgIoz7gtGQQLF-d9gsQ8beF9PP9-gYVg?filename=application%2Fpdf%3B+charset%3Dbinary,,http://cgesd.schoolwires.net/cms/lib07/OR01915656/Centricity/Domain/13/March%202014%20Minutes.pdf,,,
Columbia Gorge ESD,Budget Hearing & Board Meeting,Budget hearing and regular board meeting,06/18/2014 07:00:00 PM,06/18/2014 08:00:00 PM,"400 East Scenic Drive, Bldg 2, Room 2.204", The Dalles,OR,Budget hearing and regular monthly board meeting.,Yes,Mary Bowen,541-506-2240,mbowen@cgesd.k12.or.us,,,,Mary Bowen,541-506-2240,mbowen@cgesd.k12.or.us,,,,,http://cgesd.schoolwires.net/cms/lib07/OR01915656/Centricity/Domain/13/June%202014%20Agenda.pdf,mbowen@cgesd.k12.or.us,https://data.oregon.gov/views/dvfy-gbe4/files/rojjmLzlUE6jZ1W8QdDpISAPTeZbIKzp_BWgbLFhOoU?filename=application%2Fpdf%3B+charset%3Dbinary,,http://cgesd.schoolwires.net/cms/lib07/OR01915656/Centricity/Domain/13/June%202014%20Minutes.pdf,,,
Columbia Gorge ESD,Budget Committee Meeting,Budget committee meeting,04/28/2014 07:00:00 PM,04/28/2014 08:00:00 PM,"400 East Scenic Drive, Bldg 1, Room 1.162", The Dalles,OR,Budget committee meeting for the 2014-15 budget document.,Yes,Mary Bowen,541-506-2240,mbowen@cgesd.k12.or.us,,,,Mary Bowen,541-506-2240,mbowen@cgesd.k12.or.us,,,,,,mbowen@cgesd.k12.or.us,,,,,,
Columbia Gorge ESD,Board of Directors Meeting,Regular monthly board meeting,02/19/2014 07:00:00 PM,02/19/2014 08:00:00 PM,3601 West Tenth Street, The Dalles,OR,,Yes,Mary Bowen,541-506-2240,mbowen@cgesd.k12.or.us,,,,,,,,,,,http://cgesd.schoolwires.net/cms/lib07/OR01915656/Centricity/Domain/13/February%202014%20Agenda.pdf,,,,http://cgesd.schoolwires.net/cms/lib07/OR01915656/Centricity/Domain/13/February%202014%20Minutes.pdf,,,
Community Colleges Department,Oregon Youth Conservation Corps ,Advisory Committee Meeting,01/16/2014 08:00:00 AM,01/16/2014 12:00:00 PM,Chemeketa Winema, Salem,OR,"Topics include: budget, fundraising, scoring criteria.",,Jennifer Denning,503-947-2444,jennifer.denning@state.or.us,,,,,,,,,,,,jennifer.denning@state.or.us,https://data.oregon.gov/views/dvfy-gbe4/files/rOaiMd8Z1q39PAMeCgoDBV-2Hv_LxH7AxLSyRuhzsfg?filename=application%2Fzip%3B+charset%3Dbinary,,,,,
