"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Owner,Agenda Upload,Map Location,Weblink to Meeting Minutes/Summaries,2010 House Districts,2010 Senate Districts,Counties
Construction Contractors Board,CCB Board Meeting,Board Meeting,12/02/2014 08:30:00 AM,12/02/2014 02:00:00 PM,"Peru Room (306), Broadway Commons", Salem,OR,Board Meeting,Yes,Cathy Dixon,503-934-2185,catherine.a.dixon@state.or.us,,,,,,,,,,,http://www.oregon.gov/ccb,catherine.a.dixon@state.or.us,,,,,,
Construction Contractors Board,Special Board Meeting,Special Board Meeting,02/13/2014 03:00:00 PM,02/13/2014 04:00:00 PM,700 Summer St NE Ste 300 Conf Rm B, Salem,OR,Special Board Meeting,No,Cathy Dixon,503 934-2185,catherine.a.dixon@state.or.us,,,,,,,,,,,,catherine.a.dixon@state.or.us,https://data.oregon.gov/views/7by4-z82s/files/1h5VO7HQrj5AqQDosqaYGnJpSkC9PQJ6CQYwjTvM9YQ?filename=application%2Fpdf%3B+charset%3Dbinary,,,,,
Construction Contractors Board,Special Board Meeting,Special Board Meeting,02/13/2014 03:00:00 PM,02/13/2014 04:00:00 PM,700 Summer St NE Ste 300 Conf Rm B, Salem,OR,Special Board Meeting,No,Cathy Dixon,503 934-2185,catherine.a.dixon@state.or.us,,,,,,,,,,,http://ccbed.ccb.state.or.us/WebPDF/CCB/board/agenda.pdf,catherine.a.dixon@state.or.us,,,,,,
Construction Contractors Board,CCB Board Meeting,Board Meeting,01/28/2014 08:30:00 AM,01/28/2014 02:00:00 PM,"West Salem Roths IGA Hospitality Center, 425 Glen Creek Rd", Salem,OR,"CCB Board meeting, Appeal Committee and rulemaking hearing.",Yes,Cathy Dixon,503-934-2185,catherine.a.dixon@state.or.us,http://www.oregon.gov/ccb/Pages/board.aspx,,,,,,,,,,,catherine.a.dixon@state.or.us,,,,,,
Construction Contractors Board,CCB New Contractor Workshop,New Contractor Workshop,07/24/2013 01:00:00 PM,07/24/2013 03:00:00 PM,"Klamath Comm. Collge - SBDC, 7390 S 6th St", Klamath Falls,OR,"New Contractor Workshop:
The 90-minute workshop is designed to “un-complicate” contractor licensing requirements and assist Oregonians thinking about obtaining a CCB license to take the next step to obtaining a CCB license. CCB staff will discuss the process involved in becoming licensed including:  1) Choosing a business entity and CCB license endorsement; 2) License, bonding and insurance requirements, and 3) Pre-licensure education and testing requirements.

",Yes,Cathy Dixon,503-934-2185,catherine.a.dixon@state.or.us,http://www.oregon.gov/ccb,,,,,,,,,,,catherine.a.dixon@state.or.us,,,,,,
Construction Contractors Board,CCB New Contractor Workshop,New Contractor Workshop,07/18/2013 01:00:00 PM,07/18/2013 03:00:00 PM,"Columbia Gorge Comm. College - SBDC, 400 East Scenic Dr, Lecture Hall Bldg 2", The Dalles,OR,"New Contractor Workshop:
The 90-minute workshop is designed to “un-complicate” contractor licensing requirements and assist Oregonians thinking about obtaining a CCB license to take the next step to obtaining a CCB license. CCB staff will discuss the process involved in becoming licensed including:  1) Choosing a business entity and CCB license endorsement; 2) License, bonding and insurance requirements, and 3) Pre-licensure education and testing requirements.
",Yes,Cathy Dixon,503-934-2185,catherine.a.dixon@state.or.us,http://www.oregon.gov/ccb,,,,,,,,,,,catherine.a.dixon@state.or.us,,,,,,
Construction Contractors Board,CCB Town Hall Style Stakeholder Meeting,Stakeholder Meeting,07/16/2013 08:30:00 AM,07/16/2013 11:30:00 AM,"Blue Mountain Comm College, 1901 Main St VAOI Bldg", Baker City,OR,"Town Hall Style Stakeholder Meeting:
The meetings will provide contractors, citizens and others interested in construction licensing regulations, an opportunity to offer input and opinions on matters facing construction contractors, future regulatory reforms, and how the CCB can better serve Oregonians.",Yes,Cathy Dixon,503-934-2185,catherine.a.dixon@state.or.us,http://www.oregon.gov/ccb,,,,,,,,,,,catherine.a.dixon@state.or.us,,,,,,
Construction Contractors Board,Stakeholder Meeting - re SB 783,Stakeholder Meeting,09/06/2013 09:00:00 AM,09/06/2013 10:00:00 AM,"CCB 700 Summer St NE Suite 300, Salem", Salem,OR,"CCB Stakeholder meeting to review major portions of SB 783 and obtain stakeholder concerns, suggestions, input and recommendations.",Yes,Cathy Dixon,503 934-2185,catherine.a.dixon@state.or.us,http://www.oregon.gov/ccb,,,,,,,,,,,catherine.a.dixon@state.or.us,,,,,,
Construction Contractors Board,CCB New Contractor Workshop,New Contractor Workshop,07/26/2013 01:00:00 PM,07/26/2013 03:00:00 PM,"Lane Community College - SBDC, 101 West 10th Ave Rm 303", Eugene,OR,"New Contractor Workshop:
The 90-minute workshop is designed to “un-complicate” contractor licensing requirements and assist Oregonians thinking about obtaining a CCB license to take the next step to obtaining a CCB license. CCB staff will discuss the process involved in becoming licensed including:  1) Choosing a business entity and CCB license endorsement; 2) License, bonding and insurance requirements, and 3) Pre-licensure education and testing requirements.

",Yes,Cathy Dixon,503-934-2185,catherine.a.dixon@state.or.us,http://www.oregon.gov/ccb,,,,,,,,,,,catherine.a.dixon@state.or.us,,,,,,
Construction Contractors Board,Town Hall Style Stakeholder Meeting,Stakeholder Meeting,08/22/2013 09:30:00 AM,08/22/2013 11:30:00 AM,"Treasure Valley Community College ÛÒ SBDC, 650 College Blvd.", Ontario,OR,"Town Hall Style Stakeholder Meeting:
The meetings will provide contractors, citizens and others interested in construction licensing regulations, an opportunity to offer input and opinions on matters facing construction contractors, future regulatory reforms, and how the CCB can better serve Oregonians.
",Yes,Cathy Dixon,503 934-2185,catherine.a.dixon@state.or.us,http://www.oregon.gov/ccb,,,,,,,,,,,catherine.a.dixon@state.or.us,,,,,,
Construction Contractors Board,CCB Town Hall Style Stakeholder Meeting,Stakeholder Meeting,07/25/2013 09:30:00 AM,07/25/2013 11:30:00 AM,"Rogue Community College, 3345 Redwood Hwy, Auditorium", Grants Pass,OR,"Town Hall Style Stakeholder Meeting:
The meetings will provide contractors, citizens and others interested in construction licensing regulations, an opportunity to offer input and opinions on matters facing construction contractors, future regulatory reforms, and how the CCB can better serve Oregonians.

",Yes,Cathy Dixon,503-934-2185,catherine.a.dixon@state.or.us,http://www.oregon.gov/ccb,,,,,,,,,,,catherine.a.dixon@state.or.us,,,,,,
Construction Contractors Board,New Contractor Workshop,New Contractor Workshop,08/24/2013 09:00:00 AM,08/24/2013 12:00:00 PM,"Blue Mountain Community College ÛÒ SBDC, Pendleton Campus, 2411 NW Carden Avenue Rm M-7 (Morrow Hall)", Pendleton,OR,"New Contractor Workshop:
The 90-minute workshop is designed to “un-complicate” contractor licensing requirements and assist Oregonians thinking about obtaining a CCB license to take the next step to obtaining a CCB license. CCB staff will discuss the process involved in becoming licensed including:  1) Choosing a business entity and CCB license endorsement; 2) License, bonding and insurance requirements, and 3) Pre-licensure education and testing requirements.
",Yes,Cathy Dixon,503-934-2185,catherine.a.dixon@state.or.us,http://www.oregon.gov/ccb,,,,,,,,,,,catherine.a.dixon@state.or.us,,,,,,
Construction Contractors Board,Town Hall Style Stakeholder Meeting,Stakeholder Meeting,08/23/2013 09:30:00 AM,08/23/2013 11:30:00 AM,"Eastern Oregon University ÛÒ SBDC, 1607 Gekeler Lane", La Grande,OR,"Town Hall Style Stakeholder Meeting:
The meetings will provide contractors, citizens and others interested in construction licensing regulations, an opportunity to offer input and opinions on matters facing construction contractors, future regulatory reforms, and how the CCB can better serve Oregonians.
",Yes,Cathy Dixon,503-934-2185,catherine.a.dixon@state.or.us,http://www.oregon.gov/ccb,,,,,,,,,,,catherine.a.dixon@state.or.us,,,,,,
Construction Contractors Board,CCB Town Hall Style Stakeholder Meeting,Stakeholder Meeting,07/18/2013 09:30:00 AM,07/18/2013 11:30:00 AM,"Columbia Gorge Comm. College - SBDC, 400 East Scenic Dr Lecture Hall Bldg 2", The Dalles,OR,"Town Hall Style Stakeholder Meeting:
The meetings will provide contractors, citizens and others interested in construction licensing regulations, an opportunity to offer input and opinions on matters facing construction contractors, future regulatory reforms, and how the CCB can better serve Oregonians.",Yes,Cathy Dixon,503-934-2185,catherine.a.dixon@state.or.us,http://www.oregon.gov/ccb,,,,,,,,,,,catherine.a.dixon@state.or.us,,,,,,
Construction Contractors Board,CCB Board Rulemaking Hearing,CCB Rulemaking Hearing,10/28/2014 11:00:00 AM,10/28/2014 11:30:00 AM,"1300 Broadway St NE, Peru Room (306)", Salem,OR,CCB rulemaking hearing scheduled to begin at 11:00 a.m.  The rule notice is posted on CCB's website:  http://www.oregon.gov/ccb/pages/Rule_notices.aspx,Yes,Cathy Dixon,503-934-2185,catherine.a.dixon@state.or.us,http://www.oregon.gov/ccb/Pages/board.aspx,,,Cathy Dixon,503-934-2185,,,,,,http://www.oregon.gov/ccb/Pages/board.aspx,catherine.a.dixon@state.or.us,,,,,,
Construction Contractors Board,New Contractor Workshop,New Contractor Workshop,06/25/2013 01:00:00 PM,06/25/2013 03:00:00 PM,"Clackamas Community College SBDC, 7736 SE Harmony Road, Room 145, OIT Building",Clackamas,OR,"The 90-minute workshop is designed to “un-complicate” contractor licensing requirements and assist Oregonians thinking about obtaining a CCB license to take the next step to obtaining a CCB license. CCB staff will discuss the process involved in becoming licensed including:  1) Choosing a business entity and CCB license endorsement; 2) License, bonding and insurance requirements, and 3) Pre-licensure education and testing requirements.",Yes,Cathy Dixon,(503) 934-2185,catherine.a.dixon@state.or.us,,,,,,,,,,,,catherine.a.dixon@state.or.us,,,,,,
Construction Contractors Board,CCB Town Hall Style Stakeholder Meeting,Stakeholder Meeting,07/17/2013 09:30:00 AM,07/17/2013 11:30:00 AM,"Blue Mountain Comm. College - SBDC, 2411 NW Carden Rm M", Pendleton,OR,"Town Hall Style Stakeholder Meeting:
The meetings will provide contractors, citizens and others interested in construction licensing regulations, an opportunity to offer input and opinions on matters facing construction contractors, future regulatory reforms, and how the CCB can better serve Oregonians.
",Yes,Cathy Dixon,503-934-2185,catherine.a.dixon@state.or.us,http://www.oregon.gov/ccb,,,,,,,,,,,catherine.a.dixon@state.or.us,,,,,,
Construction Contractors Board,New Contractors Workshop,New Contractors Workshop,08/23/2013 01:00:00 PM,08/23/2013 03:00:00 PM,"Eastern Oregon University ÛÒ SBDC, 1607 Gekeler Lane", La Grande,OR,"New Contractor Workshop:
The 90-minute workshop is designed to “un-complicate” contractor licensing requirements and assist Oregonians thinking about obtaining a CCB license to take the next step to obtaining a CCB license. CCB staff will discuss the process involved in becoming licensed including:  1) Choosing a business entity and CCB license endorsement; 2) License, bonding and insurance requirements, and 3) Pre-licensure education and testing requirements.
",Yes,Cathy Dixon,503-934-2185,catherine.a.dixon@state.or.us,http://www.oregon.gov/ccb,,,,,,,,,,,catherine.a.dixon@state.or.us,,,,,,
Construction Contractors Board,June 2015 Board Meeting,Board Meeting,06/23/2015 09:30:00 AM,06/23/2015 12:00:00 PM,"Peru Room (306), Broadway Commons",Salem,OR,,Yes,Catherine Dixon,503-934-2185,catherine.a.dixon@state.or.us,,,,,,,,,,,http://www.oregon.gov/CCB/board/Pages/board-info.aspx,,,,http://www.oregon.gov/CCB/board/Pages/board-info.aspx,,,
Construction Contractors Board,Stakeholder/Town Hall Meeting,Stakeholder/Town Hall Meeting,06/27/2013 09:30:00 AM,06/27/2013 11:30:00 AM,Clatsop Community College ÛÒ SBDC, Seaside,OR,"The meetings will provide contractors, citizens and others interested in construction licensing regulations, an opportunity to offer input and opinions on matters facing construction contractors, future regulatory reforms, and how the CCB can better serve Oregonians.
",Yes,Cathy Dixon,(503) 934-2185,catherine.a.dixon@state.or.us,,,,,,,,,,,,catherine.a.dixon@state.or.us,,,,,,
Construction Contractors Board,Board Meeting,Board Meeting,10/22/2013 08:30:00 AM,10/22/2013 02:00:00 PM,"West Salem Roth's Hospitality Center, Santiam Rm", Salem,OR,Board meeting and possible Appeal Committee Meeting and rulemaking hearing at 11:00 a.m.,Yes,Cathy Dixon,(503) 934-2185,catherine.a.dixon@state.or.us,,,,,,,,,,,,catherine.a.dixon@state.or.us,,,,,,
Construction Contractors Board,CCB Town Hall Style Stakeholder Meeting,Stakeholder Meeting,07/26/2013 09:30:00 AM,07/26/2013 11:30:00 AM,"Lane Community College - SBDC, 101 West 10th Ave Rm 303", Eugene,OR,"Town Hall Style Stakeholder Meeting:
The meetings will provide contractors, citizens and others interested in construction licensing regulations, an opportunity to offer input and opinions on matters facing construction contractors, future regulatory reforms, and how the CCB can better serve Oregonians.

",Yes,Cathy Dixon,503-934-2185,catherine.a.dixon@state.or.us,http://www.oregon.gov/ccb,,,,,,,,,,,catherine.a.dixon@state.or.us,,,,,,
Construction Contractors Board,Feb 2015 Board Meeting,Board Meeting,02/24/2015 09:30:00 AM,02/24/2015 12:00:00 PM,"Peru Room (306), Broadway Commons",Salem,OR,,Yes,Catherine Dixon,503-934-2185,catherine.a.dixon@state.or.us,,,,,,,,,,,http://www.oregon.gov/CCB/board/Pages/board-info.aspx,,,,http://www.oregon.gov/CCB/board/Pages/board-info.aspx,,,
Construction Contractors Board,January 2015 Board Meeting,Board Meeting,01/27/2015 09:30:00 AM,01/27/2015 12:00:00 PM,"700 Summer St NE, Conference Room B", Salem,OR,,Yes,Catherine Dixon,503-934-2185,catherine.a.dixon@state.or.us,,,,,,,,,,,http://www.oregon.gov/CCB/board/Pages/board-info.aspx,,,,http://www.oregon.gov/CCB/board/Pages/board-info.aspx,,,
Construction Contractors Board,New Contractor Workshop,New Contractor Workshop,06/28/2013 01:00:00 PM,06/28/2013 03:00:00 PM,Oregon Coast Community College - SBDC , Newport,OR,"The 90-minute workshop is designed to “un-complicate” contractor licensing requirements and assist Oregonians thinking about obtaining a CCB license to take the next step to obtaining a CCB license. CCB staff will discuss the process involved in becoming licensed including:  1) Choosing a business entity and CCB license endorsement; 2) License, bonding and insurance requirements, and 3) Pre-licensure education and testing requirements.

The meeting will be held at Clackamas Community College SBDC, 7736 SE Harmony Road, Room 172, OIT Building, Clackamas, Oregon.
",Yes,Cathy Dixon,(503) 934-2185,catherine.a.dixon@state.or.us,,,,,,,,,,,,catherine.a.dixon@state.or.us,,,,,,
Construction Contractors Board,Rulemaking Hearing,Rule Hearing,05/20/2015 10:00:00 AM,05/20/2015 11:00:00 AM,"700 Summer St NE Suite 300, Conf Rm B",Salem,OR,CCB rulemaking hearing regarding the home inspector exam.  See rulemaking hearing notices on CCB's webpage:  http://www.oregon.gov/CCB/laws-rules/Pages/proposed-rules.aspx. ,Yes,Catherine Dixon,503-934-2185,catherine.a.dixon@state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/CCB/laws-rules/Pages/proposed-rules.aspx,,,
Construction Contractors Board,CCB Board Meeting,Board Meeting,10/28/2014 08:30:00 AM,10/28/2014 02:00:00 PM,"Peru Room (306), Broadway Commons", Salem,OR,Board meeting,Yes,Cathy Dixon,503-934-2185,catherine.a.dixon@state.or.us,,,,Cathy Dixon,503-934-2185,,,,,,http://www.oregon.gov/CCB,catherine.a.dixon@state.or.us,,,,,,
Construction Contractors Board,CCB Board Meeting,Board Meeting,04/22/2014 10:30:00 AM,04/22/2014 04:00:00 PM,"West Salem Roths IGA Hospitality Center, 425 Glen Creek Rd", Salem,OR,CCB Board meeting and rulemaking hearing.,Yes,Cathy Dixon,503-934-2185,catherine.a.dixon@state.or.us,http://www.oregon.gov/ccb/Pages/board.aspx,,,,,,,,,,,catherine.a.dixon@state.or.us,,,,,,
Construction Contractors Board,New Contractor Workshop,New Contractor Workshop,06/27/2013 01:00:00 PM,06/27/2013 03:00:00 PM,Clatsop Community College ÛÒ SBDC, Seaside,OR,"The 90-minute workshop is designed to “un-complicate” contractor licensing requirements and assist Oregonians thinking about obtaining a CCB license to take the next step to obtaining a CCB license. CCB staff will discuss the process involved in becoming licensed including:  1) Choosing a business entity and CCB license endorsement; 2) License, bonding and insurance requirements, and 3) Pre-licensure education and testing requirements.

The meeting will be held at Clackamas Community College SBDC, 7736 SE Harmony Road, Room 172, OIT Building, Clackamas, Oregon.
",Yes,Cathy Dixon,(503) 934-2185,catherine.a.dixon@state.or.us,,,,,,,,,,,,catherine.a.dixon@state.or.us,,,,,,
Construction Contractors Board,CCB Stakeholder Meeting re HB 2801,CCB Stakeholder Meeting,10/11/2013 01:30:00 AM,10/11/2013 02:30:00 AM,"CCB Conf. Rm B, 700 Summer St NE Ste 300", Salem,OR,CCB Stakeholder meeting to discuss implementation of HB 2801 stakeholder input.,Yes,Cathy Dixon,503-934-2185,catherine.a.dixon@state.or.us,http://www.oregon.gov/ccb/Pages/board.aspx,,,,,,,,,,,catherine.a.dixon@state.or.us,,,,,,
Construction Contractors Board,Board Meeting,Board Meeting,12/03/2013 08:30:00 AM,12/03/2013 02:00:00 PM,"West Salem Roth's Hospitality Center, Santiam Rm", Salem,OR,Board meeting and possible Appeal Committee Meeting.,Yes,Cathy Dixon,(503) 934-2185,catherine.a.dixon@state.or.us,,,,,,,,,,,,catherine.a.dixon@state.or.us,,,,,,
Construction Contractors Board,CCB Town Hall Style Stakeholder Meeting,Stakeholder Meeting,07/19/2013 09:30:00 AM,07/19/2013 11:30:00 AM,"Central Oregon Comm College - SBDC, 1027 NW Trenton Ave", Bend,OR,"Town Hall Style Stakeholder Meeting:
The meetings will provide contractors, citizens and others interested in construction licensing regulations, an opportunity to offer input and opinions on matters facing construction contractors, future regulatory reforms, and how the CCB can better serve Oregonians.

",Yes,Cathy Dixon,503-934-2185,catherine.a.dixon@state.or.us,http://www.oregon.gov/ccb,,,,,,,,,,,catherine.a.dixon@state.or.us,,,,,,
Construction Contractors Board,CCB New Contractors Workshop,New Contractor Workshop,07/25/2013 01:00:00 PM,07/25/2013 03:00:00 PM,"Rogue Community College, 3345 Redwood Hwy Auditorum", Grants Pass,OR,"New Contractor Workshop:
The 90-minute workshop is designed to “un-complicate” contractor licensing requirements and assist Oregonians thinking about obtaining a CCB license to take the next step to obtaining a CCB license. CCB staff will discuss the process involved in becoming licensed including:  1) Choosing a business entity and CCB license endorsement; 2) License, bonding and insurance requirements, and 3) Pre-licensure education and testing requirements.

",Yes,Cathy Dixon,503-934-2185,catherine.a.dixon@state.or.us,http://www.oregon.gov/ccb,,,,,,,,,,,catherine.a.dixon@state.or.us,,,,,,
Construction Contractors Board,CCB New Contractor Workshop,New Contractor Workshop,07/17/2013 01:00:00 PM,07/17/2013 03:00:00 PM,"Blue Mountain Comm. College - SBDC, 2411 NW Carden Rm M", Pendleton,OR,"New Contractor Workshop:
The 90-minute workshop is designed to “un-complicate” contractor licensing requirements and assist Oregonians thinking about obtaining a CCB license to take the next step to obtaining a CCB license. CCB staff will discuss the process involved in becoming licensed including:  1) Choosing a business entity and CCB license endorsement; 2) License, bonding and insurance requirements, and 3) Pre-licensure education and testing requirements.
",Yes,Cathy Dixon,503-934-2185,catherine.a.dixon@state.or.us,http://www.oregon.gov/ccb,,,,,,,,,,,catherine.a.dixon@state.or.us,,,,,,
Construction Contractors Board,CCB Board Meeting,Board Meeting,06/24/2014 08:30:00 AM,06/24/2014 12:00:00 PM,"West Salem Roths IGA Hospitality Center, 425 Glen Creek Rd", Salem,OR,CCB Board meeting and possible Appeal Committee meeting.,Yes,Cathy Dixon,503-934-2185,catherine.a.dixon@state.or.us,http://www.oregon.gov/ccb/Pages/board.aspx,,,,,,,,,,,catherine.a.dixon@state.or.us,,,,,,
Construction Contractors Board,CCB Board Meeting,Board Meeting,12/02/2014 08:30:00 AM,12/02/2014 02:00:00 PM,"Peru Room (306), Broadway Commons", Salem,OR,Board Meeting,Yes,Cathy Dixon,503-934-2185,catherine.a.dixon@state.or.us,,,,,,,,,,,http://www.oregon.gov/ccb,catherine.a.dixon@state.or.us,,,,,,
Construction Contractors Board,CCB Town Hall Style Stakeholder Meeting,Stakeholder Meeting,07/24/2013 09:30:00 AM,07/24/2013 11:30:00 AM,"Klamath Comm. College - SBDC, 7390 S 6th St", Klamath Falls,OR,"Town Hall Style Stakeholder Meeting:
The meetings will provide contractors, citizens and others interested in construction licensing regulations, an opportunity to offer input and opinions on matters facing construction contractors, future regulatory reforms, and how the CCB can better serve Oregonians.

",Yes,Cathy Dixon,503-934-2185,catherine.a.dixon@state.or.us,http://www.oregon.gov/ccb,,,,,,,,,,,catherine.a.dixon@state.or.us,,,,,,
Construction Contractors Board,March 2015 Board Meeting,Board Meeting,03/24/2015 09:30:00 AM,03/24/2015 12:00:00 PM,"700 Summer St NE, Conference Room B",Salem,OR,,Yes,Catherine Dixon,503-934-2185,catherine.a.dixon@state.or.us,,,,,,,,,,,http://www.oregon.gov/CCB/board/Pages/board-info.aspx,,,,http://www.oregon.gov/CCB/board/Pages/board-info.aspx,,,
Construction Contractors Board,Construction Contractors Board Meeting,Board Meeting,01/27/2016 09:30:00 AM,01/27/2016 11:00:00 AM,201 High St. SE, Salem,OR,"CCB Board Meeting
See our website: http://www.oregon.gov/CCB/board/Pages/board-info.aspx",Yes,Leslie Culpepper,503-934-2228,leslie.culpepper@state.or.us,,,,Leslie Culpepper,503-934-2228,leslie.culpepper@state.or.us,,,,,http://www.oregon.gov/CCB/board/Pages/board-info.aspx,,,,http://www.oregon.gov/CCB/board/Pages/minutes.aspx,,,
