"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Owner,Agenda Upload,Map Location,Weblink to Meeting Minutes/Summaries,Agenda Download,2010 House Districts,2010 Senate Districts,Counties
Veterans Affairs Department,Advisory Committee to the Oregon Department of Veterans' Affairs,,12/04/2019 09:30:00 AM,12/04/2019 12:00:00 PM,"Department of Public Safety Standards and Training, 4190 Aumsville Hwy SE",Salem,OR,No denim to be worn at the Department of Public Safety Standards and Training.,,Martha Garcia,,vaac@odva.state.or.us,,https://goo.gl/maps/53MEkTNeKEyLkQmP6,,,,,,,,,https://issuu.com/odva/docs/december_4_2019_ac_rpt,,,,,December 4_2019 AC Rpt.pdf (https://data.oregon.gov/views/gs36-7t8m/files/6e094c02-729b-4aef-a5cc-16eea6cca884?download=true&filename=December%204_2019%20AC%20Rpt.pdf),,,
"Health Authority, Oregon",Medicaid Advisry Committee,Medicaid Advisry Committee,12/04/2019 10:00:00 AM,12/04/2019 12:00:00 PM,Webinar Meeting, Salem,OR,,Yes,Milena ,503-5515598,milena.malone@dhsoha.state.or.us,,,,,,,true,https://attendee.gotowebinar.com/register/4207461959002366465,1-888-398-2342,3732275,,,,,https://www.oregon.gov/oha/HPA/HP-MAC/Pages/index.aspx,,,,
Labor and Industries Bureau,OSATC Standards Review Subcommittee,,12/04/2019 01:00:00 PM,12/04/2019 05:00:00 PM,"Portland State Office Building (PSOB), 800 NE Oregon St, Room 1A", Portland,OR,,,Rachelle Herbert,,rachelle.herbert@state.or.us,,,https://www.oregon.gov/boli/ATD/docs/Council/OSATCMeetingDates2019.pdf,,,,,,,,,,,,,,,,
"Utility Notification Center, Oregon",December 2019 OUNC Board Meeting,,12/04/2019 01:30:00 PM,12/11/2019 04:30:00 PM,Wilsonville Training Center, Wilsonville,OR,,,Kitty Davis,5037816988,kitty@digsafelyoregon.com,,,,,,,,,,,,,,,,Email Announcement for Dec_2019 Board Meeting.pdf (https://data.oregon.gov/views/gs36-7t8m/files/08d3fe15-0938-4911-80f2-506c22d56cb2?download=true&filename=Email%20Announcement%20for%20Dec_2019%20Board%20Meeting.pdf),,,
Medical Assistance Program Administration,Targeted Case Management - Babies First,Discussed proposed rule changes effective 3/28/20,12/04/2019 02:00:00 PM,12/04/2019 03:00:00 PM,"Human Services Building, 500 Summer St NE, Room 137D", Salem,OR,,,Jason Daniels,,jason.h.daniels@dhsoha.state.or.us,,,,,,,,,1-866-390-1828,639037#,,,,,,C:\Users\or0164325\Desktop\Babies First - OAR 410-138-0020 - Redline.pdf (https://data.oregon.gov/views/gs36-7t8m/files/e7b27c8e-c347-41f5-a6bd-66b21daedada?download=true&filename=C:\Users\or0164325\Desktop\Babies%20First%20-%20OAR%20410-138-0020%20-%20Redline.pdf),,,
"Ryegrass Growers Seed Commission, Oregon",Ryegrass Commission Meeting,Regular Scheduled Commission Meeting,12/04/2019 06:00:00 PM,12/04/2019 08:00:00 PM,Cascade Grill, Albany,OR,,,Jenny Woellmer,5033642944,jenny@ostlund.com,,,,,,,,,,,,,,,,,,,
"Medical Board, Oregon",INVESTIGATIVE COMMITTEE,,12/05/2019 07:30:00 AM,12/05/2019 05:00:00 PM,"1500 SW 1st Ave, Suite 620", Portland,OR,"The 6-member Investigative Committee reviews investigations that have been conducted by OMB staff investigators, directs further investigative steps and interviews licensees who are under investigation, if appropriate. The Committee makes recommendations to the full Board regarding case resolutions. Note: This Committee meets almost entirely in Executive Session, which is closed to members of the general public. No final actions are taken in Executive Session.",,Gretchen Kingham ,971-673-2700,Gretchen.kingham@oregon.or.gov ,,,,,,,,,,,http://www.oregon.gov/omb/board/Pages/Meeting-Notices.aspx,,,,http://www.oregon.gov/omb/board/Pages/Meeting-Minutes.aspx,,,,
Land Conservation & Development Department,CANCELLED: Citizen Involvement Advisory Committee,Meeting has been cancelled,12/05/2019 09:00:00 AM,12/05/2019 12:00:00 PM,"Basement Hearing Room, 635 Capitol St. NE", Salem,OR,,,Sadie Carney,503-934-0036,sadie.carney@state.or.us,,,,Katie Lahey,503-934-0401,katie.lahey@state.or.us,,,,,,,,,https://www.oregon.gov/lcd/About/Pages/CIAC.aspx,,,,
Governor's Office,Regional Solutions Advisory Committee: Mid-Valley,,12/05/2019 09:00:00 AM,12/05/2019 11:30:00 AM,Mac Market - 1140 NE Alpine Avenue, McMinnville,OR,,,Rebekah Degner,5033786502,Rebekah.DEGNER@oregon.gov,,,,,,,,,+15414652805     ,338467#    ,https://www.oregon.gov/gov/admin/regional-solutions/Documents/Mid-Valley/2019.12.05%20Mid-Valley%20RSAC%20Agenda%20-%20Final%20_.pdf,,,,https://www.oregon.gov/gov/admin/regional-solutions/Documents/Mid-Valley/2019.09.20%20Minutes%20(DRAFT)%20-%20M-V%20Advisory%20Committee.pdf,2019.12.05 Mid-Valley RSAC Agenda - Final _.pdf (https://data.oregon.gov/views/gs36-7t8m/files/d84848bd-6c9c-406d-be3e-f4760b26e16f?download=true&filename=2019.12.05%20Mid-Valley%20RSAC%20Agenda%20-%20Final%20_.pdf),,,
Nursing Board,OSBN Advisory Committee for Education Standards,Meeting to discuss nursing education as directed by the Board-approved charter. This includes topics that are relevant to nursing programs and their students throughout the state.,12/05/2019 09:00:00 AM,12/05/2019 12:00:00 PM,Oregon State Board of Nursing, Portland,OR,,,Ginger Simmons,971-673-0674,ginger.simmons@state.or.us,,,,Oregon Relay System,TTY: 1-800-735-2900 or 1-800-735-1232 or 711 on your TTY or Telephone in Oregon,,true,https://osbn.adobeconnect.com/aces/,,,https://www.oregon.gov/osbn/Pages/board-meetings.aspx,,,,https://www.oregon.gov/osbn/Pages/board-meetings.aspx,,,,
Home Care Commission,Home Care Commission Meeting,,12/05/2019 10:00:00 AM,12/05/2019 02:00:00 PM,550 Capitol St NE, Salem,OR,,,Nancy Sodeman,,nancy.d.sodeman@dhsoha.state.or.us,,https://binged.it/37d6l2g,,Nancy Sodeman,,nancy.d.sodeman@dhsoha.state.or.us,,,,,,,,,https://www.oregon.gov/DHS/SENIORS-DISABILITIES/HCC/Pages/Meetings.aspx,"S:\Offices\Salem (500 Summer St)\HOME CARE COMMISSION\Commission\Commission Meetings\2019\12-2019\Staff Reports\1-Home Care Commission Agenda December 5, 2019.pdf (https://data.oregon.gov/views/gs36-7t8m/files/8715d26b-71a0-4c93-be95-deabc76133aa?download=true&filename=S:\Offices\Salem%20(500%20Summer%20St)\HOME%20CARE%20COMMISSION\Commission\Commission%20Meetings\2019\12-2019\Staff%20Reports\1-Home%20Care%20Commission%20Agenda%20December%205,%202019.pdf)",,,
Travel Information Council,Rest Area Committee Meeting ,Review of agency's rest area operations and recommendations for full Council.,12/05/2019 10:00:00 AM,12/05/2019 12:00:00 PM,"TIC Offices, 1500 Liberty St. SE , Suite 150 ", Salem,OR,,,Jessica Carbone,5033730155,jessicac@oregontic.com,,,,,,,,,,,,,,,,12-5-2019 RA Agenda (1).pdf (https://data.oregon.gov/views/gs36-7t8m/files/dccf900d-8b7e-42d1-b730-0ef0977ad282?download=true&filename=12-5-2019%20RA%20Agenda%20(1).pdf),,,
"Salmon Commission, Oregon",Regular Fall Meeting,,12/05/2019 10:00:00 AM,12/05/2019 04:00:00 PM,"U.S. Fish & Wildlife Service, 2127 SE Marine Drive",Newport,OR,,,Nancy Fitzpatrick,5419942647,nancy@oregonsalmon.org,,,,,,,,,,,,,,,,Dec 5 2019 OSC mtg agenda.pdf (https://data.oregon.gov/views/gs36-7t8m/files/262be60f-b42a-45b2-88d4-58c0f614df40?download=true&filename=Dec%205%202019%20OSC%20mtg%20agenda.pdf),,,
Aviation Department,Oregon State Aviation Board Meeting,December 2019 Oregon State Aviation Board Meeting,12/05/2019 10:00:00 AM,12/05/2019 02:30:00 PM,"Oregon State University, Memorial Union, Room 104 2501 SW Jefferson Way", Corvallis,OR,"The Oregon Aviation Board will be holding a board meeting Thursday, December 5, 2019 10:00 a.m. This meeting will be held at Oregon State University, Memorial Union Room 104 located in Corvallis, Oregon. The Aviation Board is a seven member body that gives policy guidance and oversight to the Oregon Department of Aviation. Members of the public are welcome to attend the board meeting.",Yes,Mary Buell,5033782217,mary.buell@aviation.state.or.us,,https://goo.gl/maps/MnXcGYFDGTiWK5H67,,,,,true,https://www.gotomeet.me/oraviation/avb,8882512909,5634428,,,,,https://www.oregon.gov/aviation/AVB/Pages/Next.aspx,AVB_2019_12_05_Agenda (FINAL).pdf (https://data.oregon.gov/views/gs36-7t8m/files/4c09d86f-9cdc-488f-9126-b541a5740a47?download=true&filename=AVB_2019_12_05_Agenda%20(FINAL).pdf),,,
Independent Living Council,State Plan Committee,State Plan Development,12/05/2019 10:00:00 AM,12/05/2019 02:00:00 PM,500 Summer St NE - Room 280, Salem,OR,"Please contact the SILC if you plan to attend, to get details about access to the room and parking, and to help us plan for appropriate meeting space.  

In support of the SILC mission of inclusion, we ask people to refrain from wearing perfumes or other scents at the meetings so that those with chemical sensitivities may attend and participate comfortably. 

Accommodations including provision of interpreters, assistive listening devices, and materials in alternate formats are available upon request. Although every effort will be made to arrange accommodations within 48-hour notice, the SILC requests earliest possible notice to ensure accommodations.",No,Shelly Emery,503-945-6204,shelly.emery@state.or.us,,https://goo.gl/maps/aDGKm3awtjq,,Joette Fitch,503-945-7015,joette.l.fitch@state.or.us,,,,,,,,,,,,,
"Library, Oregon State",State Library Board Executive Committee Meeting 12/5/19,,12/05/2019 10:30:00 AM,12/05/2019 11:00:00 AM,Phone,Salem,OR,,,Jennifer Patterson,5033784367,jennifer.l.patterson@state.or.us,,,,,5033784367,,,,,,,,,,,Executive Committee Press Release 12.5.19.pdf (https://data.oregon.gov/views/gs36-7t8m/files/1305c6b3-0d04-4453-9d4d-7ea331ea9cff?download=true&filename=Executive%20Committee%20Press%20Release%2012.5.19.pdf),,,
"Health Authority, Oregon",Immunization Policy Advisory Team,,12/05/2019 12:00:00 PM,12/05/2019 02:00:00 PM,"Portland State Office Building, Room 1B, 800 NE Oregon Street", Portland,OR,"Agenda: Agenda will be available at meeting or via email request three days before the meeting date by contacting imm.info@state.or.us.

A public comment period will be provided toward the beginning of the meeting for about 10-12 minutes. The public comment period is for comments only; the team will not entertain questions from the public. Those who want to provide public comment must provide notice by 4 p.m. Dec. 3 by calling 971-673-0300 or emailing imm.info@state.or.us. Please provide the following information: name, whether commenting in person or via phone, and if by phone, the phone number you will use to call in to the meeting. 

Additional information regarding public comments:
•	The agenda time will be allocated to the number of requests we receive.
•	The minimum time allotment per request will be two minutes for a total of six slots.
•	The meeting facilitator will provide time to each pre-arranged comment by name. For those in the room, please move to the designated chair so that those on the phone can hear you. For those on the conference call line, the call coordinator will un-mute your line allowing you to provide your comment.
•	Please stay within your allotted time so that we can provide time to everyone. The public comment period will not be extended to accommodate.
",Yes,Aaron Dunn,971-673-0318,imm.info@state.or.us,,,,,,,,,866-377-3315,9971040,,,,,https://www.oregon.gov/oha/PH/PREVENTIONWELLNESS/VACCINESIMMUNIZATION/Pages/index.aspx,,,,
"Health Authority, Oregon",Health Information Technology Oversight Council,Health Information Technology Oversight Council,12/05/2019 12:30:00 PM,12/05/2019 03:45:00 PM,"421 SW Oak St., Suite 775, Transformation Center Training Room ", Portland,OR,"The Heath Information Technology Oversight Council is guided by Oregon’s Strategic Plan for HIT and HIE (2017-2020), released in October 2017. This plan outlines three goals to achieve HIT-optimized health care in Oregon. These goals will inform the policy recommendations made by the council and its committees and work groups. The Council plays a key role in defining the strategic direction and priority of HIT efforts in Oregon including services offered by the Oregon Health Information Technology Program. The Council is responsible for reporting on the progress of these and other Health IT efforts in the state to the Policy Board.",Yes,Francie Nevill,,Francie.J.Nevill@dhsoha.state.or.us,,,,OHIT Admin Assistant,,OHIT.info@dhsoha.state.or.us,true,https://www.oregon.gov/oha/HPA/OHIT-HITOC/Pages/HITOC-Meetings.aspx,888-808-6929,453-773 (#),https://www.oregon.gov/oha/HPA/OHIT-HITOC/Pages/HITOC-Meetings.aspx,,,,https://www.oregon.gov/oha/HPA/OHIT-HITOC/Pages/HITOC-Meetings.aspx,,,,
Forestry Department,State Forests Advisory Committee meets Dec. 5 in Salem for update on draft revised Western Oregon State Forest Management Plan,,12/05/2019 01:00:00 PM,12/05/2019 04:00:00 PM,"Oregon Department of Forestry, Tillamook Room, Building C, 2600 State St.", Salem,OR,"SALEM, Ore. – An Oregon Department of Forestry (ODF) state forests advisory group will meet on Thursday, Dec. 5 in Salem to provide input on the draft Western Oregon State Forest Management Plan.

The State Forests Advisory Committee will meet from 1-4 p.m. in Salem at the Oregon Department of Forestry (Tillamook Room), 2600 State St., Salem, 97310. This session will serve as an introduction to the plan revision, which kicked off in 2017 and is intended to increase financial and conservation outcomes on the approximately 613,000 acres of Board of Forestry land covered under the plan. The draft plan will be released Dec. 2 and posted on the project page at https://www.oregon.gov/ODF/AboutODF/Pages/FMP-revision.aspx.

The meeting agenda will be posted at http://www.oregon.gov/ODF/Board/Pages/SFAC.aspx. The meeting location is accessible to persons with disabilities. Requests for an interpreter for the hearing impaired or other accommodations for persons with disabilities should be made at least 48 hours prior to the meeting. Questions about accessibility or special accommodations for the meeting can be directed to the Oregon Department of Forestry at 503-945-7427.

SFAC’s role
The State Forests Advisory Committee (SFAC) includes citizens and representatives of timber, environmental and recreation groups. SFAC provides a forum to discuss issues, opportunities and concerns, and offer advice and guidance to ODF on the implementation of the Northwest Oregon State Forests Management Plan. The plan provides guidance for managing 616,000 acres within the Tillamook, Clatsop and Santiam State Forests, and several scattered state-owned forest tracts in Benton, Polk, Lincoln and Lane counties through a balanced approach to generate revenue while prioritizing environmental and social benefits.
",,Jason Cox,5039457427,jason.r.cox@oregon.gov,,,,,,,,,,,,,,,,,,,
Medical Assistance Program Administration,Mental Health Clinical Advisory Group,MEETING CANCELLED,12/05/2019 01:00:00 PM,12/05/2019 04:00:00 PM,MEETING CANCELLED, Portland,OR,"This is a Regular Meeting of the MHCAG to discuss creation of a treatment care guide for bipolar disorder. Topics may include medication algorithms, psychosocial treatments and resources for individuals and families. 

Please refer to the MHCAG website for a more detailed agenda and meeting materials. ",Yes,Amanda Parish,5033838142,amanda.b.parish@state.or.us,,,,,,,,,(877)873-8018,3741787,,,,,http://www.oregon.gov/oha/HSD/OHP/Pages/PT-MHCAG.aspx,,,,
"Energy, Department of",1.5% Green Energy Technology Rulemaking Hearing,This is a public hearing on the proposed new rules for the program,12/05/2019 02:00:00 PM,12/05/2019 03:00:00 PM,Oregon Department of Energy, Salem,OR,"The proposed rules would implement House Bill 2496, adopted by the 2019 Legislative Assembly and codified as Oregon Laws 2019 Chapter 160.",Yes,Wendy Simons,,wendy.simons@oregon.gov,,,,,,,,,,,,,,,https://www.oregon.gov/energy/Get-Involved/Pages/GET-Rulemaking.aspx,,,,
