"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Public Call-In Number,Call-in Access Code,Agenda URL,Map Location,2010 House Districts,2010 Senate Districts,Counties
Clackamas ESD,Board of Directors Regular Session,Monthly Board Meeting,04/18/2012 06:30:00 PM,04/18/2012 09:00:00 PM,13455 SE 97th Ave,Clackamas,OR,,Yes,Cindy Bernert-Coppola,503-675-4003,ccoppola@clackesd.k12.or.us,https://v3.boardbook.org/Public/PublicHome.aspx?ak=1000564,http://clackesd.k12.or.us/about/maps/sunnybrook.pdf,,,,,,,,,,,,
Columbia Gorge ESD,Board of Directors Meeting,Regular monthly meeting,04/18/2012 07:00:00 PM,04/18/2012 08:00:00 PM,"400 East Scenic Drive, Bldg 2, Room 2.204", The Dalles,,Regular monthly meeting of the board of directors.,Yes,Mary Bowen,541-506-2240,mbowen@cgesd.k12.or.us,,,,Mary Bowen,541-506-2240,mbowen@cgesd.k12.or.us,,,,,,,,
Consumer & Business Services Department,Management-Labor Advisory Committee,Access to Medical Treatment Subcommittee,04/13/2012 09:00:00 AM,,"Labor & Industry Building, 350 Winter St. NE, Room F", Salem,OR,,,Victor Garcia,503-947-7866,victor.a.garcia@state.or.us,,,,,,,,,,,,,,
"Counselors and Therapists, Board of Licensed Professional",Board Meeting,Board Meeting,04/13/2012 08:30:00 AM,04/13/2012 03:00:00 PM,"3218 Pringle Road SE, Suite 250", Salem,OR,Bi-Monthly Board Meeting,Yes,Lonnie Knotts,503.378.5499,lonnie.p.knotts@state.or.us,,,,,,,,,,,,,,
Criminal Justic Commission,Asset Forfeiture Oversight Advisory Committee,AFOAC,04/06/2012 01:30:00 PM,04/06/2012 02:30:00 PM,State Archives Conf. Rm. 800 Summer St. NE, Salem,OR,The AFOAC will review the draft report and/or approve for finalization before it is submitted to the legislature.,,Liz Skinner,503-378-4830,liz.skinner@state.or.us,,,,,,,,Please contact me,,,,,,
Criminal Justic Commission,Criminal Justice Commission,CJC,04/27/2012 01:30:00 PM,04/27/2012 03:00:00 PM,885 Summer St. NE, Salem,OR,"Discussion and possible amendment of rule pertaining to rulemaking notice in OAR chapter 213, Division 1. Discussion and possible amendment or adoption of rules in OAR Chapter 213, Divisions 3, 4, 5, 17, 18 and related appendix. February 2012 session review- budget. Grant discussion- 2012 byrne/JAG application, 2012 RSAT grant application and unpsent ARRA funds. Farewell to Mike Wilson and Devarshi Bajpai.",,Liz Skinner,503-378-4830,liz.skinner@state.or.us,,,,,,,,Contact Liz,,,,,,
"Dentistry, Oregon Board of","April 6, 2012 - Board Meeting ",Regularly Scheduled Meeting of the Board,04/06/2012 07:30:00 AM,,"1600 SW 4th Ave., Ste # 770", Portland,OR,,No,Lisa Warwick,(971) 673-3200,Lisa.Warwick@state.or.us,,,,Patrick Braatz,(971) 673-3200,Patrick.Braatz@state.or.us,,,,,,,,
"Dentistry, Oregon Board of",Rules Oversight Committee Meeting,Rules Oversight Committee Meeting,04/03/2012 07:00:00 PM,,"1600 SW 4th Ave., Ste # 770", Portland,OR,The Meeting Agenda will be posted to the Boards website (www.oregong.gov/dentistry) 1 week prior to the actual meeting date as well as any supplemental materials. ,NO,Lisa Warwick,(971) 673-3200,Lisa.Warwick@state.or.us,,,,Patrick Braatz,(971) 673-3200,Patrick.Braatz@state.or.us,,,,http://www.oregon.gov/Dentistry/brd_agendas.shtml,,,,
"Dentistry, Oregon Board of",Rules Oversight Committee Meeting,Rules Oversight Committee Meeting,04/02/2012 07:00:00 PM,,"1600 SW 4th Ave., Ste # 770", Portland,OR,,No,Lisa Warwick,(971) 673-3200,Lisa.Warwick@state.or.us,,,,,,,,,,,,,,
Douglas ESD,Board of Directors Meeting,Regular Meeting,04/19/2012 06:30:00 PM,,1871 NE Stephens St, Roseburg,OR,,,Angie Wyscaver,,angie.wyscaver@douglasesd.k12.or.us,,,,,,,,,,http://www.douglasesd.k12.or.us/LinkClick.aspx?fileticket=K4iJCCU9Lko%3d&tabid=431&mid=3690,,,,
"Dungeness Crab Commission, Oregon",Commission Meeting,Regular/Public Meeting,04/10/2012 09:00:00 AM,04/10/2012 04:00:00 PM,Holiday Inn Express, Astoria,OR,"Meeting will be held in the River View Room #1 at Holiday Inn Express, 204 West Marine Drive in Astoria. The meeting location is accessible to persons with disabilities. Please make requests for an interpreter for the hearing impaired or for other accomodations for persons with disabilities at least 48 hours before the meeting by contacting the ODCC office at (541) 267-5810.",,Shirley Williams,541-267-5810,shirley@oregondungeness.org,,,,,,,,,,,,,,
Electronic Government Portal Advisory Board,April Board Meeting,"E-Government Program Transition, prioritization criteria, and projects",04/06/2012 09:00:00 AM,04/06/2012 11:30:00 AM,"Revenue Building, 955 Center St. NE, Room 467", Salem,OR,"The Electronic Government Portal Advisory Board meeting provides advice to the Department of Administrative Services on the states Internet websites, applications and online services.",Yes,Carol Zielinski,503-378-3175,carol.a.zielinski@state.or.us,http://www.oregon.gov/EPAB/index.shtml,"http://maps.google.com/maps?q=955+Center+Street+Ne,+salem,+Or&hl=en&sll=37.0625,-95.677068&sspn=52.902929,78.662109&t=h&hnear=955+Center+St+NE,+Salem,+Oregon+97301&z=16&iwloc=A",,,,,,,,http://www.oregon.gov/EPAB/agenda_minutes_handouts.shtml,,,,
"Emergency Management, Oregon",State Interagency Hazard Mitigation Team,Interagency Hazard Mitigation Team,04/19/2012 09:00:00 AM,04/19/2012 11:00:00 AM,"OEM, ECC, 3225 State Street", Salem,OR,,,Joseph Murray,,joseph.murray@state.or.us,,,,,,,,,,,,,,
Employment Relations Board,Hearing on Unfair Labor Practice Complaint,Hearing ~ Cancelled,04/18/2012 09:00:00 AM,04/18/2012 05:00:00 PM,"528 Cottage St NE, Room 340", Salem,OR,"UP-067-11, Oregon School Employees Association v. State of Oregon, Department of Administrative Services",,Patti Grady,503-378-3295,patti.grady@state.or.us,,http://www.oregon.gov/ERB/maps.shtml,,,,,,,,,,,,
Employment Relations Board,Hearing on Unfair Labor Practice Complaint,Hearing,04/17/2012 09:00:00 AM,04/17/2012 05:00:00 PM,"528 Cottage St NE, Room 340", Salem,OR,"UP-081-11, Cornelius Police Officers' Association v. City of Cornelius


",,Patti Grady,503-378-3295,patti.grady@state.or.us,,http://www.oregon.gov/ERB/maps.shtml,,,,,,,,,,,,
Employment Relations Board,Hearing on Unfair Labor Practice Complaint,Hearing,04/30/2012 09:00:00 AM,04/30/2012 05:00:00 PM,"528 Cottage St NE, Room 340", Salem,OR,"UP-042-11, SEIU, Local 503, OPEU v. State of Oregon, Department of Administrative Services


",,Patti Grady,503-378-3295,patti.grady@state.or.us,,http://www.oregon.gov/ERB/maps.shtml,,,,,,,,,,,,
Employment Relations Board,Hearing on Unfair Labor Practice Complaint,Hearing,04/30/2012 09:00:00 AM,05/01/2012 05:00:00 PM,"528 Cottage St NE, 4th Floor Conference Room", Salem,OR,"UP-041-11, Oregon Education Association/Portland Association of Teachers v. Portland Public Schools


",,Patti Grady,503-378-32-95,patti.grady@state.or.us,,http://www.oregon.gov/ERB/maps.shtml,,,,,,,,,,,,
Employment Relations Board,Hearing on Unfair Labor Practice Complaint,Hearing,04/12/2012 09:00:00 AM,04/12/2012 05:00:00 PM,"528 Cottage St NE, Room 340", Salem,OR,"UP-061-11, David J. Pyles v. State of Oregon, Oregon Department of Transportation


",,Patti Grady,503-378-3295,patti.grady@state.or.us,,http://www.oregon.gov/ERB/maps.shtml,,,,,,,,,,,,
Employment Relations Board,Hearing on Unfair Labor Practice Complaint,Hearing,04/26/2012 09:30:00 AM,04/26/2012 05:00:00 PM,"528 Cottage St NE, Room 340", Salem,OR,"UP-046-11, Oregon School Employees Association v. Central Point School District


",,Patti Grady,503-378-3295,patti.grady@state.or.us,,http://www.oregon.gov/ERB/maps.shtml,,,,,,,,,,,,
Employment Relations Board,Hearing on Unfair Labor Practice Complaint,Hearing,04/24/2012 09:00:00 AM,04/24/2012 05:00:00 PM,"528 Cottage St NE, Room 340", Salem,OR,"UP-055-11, Klamath Falls EA v. Klamath Falls SD",,Patti Grady,503-378-3295,patti.grady@state.or.us,,http://www.oregon.gov/ERB/maps.shtml,,,,,,,,,,,,
Employment Relations Board,Hearing on Petition for Unit Clarification,Hearing,04/26/2012 09:00:00 AM,04/27/2012 05:00:00 PM,"528 Cottage St NE, 4th Floor Conference Room", Salem,OR,"UC-001-12, Josephine County v. Josephine County Sheriffs Office


",,Patti Grady,503-378-3295,patti.grady@state.or.us,,http://www.oregon.gov/ERB/maps.shtml,,,,,,,,,,,,
Employment Relations Board,Oral Argument,Oral Argument,04/25/2012 01:30:00 PM,04/25/2012 02:15:00 PM,"528 Cottage St NE, Room 340", Salem,OR,"UP-016-10, State of Oregon, Department of Administrative Services and Department of Corrections v. Oregon AFSCME Council 75",,April Bathurst,503-378-3808,april.bathurst@state.or.us,,http://www.oregon.gov/ERB/maps.shtml,,,,,,,,,,,,
Employment Relations Board,Hearing on Unfair Labor Practice Complaint,Hearing,04/10/2012 09:30:00 AM,04/10/2012 05:00:00 PM,"528 Cottage St NE, Room 340", Salem,OR,"UP-074-11, Brookings-Harbor Education Association/OEA v. Brookings-Harbor School District 17C",,Patti Grady,503-378-3295,patti.grady@state.or.us,,http://www.oregon.gov/ERB/maps.shtml,,,,,,,,,,,,
"Engineering and Land Surveying, Board of Examiners for",Standards of Practice for Land Surveying Subcommittee,Meeting,04/12/2012 12:00:00 PM,,"Conference Room, 670 Hawthorne Ave SE Suite 220", Salem,OR,,,Joy Pariante,5033622666,pariantej@osbeels.org,,,,,,,,,,,,,,
"Engineering and Land Surveying, Board of Examiners for",Law Enforcement Committee,Meeting,04/12/2012 08:00:00 AM,,"Conference Room, 670 Hawthorne Ave SE Suite 220", Salem,OR,,,Joy Pariante,5033622666,pariantej@osbeels.org,,,,,,,,,,,,,,
"Engineering and Land Surveying, Board of Examiners for",External Relations Committee,Meeting,04/13/2012 11:30:00 AM,,"Conference Room, 670 Hawthorne Ave SE Suite 220", Salem,OR,,,Joy Pariante,5033622666,pariantej@osbeels.org,,,,,,,,,,,,,,
"Engineering and Land Surveying, Board of Examiners for",Finance Committee,Meeting,04/13/2012 11:00:00 AM,,"Conference Room, 670 Hawthorne Ave SE Suite 220", Salem,OR,,,Joy Pariante,5033622666,pariantej@osbeels.org,,,,,,,,,,,,,,
"Engineering and Land Surveying, Board of Examiners for",Rules and Regulations Committee,Meeting,04/13/2012 08:00:00 AM,,"Conference Room, 670 Hawthorne Ave SE Suite 220", Salem,OR,,,Joy Pariante,,pariantej@osbeels.org,,,,,,,,,,,,,,
"Engineering and Land Surveying, Board of Examiners for",Professional Practices,Meeting,04/13/2012 01:00:00 PM,,"Conference Room, 670 Hawthorne Ave SE Suite 220", Salem,OR,,,Joy Pariante,5033622666,pariantej@osbeels.org,,,,,,,,,,,,,,
"Engineering and Land Surveying, Board of Examiners for",Examinations and Qualifications Committee,Meeting,04/13/2012 09:00:00 AM,,"Conference Room, 670 Hawthorne Ave SE Suite 220", Salem,OR,,,Joy Pariante,5033622666,pariantej@osbeels.org,,,,,,,,,,,,,,
Environmental Quality Dept.,E-Cycles Registration Fee Rulemaking,Proposed rules to adopt changes in registration fees for electronics manufacturers.,04/16/2012 04:00:00 PM,,"DEQ Headquarters, Room 10, 811 SW 6th Ave", Portland,OR,,,Loretta Pickerell,503-229-5808,pickerell.loretta@deq.state.or.us,,,,,,,,,,,,,,
Environmental Quality Dept.,Riverbend Landfill Informational Meeting,DEQ invites the public to attend an informational meeting and provide written comment on DEQ's proposal to approve a revised final grading plan for the Riverbend Landfill.,04/17/2012 06:00:00 PM,,"McMinnville Senior Center, 2250 NE McDaniel Lane", McMinnville,OR,,,Bob Schwarz,541-298-7255 xt 230,schwarz.bob@deq.state.or.us,,,,,,,,,,,,,,
"Ethics Commission, Oregon Government",Regularly Scheduled Meeting,April Meeting,04/17/2012 09:00:00 AM,04/17/2012 01:00:00 PM,"3218 Pringle Rd SE, #220", Salem,OR,,,Virginia Lutz,503-378-6803,virginia.lutz@state.or.us,http://www.oregon.gov/ogec,,,,,,,,,http://www.oregon.gov/OGEC/agendas.shtml,,,,
"Facilities Authority, Oregon",Informational Session,Learn About OFA,04/17/2012 03:00:00 PM,04/17/2012 04:00:00 PM,"888 SW Fifth Ave., Suite 1600", Portland,OR,,,Gwendolyn Griffith,,ofa@tonkon.com,,,,,,,,,,,,,,
"Facilities Authority, Oregon",Board Meeting,Apr-12,04/04/2012 10:00:00 AM,04/04/2012 11:45:00 AM,"State Treasurer, 350 Winter Street", Salem,OR,,,Gwendolyn Griffith,,ofa@tonkon.com,,,,,,,,,,,,,,
"Facilities Authority, Oregon",Planning Session,Annual,04/04/2012 01:15:00 PM,04/04/2012 04:15:00 PM,"250 Winter Street, Willamette University, Faculty Lounge", Salem,OR,,,Gwendolyn Griffith,,ofa@tonkon.com,,,,,,,,,,,,,,
"Fine Fescue Commission, Oregon",Fine Fescue Commission Meeting,Regular scheduled commission meeting,04/23/2012 07:00:00 AM,04/23/2012 09:00:00 AM,Elmer's Restaurant, Salem,OR,,,Jenny Woellmer,503-364-2944,jenny@ostlund.com,,,,,,,,,,,,,,
Fish and Wildlife Department,Access & Habitat Board Meeting,"the meeting agenda includes a budget report, discussion of funding priorities, Regional Advisory Council appointment, project aplication revies, and other program business ",04/24/2012 08:00:00 AM,04/24/2012 04:00:00 PM,"Chinook Winds Hotel, 1501 NW 40th Place ", Lincoln City,OR,"ODFW’s Access and Habitat Board will meet Tuesday, April 24 the Chinook Winds Hotel 1501 NW 40th Place Lincoln City, OR 97367. The meeting begins at 8:00 a.m.

The meeting agenda includes a budget report, discussion of funding priorities, Regional Advisory Council appointments, project application reviews, and other program business.
Members of the public may attend the entire meeting. An opportunity for public comment is scheduled for 10:00 a.m.

A field trip to view local projects funded by the A&H Program is scheduled for Monday April 23. The tour will leave at 8:00 a.m. from the Chinook Winds Hotel 1501 NW 40th Place Lincoln City, OR 97367. Members of the public may accompany the group using their own transportation.

A teleconference line is also available for members of the public who wish to participate in the Tuesday meeting, but who cannot attend in person. Contact Matt Keenan at (503) 947-6087 for teleconference phone number and access code.

The A&H Program funds projects that provide hunter access and/or improve wildlife habitat on private land in Oregon. The A&H Program is funded primarily by a $4 surcharge on hunting licenses, big game auction and raffle tag sales. 

For additional information on attending the meeting or field trip call program staff at 503-947-6087. More information about the A&H Program can be found at www.dfw.state.or.us/lands/AH.",An opportunity for public comments is scheduled for 10:00 AM,Matt Keenan,(503) 947-6087,Matthew.T.Keenan@state.or.us,http://www.dfw.state.or.us/lands/AH/#board,,,,,,,1-888-476-6131,804246,http://www.dfw.state.or.us/lands/AH/minutes/index.asp,,,,
Fish and Wildlife Department,Salmon and Trout Advisory Committee,"The agenda includes reports on STEP activities and projects, program updates and review of mini-grant applications.",04/13/2012 08:30:00 AM,04/13/2012 04:30:00 PM,Umpqua Discovery Center , Reedsport,OR,"SALEM, Ore. — The Oregon Department of Fish and Wildlife’s Salmon and Trout Enhancement Program (STEP) Advisory Committee will meet in Reedsport on Friday, April 13, 2012.

The committee will meet from 8:30 a.m. to 4:30 p.m. at the Umpqua Discovery Center located at 409 Riverfront Way in Reedsport. The agenda includes reports on STEP activities and projects, program updates and review of mini-grant applications. The meeting is open to the public.

The Committee also will review a proposal to renew the Gardiner-Reedsport-Winchester Bay STEP propagation program. Any STEP project that rears fish for release (including egg incubation) must be approved by ODFW. Part of the approval process includes public input and review by the Advisory Committee.

The proposals are available for public review on the ODFW website at http://www.dfw.state.or.us/fish/STEP/ and members of the public will be able to comment on the proposals at the meeting or in writing. Written comments are due by April 9.

The Oregon Legislature created STEP in 1981 to provide a way for volunteers to participate in the restoration of native stocks of salmon, steelhead and trout. Since then, thousands of volunteers have donated money, materials, equipment and countless hours of labor to improving Oregon fisheries. 

The STEP Advisory Committee makes recommendations to ODFW and the Fish and Wildlife Commission on issues regarding its programs. The committee’s 13 members are appointed by the Governor and represent all areas of Oregon.

Reasonable accommodations will be provided as needed for individuals requesting assistive hearing devices, sign language interpreters or large-print materials. Individuals needing these types of accommodations may call the Information and Education Division at (800) 720-6339 or (503) 947-6002 at least 24 hours in advance of the meeting. 

For more information on the Salmon Trout Enhancement Program visit the ODFW Web site at http://www.dfw.state.or.us/fish/STEP/ or call program staff at (503) 947-6211.
",,Kevin Herkamp ,,Kevin.Herkamp@state.or.us,http://www.dfw.state.or.us/fish/STEP/,,,,,,,,,,,,,
Fish and Wildlife Department,Fish Restoration and Enhancement Board,"The agenda includes a program and budget update, review of new project proposals and other program business.",04/20/2012 08:00:00 AM,04/20/2012 05:00:00 PM,"Clarion Inn, 1249 Tapadera Ave.", Ontario,OR,"SALEM, Ore.— The Oregon Department of Fish and Wildlife’s Fish Restoration and Enhancement Board will meet on Friday, April 20 at the Clarion Inn, 1249 Tapadera Ave., Ontario.
 
The Board will meet from 8 a.m. to 5 p.m. The agenda includes a program and budget update, review of new project proposals and other program business.
 
The meeting is open to the public, and there will be an opportunity for public comment in the afternoon.
 
On Saturday morning, April 21, the Board will tour local R&E projects. Members of the public may accompany the group but must provide their own transportation. For additional information on the field trip, contact R&E Program staff at (503) 947-6259.
 
Reasonable accommodations will be provided as needed for individuals requesting assistive hearing devices, sign language interpreters or large-print materials. Individuals needing these types of accommodations may call the Information and Education Division at 800-720-6339 or 503-947-6002 at least 24 hours in advance of the meeting.
 
Created by the Oregon Legislature in 1989, the Fish Restoration and Enhancement Program is funded by a surcharge on sport and commercial fishing licenses and commercial poundage fees. The program’s seven-member citizen board reviews fish restoration and enhancement project proposals and makes funding recommendations to the Oregon Fish and Wildlife Commission.
 
For more information on the Fish Restoration and Enhancement Program, or to view information regarding current R&E Program applications, visit www.dfw.state.or.us/fish/RE or contact program coordinator Josie Thompson at (503) 947-6259.
",,Josie Thompson ,(503) 947-6259,josie.e.thompson@state.or.us,http://www.dfw.state.or.us/fish/RE/,,,,,,,,,,,,,
"Forest Resources Institute, Oregon",Board of Directors April Meeting,Quarterly Board Meeting,04/13/2012 09:00:00 AM,,"US Historic Bank Bldg. Board Room, Third Floor, 625 SW Stark Street, Portland, OR", Portland,OR,,Yes,Kathy Storm,971-673-2953,storm@ofri.org,,,,Kathy Storm,971-673-2953,storm@ofri.org,,,,,,,,
"Forestry, State Board of",Board of Forestry meeting,The Oregon Board of Forestry holds business meetings several times a year.,04/26/2012 10:00:00 AM,04/27/2012 04:00:00 PM,Best Western Agate Beach, Newport,OR,The Oregon Board of Forestry will hold a public meeting on April 26 and conduct a joint field tour with the Environmental Quality Commission on April 27.,Yes,Rod Nichols,503-945-7425,rnichols@odf.state.or.us,http://www.oregonforestry.org,,,Sabrina Perez,503-945-7210,sperez@odf.state.or.us,,,,http://www.oregonforestry.org,,,,
"Geologist Examiners, State Board of ",Special Meeting,Teleconference exec. session to consider written legal advice per ORS 192.660(2)(f) followed by public session,04/19/2012 03:30:00 PM,04/19/2012 05:00:00 PM,"Assoc. Center, 707 13th St. SE, Suite 260", Salem,OR,"During the meeting, the Board will meet in Executive Session to consider written legal advice concerning potential legislative and litigation matters pursuant to ORS 192.660(2)(f). Thereafter, the Board will meet in public session to make any decisions and, as time allows, to consider administrative matters related to operation of the Board office.
The telephone meeting will be initiated from the Board office. Anyone interested in attending the meeting should come to the Board office. However, be advised that participation in the Executive Session portion of the meeting shall be restricted to representatives of the news media and staff in accordance with ORS 192.660.",,Christine Valentine,,osbge.info@state.or.us,,,,,,,,,,,,,,
"Geology and Mineral Industries, Oregon Department of",DOGAMI Governing Board Meeting,DOGAMI Governing Board Meeting,04/23/2012 12:00:00 PM,,Teleconference, Portland,,"If you wish to attend this meeting by teleconference, please phone (201) 368 9209 and enter Participant code 225517.",,Carol DuVernois,(971) 673-1544,carol.duvernois@dogami.state.or.us,http://www.oregongeology.org/sub/portoff/GovBrd.HTM,,,Carol DuVernois,(971) 673-1544,carol.duvernois@dogami.state.or.us,,(201) 368 9209,225517,http://www.oregongeology.org/sub/portoff/boardagenda-04-23-12.pdf,,,,
Grant ESD,board meeting,regular board meeting,04/24/2012 05:00:00 PM,,basement, John Day,OR,,,robert waltenburg,,waltenburgr@grantesd.k12.or.us,,,,,,,,,,,,,,
Harney ESD 17,April Board Meeting,April Board Meeting,04/11/2012 10:00:00 AM,,HESD Administrative Office, Burns,OR,,,Kaeko Blackburn,,kblackburn@harneyesd.k12.or.us,,,,,,,,,,,,,,
Harney ESD 17,HESD Budget Board Meeting,HESD Budget Board Meeting,04/11/2012 01:30:00 PM,,HESD Administrative Office, Burns,OR,,,Kaeko Blackburn,,kblackburn@harneyesd.k12.or.us,,,,,,,,,,,,,,
"Hazelnut Commission, Oregon",Oregon Hazelnut Commission Meeting #364,Review Research Proposals & Budget,04/03/2012 08:00:00 AM,04/03/2012 12:00:00 PM,North Willamette Research & Experiment Station, Aurora,OR,,,Polly Owen,503.678.6823,polly@oregonhazelnuts.org,,,,,,,,,,,,,,
"Health Authority, Oregon",Coordinated Care Organizations: Request for Applications - Applicant Conference,"The Oregon Health Authority will host the final question and answer session for April for organizations that have submitted a Letter of Intent to Apply (LOI) as a Coordinated Care Organization. This CCO Applicant Conference will be open to attend in person, in room 137 A-D in the Human Services Building, 500 Summer St. NE Salem, OR 97301. While any member of the public is welcome to attend in person or via webinar, the purpose of the meeting is for only the potential applicants  to ask questions regarding the RFA.   Oregon Health Authority staff from a variety of units and divisions will be available in-person to answer questions.",04/19/2012 10:00:00 AM,04/19/2012 12:00:00 PM,"Human Services Building, Rm. 137A-D, or via webinar", Salem,OR,,,Ari Ettinger,503 602 3906,ari.a.ettinger@state.or.us,https://www2.gotomeeting.com/register/805765162,,,,,,,,,,,,,
"Health Authority, Oregon",POLST Registry Advisory Committee,"PRAC is charged with advising OHA regarding implementation, evaluation and operation of the POLST Registry",04/09/2012 09:00:00 AM,,"800 NE Oregon Street, Suite 918", Portland,OR,,,"Ritu Sahni, MD",,ritu.sahni@state.or.us,,,,,,,,,,http://public.health.oregon.gov/ProviderPartnerResources/EMSTraumaSystems/PhysicianOrdersforLifeSustainingTreatment/Documents/2012/agenda04092012.pdf,,,,
