"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Owner,Agenda Upload,Map Location,Weblink to Meeting Minutes/Summaries,Agenda Download,2010 House Districts,2010 Senate Districts,Counties
Environmental Quality Dept.,Public Hearing: Riverbend Landfill Proposal,Change of venue for the Public Hearing on Riverbend Landfill,05/02/2017 06:00:00 PM,05/02/2017 08:00:00 PM,"Main Hall at The Falls Event Center, 510 NE Captain Michael King Smith Way", McMinnville,OR,"The location of the public hearing on a proposed modification to the final grading plan for Riverbend Landfill has changed. The meeting, followed by the public hearing, will be held at 6 p.m. on Tuesday, May 2 at the new location of the Main Hall at The Falls Event Center in McMinnville, 510 NE Captain Michael King Smith Way, McMinnville.",,Bob Schwarz,,schwarz.bob@deq.state.or.us,,,,,,,,,,,,,,,https://www.oregon.gov/deq/Programs/Pages/Riverbend-Landfill.aspx,,,,
Travel Information Council,Finance Committee Meeting,Agenda items include review of the agency’s monthly financial reports and recommendations to the full Council on approved expenditures and contracts,05/03/2017 02:30:00 AM,05/03/2017 03:30:00 PM,"1500 Liberty St. S.E., Suite 150", Salem,OR,,,Jessica Carbone,503-373-0155,jessicac@oregonte.com,,,,,,,,,,,,,,,,05-03-17 Finance Committee Agenda.pdf (https://data.oregon.gov/views/gs36-7t8m/files/5654f7fc-ba56-40d4-901f-bffa5be70827?download=true&filename=05-03-17%20Finance%20Committee%20Agenda.pdf),,,
"Health Policy & Research, Oregon",Healthcare Workforce Committee,Healthcare Workforce Committee,05/03/2017 09:00:00 AM,05/03/2017 12:00:00 PM,Wilsonville Training Center,Wilsonville,OR,,Yes,Marc Overbeck,503-689-5321,marc.overbeck@state.or.us,,,,,,,true,https://attendee.gotowebinar.com/register/4315859494995567618,1-877-411-9748,730407,,,,,https://www.oregon.gov/oha/OHPR/HCW/Pages/index.aspx,,,,
Residential Facilities Advisory Committee,Monthly Meeting,Monthly Meeting,05/03/2017 09:00:00 AM,05/03/2017 02:00:00 PM,Wilsonville Holiday Inn/Lewis & Clark Room,Wilsonville,OR,"This is the monthly meeting of the Residential Facilities Advisory Committee. Everyone with an interest in the Long-Term Care Ombudsman Program, long-term care in general, advocacy for residents of facilities for people with developmental/intellectual disabilities or mental illness or the Oregon Public Guardian and Conservator Program is welcome to attend. This meeting will be at the Holiday Inn in Wilsonville on the day prior to the agency's Statewide Training Event. In June the Committee will return to its usual meeting day and time -- the third Friday of the month beginning at 9 AM -- and will be meeting at the Long-Term Care Ombudsman offices in Salem.",Yes -- From 9:00 AM until 9:30 AM,Mary Ann Lebold,503-378-6533,mary.ann.lebold@oregon.gov,,,,Mary Ann Lebold,503-378-6533,mary.ann.lebold@oregon.gov,,,,,http://www.oregon.gov/LTCO/Pages/Residential-Facilities-Advisory-Committee-Agendas.aspx,,,,http://www.oregon.gov/LTCO/Pages/Residential-Facilities-Advisory-Committee-Minutes.aspx,RFACMay2017Agenda.pdf (https://data.oregon.gov/views/gs36-7t8m/files/65cf527e-653a-4096-a211-c247f515624c?download=true&filename=RFACMay2017Agenda.pdf),,,
Public Utility Commission,OUS Fund Advisory Board Meeting,,05/03/2017 10:00:00 AM,05/03/2017 12:00:00 PM,"201 High Street SE, Meadow Conference Room 3rd floor", Salem,OR,,,Roger White,,roger.white@state.or.us,,,,,,,,,,,,,,,,Agenda--May OUSF Board Meeting for posting.pdf (https://data.oregon.gov/views/gs36-7t8m/files/8d9131c3-27e7-41ff-a7a3-4babeae4c180?download=true&filename=Agenda--May%20OUSF%20Board%20Meeting%20for%20posting.pdf),,,
"Health Authority, Oregon",Common Credentialling SME Workgroup/Rulemaking Advisory Committee (RAC),,05/03/2017 01:00:00 PM,05/03/2017 03:00:00 PM,"Suite 775, 421 SW Oak St", Portland,OR,"The Common Credentialing Advisory Group was established by Senate Bill 604 (2013). SB 604 requires the Oregon Health Authority (OHA) to establish a program and database provides credentialing organizations access to information necessary to credential all health care practitioners in Oregon. The OCCP is intended to generally be a program and a database that will provide credentialing organizations access to information necessary to credential or re-credential all health care practitioners in the state.

This meeting will a Rulemaking Advisory Committee and open to the public. ",Yes,Melissa Isavoran,,Melissa.Isavoran@state.or.us,,,,,,,true,https://attendee.gotowebinar.com/register/4693387809100996099,877-873-8018,333-9892 ,http://www.oregon.gov/oha/OHIT/occp/Pages/CCAG.aspx (http://www.oregon.gov/oha/OHIT/occp/Pages/CCAG.aspx%20),,,,http://www.oregon.gov/oha/OHIT/occp/Pages/CCAG.aspx,,,,
"Health Authority, Oregon",HCI Legislative and Policy Committee Meeting,"This community advisory group meeting makes recommendations to the Oregon Health Authority on the laws, administrative rules, and policies governing health care interpreters in Oregon.",05/03/2017 03:00:00 PM,05/03/2017 04:30:00 PM,"OEI Conference Room, Lincoln Building, 421 SW Oak Street, Suite 750 Portland OR. 97204", Portland,OR,,Yes,Kweku Wilson,971-673-3328,kweku.wilson@state.or.us,,,,,,,true,,i-888-251-2909,301558,,,,,,,,,
"Medical Board, Oregon",Investigative Committee,,05/04/2017 07:30:00 AM,05/04/2017 05:45:00 PM,"1500 SW 1st Ave, Suite 620", Portland,OR,,,Kristina Kallen,971-673-2704,kristina.kallen@state.or.us,,,,,,,,,,,,,,,,May 2017.pdf (https://data.oregon.gov/views/gs36-7t8m/files/4c2be532-4b9c-469b-ae0e-419dc6381027?download=true&filename=May%202017.pdf),,,
Travel Information Council,Rest Area Subcommittee Meeting,Review of agency's rest area operations and recommendations for full Council.,05/04/2017 10:00:00 AM,05/04/2017 11:30:00 AM,"OTE Administration Office,1500 Liberty St. SE Suite 150", Salem,OR,,,Jessica Carbone,503-373-0155,jessicac@oregonte.com,,,,,,,,,,,,,,,,,,,
"Dungeness Crab Commission, Oregon",Public Meeting (Change in location only),Budget Preparation,05/04/2017 01:00:00 PM,05/04/2017 03:00:00 PM,1000 SE Bay Blvd., Newport,OR,"The ODCC Budget Committee will meet to review it's current year budget and prepare a Proposed F/Y 2017-18 budget to present to the Commission at the annual budget hearing. 

Note: Venue has been changed to the Embarcadero Resort & Hotel, 
Commodore Room.",No,Shirley Williams,541-267-5810,officemanager@oregondungeness.org,,,,,,,,,,,,,,,,,,,
"Geologist Examiners, State Board of ",Joint Compliance Committee CANCELLED,,05/04/2017 01:00:00 PM,05/04/2017 03:00:00 PM,CANCELLED,Salem ,OR,,,Christine Valentine,503-566-2837,osbge.info@state.or.us,,,,,,,,,,,,,,,,,,,
Public Utility Commission,Special Public Meeting - PGE Annual Update,,05/04/2017 01:30:00 PM,05/04/2017 03:00:00 PM,"201 High Street SE, Hearing Room", Salem,OR,,,Kristi Collins,5033730885,kristi.collins@state.or.us,,,,,,,,,,,,,,,,,,,
"Strawberry Commission, Oregon",OSC Regular Meeting & Budget Hearing,OSC Meeting,05/04/2017 06:00:00 PM,05/04/2017 09:00:00 PM,"McMenamins Restaurant - 310 NE Evans St, McMinnville, OR", McMinnville,OR,Budget Committee 5:30 pm,,Philip Gutt,,berries@oregon-berries.com,,,,,,,,,,,,,,,,,,,
North Central ESD,Regular Board Meeting,,05/04/2017 06:00:00 PM,05/04/2017 07:30:00 PM,First Floor Meeting Room, Condon,OR,,,Kim Domenighini,,kdomenig@ncesd.k12.or.us,,,,,,,,,,,,,,,,,,,
Douglas ESD,Board of Directors Meeting,,05/04/2017 06:30:00 PM,05/04/2017 08:30:00 PM,Douglas ESD, Roseburg,OR,,,Heidi Larson,,heidi.larson@desd.k12.or.us,,,,,,,,,,,,,,,,,,,
Occupational Therapy Licensing Board,Board Meeting,,05/05/2017 08:00:00 AM,05/05/2017 05:00:00 PM,800 NE Oregon St. Suite 445, Portland,OR,,,Nancy Schuberg,,Nancy.Schuberg@state.or.us,,,,,,,,,,,,,,,,,,,
Columbia Gorge ESD,4RELH Governance Board Meeting,Board Retreat & Governance Board Meeting,05/05/2017 08:30:00 AM,05/05/2017 04:00:00 PM,400 E. Scenic Drive, The Dalles,OR,,,Cindy Johnson,,cjohnson@cgesd.k12.or.us,,,,,,,,,,,,,,,,4RELH GB Agenda - May 2017.pdf (https://data.oregon.gov/views/gs36-7t8m/files/0a7f8a71-c992-4a66-89b8-821a3f7f3f95?download=true&filename=4RELH%20GB%20Agenda%20-%20May%202017.pdf),,,
"DUII, Governors Advisory Committee on",Governor’s Advisory Committee on DUII Meeting,"The Governor’s Advisory Committee on DUII shall broadly represent the Legislative Assembly, public and private organizations involved in DUI countermeasures, victims of drunk drivers, and the general public."" ""...Heighten public awareness of the seriousness of the impaired driving problem. Persuade communities to attack the impaired driving problem in a more organized and systematic manner, including plans to eliminate bottlenecks in the arrest, trial and sentencing process that impair the effectiveness of many drunk driving laws. Generate public support for increased enforcement of state and local drunk-driving laws. Educate the public as to the dangers of driving while under the influence and its effects on life and property...""",05/05/2017 09:00:00 AM,05/05/2017 12:00:00 PM,4190 Aumsville Hwy. S.E. - Atiyeh Boardroom, Salem,OR,Monthly meeting. Agenda items include a report from the Transportation Safety Division and other liaisons; Legislative update and discussion of old and new business.,,Annette E. Earl,,annette.earl@odot.state.or.us,,,,,,,,,,,,,,,,,,,
"Massage Therapists, Board of","OBMT May 5-6, 2017 Board Meeting","Two Day Traveling Board Meeting (Bend, OR)",05/05/2017 09:00:00 AM,05/06/2017 02:00:00 PM,COCC, Bend,OR,,yes,Ekaette Udosenata,5033658657,ekaette.udosenata@state.or.us,,,https://data.oregon.gov/dataset/2017-July-Oregon-Public-Meetings-Calendar-View/pnuk-nvsw/data,,,,,,,,,,,,,,,,
Housing/Community Services Department,Housing Stability Council - Monthly Meeting,,05/05/2017 09:00:00 AM,05/05/2017 01:00:00 PM,"725 Summer St NE, | Conference room 124 A/B",Salem,OR,"LOCATION:
Oregon Housing and Community Services
725 Summer St NE | Conference room 124 A/B
TIME: 
9:00 a.m. - 1:00 p.m.
TELECONFERENCE:
Number: 1-877-273-4202 | Participant Code: 4978330
AGENDA:
9:00	        Meeting Called to Order 
9:05	        Public Comment
9:15	        Introduction of New Council member - Dr. Gerardo Sandoval
9:30	        Draft Meeting Minutes - April 7, 2017 
9:40	        Single Family Residential Loan Consent Calendar
9:50	        Multifamily Funding Decisions 
10:10	LIFT Additional Project Funding Recommendation
10:30	Break
10:40	Statewide Housing Plan Update 
11:10	Homeless and Runaway Youth  
11:40	Veteran NOFA Policy Memo 
12:10	Report of the Director
12:20	Report of the Chair
Meeting Adjourned",,Kris Klemm,5039862005,kris.j.klemm@oregon.gov,,,,,,,,,,,,,,,,2 - 050517_HSC_Agenda_FINAL.pdf (https://data.oregon.gov/views/gs36-7t8m/files/f34f581d-5a95-4967-8bba-5dde7ea9cd05?download=true&filename=2%20-%20050517_HSC_Agenda_FINAL.pdf),,,
Governor's Office,Regional Solutions Advisory Committee: South Coast,,05/05/2017 11:00:00 AM,05/05/2017 12:30:00 PM,"Coos Bay Fire Hall, 450 Elrod Ave", Coos Bay,OR,,,Lisa Howard,,lisa.howard@oregon.gov,,,,,,,,,,,,,,,www.regionalsolutions.oregon.gov (http://www.regionalsolutions.oregon.gov),,,,
"Fine Fescue Commission, Oregon",Fine Fescue Commission Meeting,Budget Hearing Meeting,05/08/2017 07:00:00 AM,05/08/2017 09:00:00 AM,Elmer's Restaurant, Salem,OR,,,Commissions,503-364-2944,jenny@ostlund.com,,,,,,,,,,,,,,,,,,,
Medical Assistance Program Administration,Quality & Health Outcomes Committee (QHOC),"Medical, Learning Collaborative, Quality Assurance focused",05/08/2017 09:00:00 AM,05/08/2017 03:00:00 PM,TBD, Salem,OR,,Yes,Lisa Bui,971-673-3397,Lisa.T.Bui@state.or.us,,,,,,,,,1-888-278-0296,310477,http://www.oregon.gov/oha/hpa/csi/Pages/Quality-and-Health-Outcomes-Committee.aspx,,,,http://www.oregon.gov/oha/hpa/csi/Pages/Quality-and-Health-Outcomes-Committee.aspx,,,,
"Facilities Authority, Oregon",Planning Session & Business Meeting,,05/08/2017 10:00:00 AM,05/08/2017 03:30:00 PM,"Linfield College, Melrose Hall, Jonasson Room; 900 SE Baker Street", McMinnville,OR,Parking on campus requires a permit. Please contact Nikki Pham at ofa.nikki@tonkon.com to receive a permit in advance of the meeting. Authority Members and others may participate in the Business Meeting by teleconference. Details are available from Nikki Pham at ofa.nikki@tonkon.com. ,Yes,Nikki Pham,,ofa.nikki@tonkon.com,,,,,,,,,,,,,,,http://www.oregon.gov/treasury/Divisions/DebtManagement/NonProfits/Pages/Default.aspx#Meetings,,,,
Transportation Department,Public Transportation Advisory Committee Meeting,,05/08/2017 01:00:00 PM,05/08/2017 04:30:00 PM,"ODOT Region 2 Campus, 885 Airport Road SE, Building X", Salem,OR,,,Cassie Mance,503-986-3669,ptac@odot.state.or.us,,https://www.oregon.gov/ODOT/PT/stakeholders/ptac/maps/Airport%20Rd%20facility%20map.pdf,,,,,,,,,,,,,https://www.oregon.gov/odot/pt/pages/stakeholders/ptac.aspx,,,,
"Raspberry and Blackberry Commission, Oregon",ORBC Budget Hearing and Regular Meeting,ORBC Meeting,05/08/2017 06:00:00 PM,05/08/2017 09:00:00 PM,"Hayden’s Lakefront Grill 8187 SW Tualatin-Sherwood Rd, Tualatin, OR", Tualatin,OR,Budget Committee at 5:30 pm,,Philip Gutt,,berries@oregon-berries.com,,,,,,,,,,,,,,,,,,,
Environmental Quality Dept.,Public Meeting on Oil Re-Refining Company Air Quality and Solid Waste Permits,DEQ will hold an informational meeting on air quality and solid waste permits for Oil Re-Refining Company.,05/08/2017 06:00:00 PM,05/08/2017 08:00:00 PM,"Klamath Union High School Cafeteria, 1300 Monclaire Street", Klamath Falls,OR,"DEQ will hold an informational meeting on air quality and solid waste permits for Oil Re-Refining Company. DEQ intends to renew the Simple Air Contaminant Discharge Permit and draft a new solid waste transfer station permit for Oil Re-Refining Company, dba Industrial Oils, Inc., located at 1291 Laverne Avenue in Klamath Falls.",yes,Nancy Swofford,541-633-2021,swofford.nancy@deq.state.or.us,,,,,,,,,,,,,,,https://www.oregon.gov/deq/get-involved/documents/050817ORRCo.pdf,,,,
"Engineering and Land Surveying, Board of Examiners for",Board Meeting,,05/09/2017 08:00:00 AM,05/09/2017 05:00:00 PM,"215/221 Memorial Union Hall, OSU", Corvallis,OR,,,Shawn Thornhill,5033622666,osbeels@osbeels.org,,,,,,,,,,,,,,,http://www.oregon.gov/Osbeels/Pages/meetings.aspx,,,,
"Transportation Safety Committee, Oregon",Oregon Transportation Safety Committee Meeting,"ORS 802.300: (1) The Transportation Safety Committee is created within the Department of Transportation to advise the department and the Oregon Transportation Commission concerning the functions described under ORS 802.310 and to perform any other functions related to transportation safety that the commission delegates. The committee established under this section shall consist of five members appointed by the Governor on the recommendation of the commission. The term of office of each member is four years. Before the expiration of the term of a member, the Governor shall appoint a successor. A member is eligible for reappointment. In case of a vacancy for any cause, the Governor shall appoint a person to fill the office for the unexpired term.",05/09/2017 09:30:00 AM,05/09/2017 03:00:00 PM,4190 Aumsville Hwy. S.E. - Room A234 (upstairs), Salem,OR,"The agenda includes member, program and liaison reports; a legislative update; a discussion on the next steps to implement the Transportation Safety Action Plan; a report on interstate truck speeds; and a decision on the 2018 Performance Plan.",,Annette E. Earl,,annette.earl@odot.state.or.us,,,,,,,,,,,,,,,,,,,
"Workforce Investment Board, State",Strategic Planning Taskforce,The Strategic Planning Taskforce meets to discuss and recommend possible modifications and updates to the OWIB Strategic Plan that are needed or desired based on changes affecting the workforce system over the past almost two years.,05/09/2017 10:00:00 AM,05/09/2017 11:30:00 AM,875 Union Street NE, Salem,OR,,,Todd Nell,,Todd.A.NELL@oregon.gov,,,,,,,,,,,http://www.oregon.gov/owib/committees/Documents/2017%20Strategic%20Planning%20Taskforce/May%209%202017%20OWIB%20Strategic%20Planning%20Taskforce%20without%20Call%20In.pdf,,,,,,,,
"State Lands, Department of",State Land Board Meeting,"Meeting rescheduled from April 11, 2017",05/09/2017 10:00:00 AM,05/09/2017 12:00:00 PM,"Land Board Room, Department of State Lands, 775 Summer St NE", Salem,OR,,Yes - consent and action items only,Lorna Stafford,503-986-5224,lorna.stafford@state.or.us,,,,,,,,,,,http://www.oregon.gov/dsl/Board/Pages/SLB.aspx,,,,http://www.oregon.gov/dsl/Board/Pages/SLB.aspx,,,,
Public Safety Standards and Training Department,Corrections Policy Committee ,Quarterly Meeting ,05/09/2017 11:00:00 AM,05/09/2017 03:00:00 PM,Boardroom at the Department of Public Safety Standards and Training located at 4190 Aumsville Hwy SE , Salem,OR,,,Mona Riesterer,503-378-2431,mona.riesterer@state.or.us,,,,,,,,,888-273-3658,4711910,http://www.oregon.gov/dpsst/BD/Pages/Agenda.aspx,,,,,,,,
"Health Authority, Oregon",Public Health Advisory Board  Incentives and Funding Subcommittee,,05/09/2017 01:00:00 PM,05/09/2017 02:00:00 PM,By webinar only,n/a,OR,"What: A public meeting of the Incentives and Funding Subcommittee of the Public Health Advisory Board

Agenda: Discuss role of PHAB Incentives and Funding subcommittee; develop principles for including floor payments in the funding formula; make recommendation for minimum amount of funding for distributing funds through the funding formula

When: Tuesday, May 9, 1-2 p.m. A five-minute public comment period is scheduled at 1:55 p.m.; comments are limited to two minutes.

Where: By webinar at https://attendee.gotowebinar.com/register/1017967828287751171. The public also may join by conference call at 877-873-8017, access code 767068#.

Background: Oregon’s Public Health Advisory Board provides guidance for Oregon’s governmental public health system and oversees the implementation of public health modernization and Oregon’s State Health Improvement Plan. The Incentives and Funding Subcommittee develops recommendations for the board's consideration.

Program contact: Sara Beaudrault, 971-673-0432; sara.beaudrault@state.or.us. 

Website: https://public.health.oregon.gov/About/Pages/ophab.aspx

# # #

",Yes,Sara Beaudrault,971-673-0432,sara.beaudrault@state.or.us,,,,,,,true,https://attendee.gotowebinar.com/register/1017967828287751171,877-873-8017,767068#,https://public.health.oregon.gov/About/Documents/phab/May-9-17-IncentivesAgenda.pdf,,,,https://public.health.oregon.gov/About/Pages/ophab.aspx,,,,
"Health Authority, Oregon",Tobacco Reduction Advisory Committee,,05/09/2017 02:00:00 PM,05/09/2017 04:00:00 PM,"Portland State Office Building, Room 1A, 800 NE Oregon St.",Portland,OR,"What: Public meeting of the Tobacco Reduction Advisory Committee. 

Agenda items include: TPEP 20th Anniversary update and coordination; Rapid Response Survey addressing tobacco preemption; legislative efforts check-in

When: Tuesday, May 9, 2-4 p.m.

Where: Portland State Office Building, 800 NE Oregon St., Room 1A, Portland.

Who: The Tobacco Reduction Advisory Committee is appointed by the Governor and comprises representatives from private organizations and state agencies dedicated to the reduction of the harmful impact of Oregonians’ tobacco use. 

Details: The meeting is open to the public. Please note that space is limited.

Individuals may request alternate formats, sign language interpreters, physical accessibility, or other reasonable accommodations by calling the Oregon Health Authority at 1-800-282-8096 at least 48 hours before the meeting.

# # #
",Yes,Jonathan Modie,971-246-9139,PHD.Communications@state.or.us,,,,,,,,,,,,,,,,,,,
Governor's Office,Regional Solutions Executive Committee: Greater Eastern,,05/09/2017 03:30:00 PM,05/09/2017 04:00:00 PM,"Blue Mountain Community College, 2411 Carden Ave", Pendleton,OR,,,Lisa Howard,,lisa.howard@oregon.gov,,,,,,,,,,,,,,,www.regionalsolutions.oregon.gov (http://www.regionalsolutions.oregon.gov),,,,
"Clover Seed Commission, Oregon",Clover Commission Meeting,Budget Hearing Meeting,05/10/2017 07:00:00 AM,05/10/2017 09:00:00 AM,Roth's Meeting Room, Salem,OR,,,Commissions,503-364-2944,jenny@ostlund.com,,,,,,,,,,,,,,,,,,,
Electronic Government Portal Advisory Board,May Board Meeting,Review quarterly projects,05/10/2017 09:00:00 AM,05/10/2017 11:30:00 AM,"State Library of Oregon, Room 102      250 Winter St. NE", Salem,OR,"The Electronic Government Portal Advisory Board meeting provides advice to the Office of the State Information Officer, E-Government Program on the states Internet websites, applications and online services.",Yes,Wally Rogers,503-779-6656,wallace.b.rogers@oregon.gov,,https://goo.gl/maps/rcWpptzdXuj,,,,,true,https://das.adobeconnect.com/epab/,1-866-377-3315,8296976#,https://www.oregon.gov/epab/Pages/Meeting-Documents.aspx,,,,https://www.oregon.gov/epab/Pages/Meeting-Documents.aspx,,,,
