"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Owner,Agenda Upload,Map Location,Weblink to Meeting Minutes/Summaries,2010 House Districts,2010 Senate Districts,Counties
Public Defense Services Commission,Public Defense Services Commission Meeting,Regular Meeting,08/16/2012 10:00:00 AM,08/16/2012 03:00:00 PM,1175 Court Street NE (OPDS Office), Salem,OR,,,Laura Kepford,,laura.kepford@opds.state.or.us,,,,,,,,,,,,laura.kepford@opds.state.or.us,,,,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Commission Meeting,04/29/2013 10:00:00 AM,04/29/2013 02:00:00 PM,Office of Public Defense Services, Salem,OR,,,Laura Kepford,,laura.kepford@opds.state.or.us,,,,,,,,,,,,laura.kepford@opds.state.or.us,,,,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Regularly Scheduled Meeting,07/31/2013 10:00:00 AM,07/31/2013 02:00:00 PM,Office of Public Defense Services, Salem,,,,Laura Kepford,,laura.kepford@opds.state.or.us,,,,,,,,,,,,laura.kepford@opds.state.or.us,,,,,,
Public Defense Services Commission,PDSC Meeting and Retreat,Regularly-scheduled meeting,01/26/2012 09:00:00 AM,01/26/2012 11:00:00 AM,Orchid Room - Oregon Garden Resort, Silverton,OR,"The next Public Defense Services Commission meeting will be on January 26, 2012 in the Orchid Room at the Oregon Garden Resort, 895 W. Main Street, Silverton, Oregon, 97381.  The commission meeting will begin at 9 a.m. and last approximately one to two hours.  The PDSC retreat will commence at the conclusion of the commission meeting and last until 5 p.m.  

",,Laura Kepford,503-378-2516,laura.kepford@opds.state.or.us,,,,,,,,,,,,laura.kepford@opds.state.or.us,,,,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Regular Meeting,04/17/2014 09:00:00 AM,04/17/2014 11:00:00 AM,OPDS Office, Salem,OR,,,Laura Al Omrani,,laura.a.alomrani@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Regular Meeting,01/21/2016 10:00:00 AM,01/21/2016 02:00:00 PM,OPDS Office,Salem,OR,,,Laura Al Omrani,503-378-2516,laura.a.alomrani@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Regular Meeting,05/15/2014 10:00:00 AM,05/15/2014 02:00:00 PM,1133 Chemeketa Street NE, Salem,OR,,,Laura Al Omrani,,laura.a.alomrani@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Commission Meeting,01/23/2013 10:00:00 AM,01/23/2013 02:00:00 PM,Office of Public Defense Services, Salem,OR,,,Laura Kepford,,laura.kepford@opds.state.or.us,,,,,,,,,,,,laura.kepford@opds.state.or.us,,,,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Commission Meeting,03/19/2015 10:00:00 AM,03/19/2015 02:00:00 PM,OPDS Office, Salem,OR,,,Laura Al Omrani,,laura.a.alomrani@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Regular Meeting,03/17/2016 10:00:00 AM,03/17/2016 10:00:00 AM,OPDS Office, Salem,OR,,,Laura Al Omrani,503-378-2516,laura.a.alomrani@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Regular Meeting,10/10/2014 01:00:00 PM,10/10/2014 04:00:00 PM,Salishan Lodge,Gleneden Beach,OR,,,Laura Al Omrani,,laura.a.alomrani@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Commission Meeting,12/12/2014 10:00:00 AM,12/12/2014 02:00:00 PM,OPDS Office,Salem,OR,,,Laura Al Omrani,,laura.a.alomrani@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Regular Meeting,03/20/2014 10:00:00 AM,03/20/2014 04:00:00 PM,Oregon Garden Resort, Silverton,OR,Includes Retreat,,Laura Al Omrani,,laura.a.alomrani@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Regular Meeting,05/10/2012 10:00:00 AM,05/10/2012 03:00:00 PM,1175 Court Street NE (OPDS Office), Salem,OR,,,Laura Kepford,,laura.kepford@opds.state.or.us,,,,,,,,,,,,laura.kepford@opds.state.or.us,,,,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Regular Meeting,06/18/2015 09:00:00 AM,06/18/2015 01:00:00 PM,Bend, Bend,OR,,,Laura Al Omrani,,laura.a.alomrani@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Regular Meeting,09/12/2012 10:00:00 AM,09/12/2012 03:00:00 PM,1175 Court Street NE (OPDS Office), Salem,OR,,,Laura Kepford,,laura.kepford@opds.state.or.us,,,,,,,,,,,,laura.kepford@opds.state.or.us,,,,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Commission Meeting,12/12/2013 10:00:00 AM,12/12/2013 02:00:00 PM,Office of Public Defense Services, Salem,OR,,,Laura Kepford,,laura.kepford@opds.state.or.us,,,,,,,,,,,,laura.kepford@opds.state.or.us,,,,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Regular Meeting,05/12/2016 10:00:00 AM,05/12/2016 02:00:00 PM,OPDS Office, Salem,OR,,,Laura Al Omrani,503-378-2516,laura.a.alomrani@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Regular Meeting,09/18/2014 10:00:00 AM,09/18/2014 02:00:00 PM,OPDS Office, Salem,OR,,,Laura Al Omrani,,laura.a.alomrani@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Commission Meeting,07/17/2013 10:00:00 AM,07/17/2013 02:00:00 PM,Office of Public Defense Services, Salem,OR,,,Laura Kepford,,laura.kepford@opds.state.or.us,,,,,,,,,,,,laura.kepford@opds.state.or.us,,,,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Regular Meeting,06/16/2016 09:00:00 AM,06/16/2016 01:00:00 PM,Mt. Bachelor Village, Bend,OR,,,Laura Al Omrani,503-378-2516,laura.a.alomrani@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Regular Meeting,01/16/2014 10:00:00 AM,01/16/2014 02:00:00 PM,OPDS Office, Salem,OR,,,Laura Al Omrani,,laura.a.alomrani@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Regular Meeting,03/20/2012 10:00:00 AM,03/20/2012 03:00:00 PM,1175 Court Street NE (OPDS Office), Salem,OR,,,Laura Kepford,,laura.kepford@opds.state.or.us,,,,,,,,,,,,laura.kepford@opds.state.or.us,,,,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Regular Meeting,04/21/2016 10:00:00 AM,04/21/2016 02:00:00 PM,OPDS Office, Salem,OR,,,Laura Al Omrani,503-378-2516,laura.a.alomrani@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Regular Meeting,07/30/2015 10:00:00 AM,07/30/2015 02:00:00 PM,OPDS Office, Salem,OR,,,Laura Al Omrani,,laura.a.alomrani@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Regular Meeting,12/10/2015 10:00:00 AM,12/10/2015 02:00:00 PM,"Mercy Corps, 45 SW Ankeny Street", Portland,OR,,,Laura Al Omrani,,laura.a.alomrani@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Commission Meeting,01/22/2015 10:00:00 AM,01/22/2015 02:00:00 PM,OPDS Office,Salem,OR,,,Laura Al Omrani,503-378-2516,laura.a.alomrani@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Regular Meeting,08/24/2017 10:00:00 AM,08/24/2017 02:00:00 PM,OPDS Office, Salem,OR,,,Laura Al Omrani,503-378-2516,laura.a.alomrani@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,Commission Meeting,Regular Meeting,10/26/2018 01:00:00 PM,10/26/2018 05:00:00 PM,Sunriver Resort, Bend,OR,,,Brooke Sturtevant,503-378-2677,Brooke.E.Sturtevant@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Regular Meeting,01/26/2017 10:00:00 AM,12/26/2016 02:00:00 PM,OPDS Office,Salem,OR,,,Laura Al Omrani,503-378-2516,laura.a.alomrani@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,Commission Meeting,Regular Meeting,05/17/2018 10:00:00 AM,05/17/2018 02:00:00 PM,TBA, Salem,OR,,,Brooke Sturtevant,503-378-2677,Brooke.E.Sturtevant@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,Commission Meeting,Regular Meeting,06/14/2018 09:00:00 AM,06/14/2018 12:30:00 PM,Mt. Bachelor Village, Bend,OR,,,Brooke Sturtevant,503-378-2677,Brooke.E.Sturtevant@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Regular Meeting,10/28/2016 12:00:00 PM,10/28/2016 04:00:00 PM,Sunriver Resort, Bend,OR,"17600 Center Drive, Bend, OR  97707",,Laura Al Omrani,503-378-2516,laura.a.alomrani@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Regular Meeting,03/16/2017 10:00:00 AM,03/16/2017 02:00:00 PM,OPDS Office, Salem,OR,,,Laura Al Omrani,503-378-2516,laura.a.alomrani@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Regular Meeting,12/13/2017 10:00:00 AM,12/13/2017 02:00:00 PM,Tillamook County Library, Tillamook,OR,,,Brooke Sturtevant,,Brooke.E.Sturtevant@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Regular Meeting,12/15/2016 10:00:00 AM,12/15/2016 02:00:00 PM,To Be Determined, Oregon City,OR,"Meeting Held by phone due to inclement weather.  Oregon City location rescheduled for May, 2017.",,Laura Al Omrani,503-378-2516,laura.a.alomrani@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,Executive Session,,11/09/2017 12:00:00 AM,11/09/2017 12:00:00 AM,TBA,Salem,OR,,,Brooke Sturtevant,,Brooke.E.Sturtevant@opds.state.or.us,,,,,,,,,,,,,,,,,,
Public Defense Services Commission,Commission Meeting,Regular Meeting,03/15/2018 10:00:00 AM,03/15/2018 02:00:00 PM,"OJD Conference Room, 1133 Chemeketa Street NE", Salem,OR,,,Brooke Sturtevant,503-378-2677,Brooke.E.Sturtevant@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,CANCELLED,Regular Meeting,04/19/2018 10:00:00 AM,04/19/2018 02:00:00 PM,TBA, Salem,OR,,,Brooke Sturtevant,503-378-2677,Brooke.E.Sturtevant@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Regular Meeting,09/22/2016 12:00:00 PM,09/22/2016 04:00:00 PM,Oregon Law Commission,Salem,OR,"1133 Chemeketa St. NE, Salem OR, 97301",,Laura Al Omrani,503-378-2516,laura.a.alomrani@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Regular Meeting,10/27/2017 01:00:00 PM,10/27/2017 04:00:00 PM,To Be Determined, Newport,OR,,,Laura Al Omrani,503-378-2516,laura.a.alomrani@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Regular Meeting,09/28/2017 10:00:00 AM,09/28/2017 02:00:00 PM,OPDS,Salem,OR,,,Laura Al Omrani,503-378-2516,laura.a.alomrani@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Regular Meeting,06/15/2017 09:00:00 AM,06/15/2017 01:00:00 PM,To Be Determined, Bend,OR,,,Laura Al Omrani,503-378-2516,laura.a.alomrani@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Regular Meeting,05/18/2017 10:00:00 AM,05/18/2017 02:00:00 PM,Providence Willamette Falls Community Center, Oregon City,OR,"519 15th Street, Oregon City, OR  97045",,Laura Al Omrani,503-378-2516,laura.a.alomrani@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,Commission Meeting,Regular Meeting,09/20/2018 10:00:00 AM,09/20/2018 02:00:00 PM,"OJD Conference Room, 1133 Chemeketa Street NE", Salem,OR,,,Brooke Sturtevant,503-378-2677,Brooke.E.Sturtevant@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,Commission Meeting,Regular Meeting,12/13/2018 10:00:00 AM,12/13/2018 02:00:00 PM,"OJD Conference Room, 1133 Chemeketa Street NE", Salem,OR,,,Brooke Sturtevant,503-378-2677,Brooke.E.Sturtevant@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,Commission Meeting,Executive Session,04/17/2017 10:00:00 AM,04/17/2017 11:00:00 AM,Stoel Rives LLC, Portland,OR,,,Laura Al Omrani,503-378-2516,laura.a.alomrani@opds.state.or.us,,,,,,,,,,,https://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,,,,,
Public Defense Services Commission,Commission Meeting,Regular Meeting,01/25/2018 10:00:00 AM,01/25/2018 02:00:00 PM,OPDS Office, Salem,OR,,,Brooke Sturtevant,503-378-2677,Brooke.E.Sturtevant@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
