"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Owner,Agenda Upload,Map Location,Weblink to Meeting Minutes/Summaries,Agenda Download,2010 House Districts,2010 Senate Districts,Counties
Travel Information Council,CEO Interviews,,01/07/2015 01:00:00 PM,01/07/2015 04:00:00 PM,"1500 Liberty St. SE, Suite 150", Salem,OR,,Yes,Jenn Smith,,jenns@oregonte.com,,,,,,,,,,,http://ortravelexperience.com/wp-content/uploads/2011/11/01-07-15-Agenda.pdf,,,,http://ortravelexperience.com/wp-content/uploads/2011/11/January-7-2015-Minutes.pdf,01 07 15 Agenda.pdf (https://data.oregon.gov/views/gs36-7t8m/files/I0d63tBAF54nPsKK_RDwXJnTTWZptK6oQ5gKBPO1zV4?download=true&filename=01%2007%2015%20Agenda.pdf),,,
"Raspberry and Blackberry Commission, Oregon",ORBC Committee Meetings,OSC Meeting,01/07/2015 02:00:00 PM,01/07/2015 04:00:00 PM,282 NW Macleay Blvd., Portland,OR,"2 pm Communications and Product Safety Committee
3 pm Promotion Committee
282 NW Macleay Blvd. Portland, Oregon",,Philip Gutt,,berries@oregon-berries.com,,,,,,,,,,,,,,,,,,,
Oregon Commission for the Blind,Rules Committee Meeting,Rules Committee Meeting,01/07/2015 03:30:00 PM,01/07/2015 05:00:00 PM,"OCB Office, 535 SE 12th Ave.", Portland,OR,See agenda.,"Yes, 3 minutes per person",Kathy Ewing,971-673-1575,kathy.ewing@state.or.us,,,,,,,,,404-443-6397,943611#,,,,,http://www.oregon.gov/blind/Pages/BEP-Audio-Files.aspx,1-7-15 Rules Committee Agenda.docx (https://data.oregon.gov/views/gs36-7t8m/files/VW1LrRM6Xr4pTwT9rNCCFNjd4lban6x8muxZtJbnlhA?download=true&filename=1-7-15%20Rules%20Committee%20Agenda.docx),,,
"Medical Board, Oregon",Full Board Meeting,Quarterly meeting - Day 1,01/08/2015 08:00:00 AM,01/08/2015 05:30:00 PM,OMB Offices, Portland,OR,"The 12-member Board reviews cases and recommendations from the Board’s committees and makes final decisions.  The Board determines whether an application for licensure should be granted, granted with limitations, or denied.  The Board also determines the final resolution of investigatory cases.  In addition, the Board sets policy, adopts administrative rules, and discusses issues relevant to the practice of medicine.",Yes,Theresa Lee,971-673-2704,theresa.lee@state.or.us,,,,Theresa Lee,971-673-2704,theresa.lee@state.or.us,,,,,http://www.oregon.gov/omb/board/Pages/Meeting-Notices.aspx,,,,http://www.oregon.gov/omb/board/Pages/Meeting-Minutes.aspx,,,,
Health Evidence Review Commission,Value-based Benefits Subcommittee (VbBS),,01/08/2015 08:30:00 AM,01/08/2015 01:00:00 PM,"Wilsonville Training Center, Rooms 111-112 29353 SW Town Center Loop E", Wilsonville,OR,,yes,Herc Information,,herc.info@state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/oha/herc/Pages/Meeting-Materials-Archives.aspx,,,,
Human Services Department,Addictions and Mental Health Planning and Advisory Council (AMHPAC) Meeting,Advisory Council to AMH,01/08/2015 09:00:00 AM,01/08/2015 12:00:00 PM,Human Services Building 500 Summer St. NE Room 137, Salem,OR,"AMHPAC works collaboratively with the Oregon Consumer Advisory Council (OCAC) and the Children's System Advisory Committee (CSAC) to advise Addictions and Mental Health Division (AMH), and is responsible for reviewing the Combined Mental Health and Substance Abuse Prevention and Treatment Block Grant application and annual implementation reports; serving as an advocate for Oregonians with behavioral health disorders; monitoring, reviewing and evaluating the allocation and adequacy of publicly-funded behavioral health services in Oregon; and other advisory actions as might be assigned by the director of AMH.",Yes,Jackie Fabrick,503-947-5544,Jackie.Fabrick@state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/oha/amh/amhpac/Pages/index.aspx,,,,
"Hop Commission, Oregon",Research and Variety Development Committee Meeting,,01/08/2015 10:00:00 AM,01/08/2015 12:00:00 PM,3037 G St , Hubbard,OR,Committee meeting of the Oregon Hop Commission,Yes,Nancy Sites,503-982-7600,nancy@oregonhops.org,,,,,,,,,,,,,,,,1-8-15 OHC Research and Var Dev. Committee Meeting Agenda.pdf (https://data.oregon.gov/views/gs36-7t8m/files/sJi9VspzT8_CwyO2BA949ioPUX_jAJhICwXDnZxne6A?download=true&filename=1-8-15%20OHC%20Research%20and%20Var%20Dev.%20Committee%20Meeting%20Agenda.pdf),,,
Human Services Department,AMHPAC Recovery Support Services Subcommittee,AMHPAC RSS subcommittee,01/08/2015 01:00:00 PM,01/08/2015 03:00:00 PM,Human Services Building 500 Summer St. NE Room 473, Salem,OR,"The Recovery Support Services Subcommittee seeks to increase awareness of the importance of recovery support services, and advocate for its increased use and availability.  Recovery support services include, but are not limited to: Peer delivered services; Education Support Services; Mentoring/Coaching; Social Supports; Systems Navigation; Housing; Transportation; Employment; and Life Skills.",Yes,Shawn Clark,503-945-9720,Shawn.CLARK@state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/oha/amh/amhpac/Pages/index.aspx,,,,
Human Services Department,AMHPAC Treatment Subcommittee,AMHPAC Treatment Subcommittee,01/08/2015 01:00:00 PM,01/08/2015 04:00:00 PM,Human Services Building 500 Summer St. NE Room 137 C/D, Salem,OR,"The Treatment Subcommittee monitors and evaluates behavioral health treatment services for adults and children; identifies needs and recommends strategies that improve Utilization, Efficacy, Access and Satisfaction (e.g. availability, retention, and outcomes); advocates for enhanced quality of care for individuals receiving treatment services funded by AMH through the block grant, beer and wine taxes, general fund and lottery dollars; and provides monitoring of shared residential services between AMH and CCOs.",Yes,Jennifer Foley,503-945-5767,Jennifer.M.Foley@state.or.us,,,,,,,true,,,,,,,,http://www.oregon.gov/oha/amh/amhpac/Pages/index.aspx,,,,
Health Evidence Review Commission,Health Evidence Review Commission (HERC),,01/08/2015 01:30:00 PM,01/08/2015 04:30:00 PM,"Wilsonville Training Center, 29353 SW Town Center Loop E", Wilsonville,OR,,,Herc Information,,herc.info@state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/oha/herc/Pages/Meeting-Materials-Archives.aspx,,,,
Oregon Commission for the Blind,Rules Committee Meeting,Rules Committee Meeting,01/08/2015 03:30:00 PM,01/08/2015 05:00:00 PM,"OCB Office, 535 SE 12th Ave.", Portland,OR,See agenda.,"Yes, 3 minutes per person",Kathy Ewing,971-673-1575,kathy.ewing@state.or.us,,,,,,,,,404-443-6397,943611#,,,,,http://www.oregon.gov/blind/Pages/BEP-Audio-Files.aspx,01-08-15 Rules Committee Agenda.docx (https://data.oregon.gov/views/gs36-7t8m/files/jAkcrvq_VQvLSISw0AXSywxUv2kRBAtsKg5I_ncQLdE?download=true&filename=01-08-15%20Rules%20Committee%20Agenda.docx),,,
Jordan Valley School District,Board meeting,,01/08/2015 07:00:00 PM,01/08/2015 10:00:00 PM,Elementary library,Jordan Valley,OR,,,Lee Ann Conro,541-586-2213,leeann.conro@jordanvalley.k12.or.us,,,,,,,,,,,,,,,,,,,
"Optometry, Board of",Administrative Rules Hearing,Hearing related to the Board's budget for 2015-2017,01/09/2015 08:00:00 AM,01/09/2015 08:30:00 AM,"1500 Liberty St. SE, Conference Room", Salem,OR,,yes,Cathy Boudreau,503 399 0662 ext 21,cathy.boudreau@oregon.gov,,,,Cathy Boudreau,503 399 0662 ext 21,cathy.boudreau@oregon.gov,,,,,,,,,http://oregonobo.org,,,,
"Medical Board, Oregon",Full Board Meeting,Quarterly meeting - Day 2,01/09/2015 08:00:00 AM,01/09/2015 03:00:00 PM,OMB Offices, Portland,OR,"The 12-member Board reviews cases and recommendations from the Board’s committees and makes final decisions.  The Board determines whether an application for licensure should be granted, granted with limitations, or denied.  The Board also determines the final resolution of investigatory cases.  In addition, the Board sets policy, adopts administrative rules, and discusses issues relevant to the practice of medicine.",Yes,Theresa Lee,971-673-2704,theresa.lee@state.or.us,,,,Theresa Lee,971-673-2704,theresa.lee@state.or.us,,,,,http://www.oregon.gov/omb/board/Pages/Meeting-Notices.aspx,,,,http://www.oregon.gov/omb/board/Pages/Meeting-Minutes.aspx,,,,
Fish and Wildlife Department,Oregon Fish and Wildlife Commission Hearing,"Oregon Fish and WIldlife Commission Hearing January 9, 2015 8:00 AM ",01/09/2015 08:00:00 AM,01/09/2015 05:00:00 AM,4034 Fairview Industrial Dr SE , Salem,OR,"Friday, January 9, 2015 - 8:00 am
Oregon Department of Fish and Wildlife
Commission Room
4034 Fairview Industrial Drive S.E.
Salem, Oregon 97302
",yes,Michelle Tate,503-947-6044,Michelle.L.Tate@state.or.us,,,,,,,,,,,,,,,http://www.dfw.state.or.us/agency/commission/minutes/ (http://www.dfw.state.or.us/agency/commission/minutes/%20),,,,
Physical Therapist Licensing Board,Regular Board Meeting,Regular,01/09/2015 08:30:00 AM,,Portland State Office Building Room 445, Portland,OR,,,Rick Sullivan,,rick.sullivan@state.or.us,,,,,,,,,,,,rick.sullivan@state.or.us,,,,,,,
"Optometry, Board of",Board Meeting,Regularly scheduled meeting of the Board,01/09/2015 09:00:00 AM,01/09/2015 04:00:00 PM,"1500 Liberty St. SE, Conference Room", Salem,OR,,yes,Cathy Boudreau,503 399 0662 ext 21,cathy.boudreau@oregon.gov,,,,Cathy Boudreau,503 399 0662 ext 21,cathy.boudreau@oregon.gov,,,,,,,,,http://oregonobo.org/minutes,,,,
"Workforce Investment Board, State",Oregon Workforce Investment Board meeting,Monthly OWIB meeting to discuss workforce issues,01/09/2015 01:00:00 PM,01/09/2015 04:00:00 PM,"Two World Trade Center (Mezzanine Room 2, 3, & 4)  25 SW Salmon Street", Portland,OR,,Yes,Brittany Dean,503-947-1733,Brittany.N.DEAN@oregon.gov,,,,,,,,,,,,,,,,,,,
Oregon Commission for the Blind,Rules Committee Meeting,Rules Committee Meeting,01/09/2015 03:30:00 PM,01/09/2015 05:00:00 PM,"OCB Office, 535 SE 12th Ave.", Portland,OR,See agenda,"Yes, 3 minutes per person",Kathy Ewing,971-673-1575,kathy.ewing@state.or.us,,,,,,,,,404-443-6397,943611#,,,,,http://www.oregon.gov/blind/Pages/BEP-Audio-Files.aspx,01-09-15 Rules Committee Agenda.docx (https://data.oregon.gov/views/gs36-7t8m/files/19UeBFS-bRsWJ_kEylucgyVqcS4JCZJdJXVnlcRfm_I?download=true&filename=01-09-15%20Rules%20Committee%20Agenda.docx),,,
"Raspberry and Blackberry Commission, Oregon",ORBC Committees & Regular Meeting,,01/10/2015 12:00:00 PM,02/10/2015 04:00:00 PM,"Denny’s Restaurant, 30175 SW Parkway Ave, Wilsonville, OR", Wilsonville,OR,"10.00 Promotion Committee
10.15 Legislative/Labor/Education Committee
10.30 Communications and Product Safety Committee
10.45 Research Committee
11.00 Budget Committee
12.00 Regular Commission Meeting",,Philip Gutt,,berries@oregon-berries.com,,,,,,,,,,,,,,,,,,,
Medical Assistance Program Administration,Quality & Health Outcomes Committee (QHOC) meeting,"Medical, Dental, and mental health issues, Quality and Learning Collaboratives",01/12/2015 09:00:00 AM,01/12/2015 03:00:00 PM,HSB-127A-D 500 Summer Street NE, Salem,OR,,yes,Hank Hickman,503-945-5776,Henry.E.Hickman@state.or.us,,,,,,,,,888-278-0296,310477,,,,,http://www.oregon.gov/oha/healthplan/Pages/CCO-OHP-Contractor-Workgroups.aspx,,,,
"Massage Therapists, Board of",Board Meeting,Board Meeting,01/12/2015 09:00:00 AM,01/12/2015 04:00:00 PM,748 Hawthorne Ave NE, Salem,OR,,,Ekaette Udosenata-Harruna,503-365-8657,ekaette.udosenata@state.or.us,,,,,,,,,,,http://www.oregon.gov/OBMT/Meetings/January_12_2015_Agenda%20%28PUBLIC%29.pdf,,,,http://www.oregon.gov/OBMT/Pages/minutes.aspx,January_12_2015_Agenda (PUBLIC).pdf (https://data.oregon.gov/views/gs36-7t8m/files/y3TUy0b_qAeP82rkCs-xvx-oMeVUKQBMLAmQOHLHXpo?download=true&filename=January_12_2015_Agenda%20(PUBLIC).pdf),,,
Employment Relations Board,Public Meeting,Rules Advisory Committee Meeting,01/12/2015 09:00:00 AM,01/12/2015 12:00:00 PM,"Bullard Law, 200 SW Market Street, Suite 1900", Portland,OR,Rules Advisory Committee Meeting,,April Bathurst,503-378-3808,april.bathurst@oregon.gov,,,,April Bathurst,503-378-3808,april.bathurst@oregon.gov,,,,,,,,,,,,,
Fish and Wildlife Department,Oregon Access and Habitat Board  Meeting ,"Oregon A&H Board Meeting January 13, 2015 8:00 AM",01/13/2015 08:00:00 AM,01/13/2015 05:00:00 PM,4034 Fairview Industrial Dr SE , Salem,OR,"Tuesday January 13, 2015 - 8:00 am
Oregon Department of Fish and Wildlife
Commission Room
4034 Fairview Industrial Drive S.E.
Salem, Oregon 97302
http://www.dfw.state.or.us/lands/AH/minutes/index.asp ",yes,ROblyn Brown,503-947-6087,Roblyn.Brown@state.or.us,,,,,,,,,,,,,,,http://www.dfw.state.or.us/lands/AH/minutes/index.asp,,,,
Employment Relations Board,Hearing,Hearing,01/13/2015 09:00:00 AM,01/15/2015 05:00:00 PM,"Room 404 Portland City Hall, 1221 SW 4th Avenue,", Portland,OR,Hearing in UP-023-14 DCTU v. City of Portland,,Mary Barton,503-378-3295,mary.j.barton@oregon.gov,,,,,,,,,,,,,,,,,,,
"Police, Oregon State",Task Force on School Safety,This is a meeting of the Task Force on School Safety that was created based on HB 4087,01/13/2015 09:00:00 AM,01/13/2015 03:00:00 PM,4160 Aumsville Hwy, Salem,OR,,,Mindy McCartt,503-934-0234,mindy.mccartt@state.or.us,,,http://www.oregon.gov/osp/Pages/Task-Force-on-School-Safety.aspx,,,,,,,,http://www.oregon.gov/osp/Pages/Task-Force-on-School-Safety.aspx,,,,http://www.oregon.gov/osp/Pages/Task-Force-on-School-Safety.aspx,,,,
Public Utility Commission,Public Meeting,Regularly Scheduled Public Meeting,01/13/2015 09:30:00 AM,01/13/2015 12:00:00 PM,"3930 Fairview Industrial Drive SE, Main Hearing Room", Salem,OR,,,Becky Beier,5033786611,becky.beier@state.or.us,,,,,,,,,,,,,,,http://www.puc.state.or.us/meetings/pmemos/2015/011315/PM%20Minutes%2001132015.pdf,,,,
"Raspberry and Blackberry Commission, Oregon",ORBC Committees & Regular Meeting,,01/13/2015 10:00:00 AM,01/13/2015 03:00:00 PM,Langdon Farms Golf Club/Grill Restaurant, Aurora,OR,"10.00 Promotion Committee
10.20 Legislative/Labor/Education Committee
10.40 Communications and Product Safety Committee
11.00 Research Committee
11.30 Budget Committee
12:00 Regular Commission Meeting",,Philip Gutt,,berries@oregon-berries.com,,,,,,,,,,,,,,,,,,,
Public Utility Commission,Special Public Meeting - Canceled,Administrative Issues,01/13/2015 01:30:00 PM,01/13/2015 02:30:00 PM,"3930 Fairview Industrial Drive SE, Commission Conference Room", Salem,OR,,,Becky Beier,5033786611,becky.beier@state.or.us,,,,,,,,,,,,,,,,,,,
North Central ESD,Regular Board Meeting,Board Meeting,01/13/2015 06:00:00 PM,01/13/2015 08:00:00 PM,First Floor Meeting Room, Condon,OR,,,Kim Domenighini,,kdomenig@ncesd.k12.or.us,,,,,,,,,,,,kdomenig@ncesd.k12.or.us,,,,,,,
"Criminal Justice Commission, Oregon",Eastern Regional Implementation Council Meeting,ern Regional Implementation Council Meeting,01/14/2015 09:00:00 AM,01/14/2015 11:00:00 AM,"Prineville Police Department, 400 NE 3rd Street ", Prineville,OR,,,Angie Allbee,,angela.allbee@oregon.gov,,,,,,,,,,,,,,,,Eastern RIC Agenda 1-14-15.pdf (https://data.oregon.gov/views/gs36-7t8m/files/1w5x6Xdhw48qex_FiC45UsFvXXmhd7Q6H40ZtT6IR1A?download=true&filename=Eastern%20RIC%20Agenda%201-14-15.pdf),,,
Public Safety Standards and Training Department,Polygraph Licensing Advisory Committee,PLAC,01/14/2015 09:00:00 AM,01/14/2015 01:00:00 PM,Oregon Public Safety Academy 4190 Ausmville Hwy SE,Salem,OR,,,Rebecca Hannon,503-378-2328,rebecca.hannon@state.or.us,,,,Rebecca Hannon,503-378-2328,rebecca.hannon@state.or.us,,,,,,,,,,,,,
Employment Relations Board,Hearing,Hearing,01/14/2015 09:00:00 AM,01/15/2015 05:00:00 PM,"528 Cottage ST NE, Fourth Floor Hearing Room",salem,OR,"Hearing in MA-013-14 / Casitllo-Middel v. State of Oregon, Department of Human Services",,Mary Barton,503-378-3295,mary.j.barton@oregon.gov,,,,,,,,,,,,,,,,,,,
DEQ,Clean Water State Revolving Fund Advisory Committee meeting,,01/14/2015 10:00:00 AM,01/14/2015 12:00:00 PM,"707 SW Washington Street, Suite 500, Portland OR",Portland,OR,Portland Center Union Bank Building,,,,,For more information visit CWSRF home page (http://www.oregon.gov/deq/RulesandRegulations/Pages/Advisory/ACWSRF.aspx),,,,,,,,,,,,,,,,,,
Environmental Quality Dept.,Clean Water State Revolving Fund Advisory Committee meeting,,01/14/2015 10:00:00 AM,01/14/2015 12:00:00 PM,"Portland Center Union Bank Building, 707 SW Washington Street, Suite 500", Portland,OR,,,Katie Foreman,503-229-5622,foreman.katie@deq.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/deq/RulesandRegulations/Pages/Advisory/ACWSRF.aspx,,,,
DEQ,Clean Water State Revolving Fund Advisory Committee meeting,,01/14/2015 10:00:00 AM,01/14/2015 12:00:00 PM,Portland Center Union Bank Building,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon Commission for the Blind,Rules Committee Meeting,Rules Committee Meeting,01/14/2015 01:30:00 PM,01/14/2015 05:00:00 PM,"OCB Office, 535 SE 12th Ave.", Portland,OR,"Agenda attached.
Public comment on: http://www.oregon.gov/blind/Pages/BEP-Audio-Files.aspx","Yes, 3 minutes per person",Kathy Ewing,971-673-1575,kathy.ewing@state.or.us,,,,,,,,,404-443-6397,943611#,,,,,http://www.oregon.gov/blind/Pages/BEP-Audio-Files.aspx,01-14-15 Rules Committee Agenda.docx (https://data.oregon.gov/views/gs36-7t8m/files/2qcfFEASjb4WCKMPljm2nXCxR6zAYiDS1Z-J_jZh30E?download=true&filename=01-14-15%20Rules%20Committee%20Agenda.docx),,,
Public Utility Commission,Special Public Meeting,Report on Demand Response Pilots - UM 1708,01/14/2015 01:30:00 PM,01/14/2015 02:30:00 PM,"3930 Fairview Industrial Drive SE, Main Hearing Room", Salem,OR,,,Becky Beier,5033786611,becky.beier@state.or.us,,,,,,,,,,,,,,,http://www.puc.state.or.us/Pages/meetings/pmemos/2015/011415/Special-Public-Meeting-Minutes.aspx,,,,
Nursing Board,Oregon State Board of Nursing Board meeting via Teleconference,The Board will meet for the purpose of discussing and taking action on disciplinary cases,01/14/2015 04:30:00 PM,,17938 SW Upper Boones Ferry Road, Portland,OR,,,Peggy Lightfoot,,peggy.lightfoot@state.or.us,http://www.osbn.state.or.us/OSBN/meetings.shtml,,,Peggy Lightfoot,971-673-0638,peggy.lightfoot@state.or.us,,,,,,peggy.lightfoot@state.or.us,,,,,,,
Environmental Quality Dept.,Jordan Cove 401 water quality certification ,DEQ will host four information meetings in January on the Jordan Cove Energy Project 401 water quality certification.,01/14/2015 06:00:00 PM,01/14/2015 09:00:00 PM,"Marshfield High School Auditorium, 10th & Ingersoll St.", Coos Bay,OR,"The public is invited to ask questions about DEQ’s role in drafting a 401 water quality certification for the project.  Also in attendance will be the U.S. Army Corps of Engineers, and the Department of Land Conservation and Development.  Staff from all agencies will be available to answer process-related questions.  ",401publiccomments@deq.state.or.us,Mary Camarata,541-687-7435,Camarata.mary@deq.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/deq/WR/Pages/jordancove.aspx,,,,
Landscape Contractors Board,Board Meeting,,01/15/2015 08:30:00 AM,01/15/2015 04:00:00 PM,Keizer Civic Center, Keizer,OR,,Yes,Kim Gladwill-Rowley,503-967-6291 ext 223,kim.gladwill@lcb.state.or.us,,"https://www.google.com/maps/place/930+Chemawa+Rd+NE,+Keizer,+OR+97303/@44.9960949,-123.0204795,15z/data=!4m2!3m1!1s0x54bffe02d0b0419b:0x8291a1e1deb3627f?sa=X&ei=__hYVLfNBMGOiwLOyIG4Bg&ved=0CB0Q8gEwAA",,,,,,,,,,,,,http://www.oregon.gov/LCB/pages/index.aspx,,,,
"Hop Commission, Oregon",Regular Commission Meeting,,01/15/2015 12:00:00 PM,01/15/2015 03:00:00 PM,"Wilco Conference Room, 200 Industrial Way",Mt. Angel,OR,,,Nancy Sites,503-982-7600,nancy@oregonhops.org,,,,,,,,,,,,,,,,1-15-15 Agenda.pdf (https://data.oregon.gov/views/gs36-7t8m/files/6vF-H9NmQjot_tiTLoMjmX3NelzBZspv27h8FHB_Tz8?download=true&filename=1-15-15%20Agenda.pdf),,,
Medical Assistance Program Administration,DCO Contractors,Dental Issues,01/15/2015 12:30:00 PM,01/15/2015 02:30:00 PM,HSB 352 500 Summer St. NE, Salem,OR,,Yes,Maria Snegirev,503-945-5774,Maria.Snegirev@state.or.us,,,,,,,,,888-278-0296,310477,,,,,http://www.oregon.gov/oha/healthplan/Pages/CCO-Dental-Care-Organization-Contractors.aspx,,,,
"Health Licensing Agency, Oregon",Behavior Analysis Regulatory Board,,01/15/2015 01:30:00 PM,01/15/2015 04:00:00 PM,700 Summer St. NE Suite 320, Salem,OR,,,Debra Daniels,,debra.daniels@state.or.us,,,,,,,,,,,,,,,,,,,
"Tall Fescue Commission, Oregon",Tall Fescue Commission Meeting,Regular Scheduled Commission Meeting,01/15/2015 06:00:00 PM,,Cascade Grill, Albany,OR,,,Commissions,,jenny@ostlund.com,,,,,,,,,,,,jenny@ostlund.com,,,,,,,
Environmental Quality Dept.,Jordan Cove 401 water quality certification ,DEQ will host four information meetings in January on the Jordan Cove Energy Project 401 water quality certification.,01/15/2015 06:00:00 PM,01/15/2015 09:00:00 PM,"Umpqua Community College, Campus Center Dining Room, 1140 Umpqua College Rd.", Roseburg,OR,"The public is invited to ask questions about DEQ’s role in drafting a 401 water quality certification for the project.  Also in attendance will be the U.S. Army Corps of Engineers, and the Department of Land Conservation and Development.  Staff from all agencies will be available to answer process-related questions.  ",401publiccomments@deq.state.or.us,Mary Camarata,541-687-7435,Camarata.mary@deq.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/deq/Pages/publicnotice.aspx,,,,
