Number,Fraction,Prefix,Name,Suffix,Month,Day,Year,Res_Non,Type,SF_MF,Dwelling Units Gained or Lost,Permit Value,How Far East,How Far North,Permit Number,Structure Class,Class Description,Subdivision,Project Description,County,Council District,School District,PIN,Parcel,Applicant Name,Applicant Representative,Owner Name,Legal Description,Location 1,Neighborhood Census,Council Districts,County Boundary,Zip Codes
825,,,EUCLID,AVE,3,16,2012,Non-Residential,Demolition,NA,0,0,2772510,1069626,201222800,649,Demo - All Other Buildings & Structures,FOUNTAIN ESTATES,COMMERCIAL,Jackson,3,Kansas City,254170,JA2911004170000000,GEORGE J. SHAW CONSTRUCTION CO.,ANDY NIMZ,,,825 EUCLID AVE,,,,
3840,,,HARRISON,BLVD,8,21,2012,Residential,"Additions, Alterations, Repairs",NA,0,1050,2767828,1052204,201315135,434,Existing - Residential Bldg-Addn-Alter-Conv,,TRY-PLEX,Jackson,4,Kansas City,132013,JA30210231600000000,PATRICIA  AMSTRONG,,,,3840 HARRISON BLVD,,,,
4926,,,HOLLY,ST,12,10,2012,Residential,"Additions, Alterations, Repairs",NA,0,500,2759944,1045795,201319720,97,Existing One Or Two Family Residence,,SINGLE FAMILY,Jackson,4,Kansas City,142169,JA30430122400000000,MYERS SEAN R,,,,4926 HOLLY ST,,,,
8948,,,HOLMES,RD,1,3,2012,Residential,"Additions, Alterations, Repairs",NA,0,150,2765449,1018841,201219868,97,Existing One Or Two Family Residence,,SINGLE FAMILY,Jackson,6,Center,150436,JA48240073800000000,VERGENEA CROSBY,,,,8948 HOLMES RD,,,,
3428,,,INDIANA,AVE,9,14,2010,Residential,Demolition,Single Family,1,0,2776160,1054625,201115599,645,Demolition - One-Family Dwelling,,SINGLE FAMILY,Jackson,3,Kansas City,25585,JA28930253000000000,"MIDLAND WRECKING, INC.",ED KATES,,,3428 INDIANA AVE,,,,
3729,,,LOCUST,ST,12,18,2012,Residential,"Additions, Alterations, Repairs",NA,0,4604,2766012,1053117,201320074,97,Existing One Or Two Family Residence,,DUPLEX,Jackson,4,Kansas City,131877,JA30210111500000000,A.B. MAY COMPANY,LISA DEMOSS,,,3729 LOCUST ST,,,,
9701,,,MARION PARK,DR,1,3,2011,Non-Residential,New Construction,NA,0,200,2779119,1012970,201120031,328,"Sheds, Barns, And Residential Garages",,COMMERCIAL,Jackson,5,Hickman Mills,55809,JA49530012200000000,"PRO CIRCUIT, INC.",ZONYA HAYES,,GDP LLC,9701 MARION PARK DR,,,,
3940,,,MCGEE,ST,10,4,2012,Residential,"Additions, Alterations, Repairs",NA,0,1200,2765188,1051668,201317098,97,Existing One Or Two Family Residence,,SINGLE FAMILY,Jackson,4,Kansas City,132513,JA30230022200000000,LC SOLUTIONS LLC,LEE CARUTHERS,,,3940 MCGEE ST,,,,
2014,,,MERCIER,ST,10,8,2010,Residential,New Construction,Single Family,0,2600,2760497,1064128,201116677,101,New Single Family Dwelling,,SINGLE FAMILY,Jackson,4,Kansas City,,,"AMERICA ON THE GO PLUMBING, LLC",KANEISHA WASHINGTON,,,2014 MERCIER ST,,,,
5115,,,MICHIGAN,AVE,8,20,2012,Residential,"Additions, Alterations, Repairs",NA,0,900,2770883,1043858,201315038,97,Existing One Or Two Family Residence,,SINGLEFAMILY,Jackson,5,Kansas City,145565,JA30710070600000000,TMF ELECTRIC,TIM FERGUSON,,,5115 MICHIGAN AVE,,,,
906,,,NEWTON,AVE,6,29,2011,Residential,Demolition,Single Family,1,0,2787486,1068327,201212363,645,Demolition - One-Family Dwelling,,SINGLE FAMILY,Jackson,4,Kansas City,5310,JA28110141900000000,TERRY TRUCKING AND WRECKING L.L.C.,CLIFTON D TERRY,,,906 NEWTON AVE,,,,
2800,,,NICHOLSON,AVE,11,13,2012,Non-Residential,New Construction,NA,0,5000,2775215,1076991,201318627,320,Industrial Buildings,,GREAT CENTRAL TRUCK LEASING,Jackson,4,Kansas City,38717,JA13430120300000000,"WESTHUES ELECTRIC, INC.",KEITH WESTHUES,,,2800 NICHOLSON AVE,,,,
531,,,OAK,ST,8,26,2011,Residential,New Construction,Single Family,0,65000,2766342,1071124,201214814,101,New Single Family Dwelling,CITY HOMES,SINGLE FAMILY,Jackson,4,Kansas City,247665,JA12840292300000000,"NEW MARK HOMES, LLC",CRAIG ARCHER,,,531 OAK ST,,,,
5800,,N,POLK,DR,10,27,2010,Residential,"Additions, Alterations, Repairs",NA,0,499,2749840,1104637,201117430,97,Existing One Or Two Family Residence,,SINGLE FAMILY,Platte,2,Park Hill,166406,PL199029300004033000,"ADT SECURITY SERVICES, INC.",LISA PARK,,,5800 N POLK DR,,,,
2103,,,PROSPECT,AVE,12,3,2012,Residential,"Additions, Alterations, Repairs",NA,0,200,2773997,1063168,201319387,97,Existing One Or Two Family Residence,,SINGLE FAMILY,Jackson,3,Kansas City,15641,JA28420370300000000,GARCIA KARLA,,,,2103 PROSPECT AVE,,,,
715,,,PROSPECT,AVE,6,29,2011,Residential,"Additions, Alterations, Repairs",NA,0,1200,2774250,1069508,201212399,97,Existing One Or Two Family Residence,,DUPLEX,Jackson,3,Kansas City,10615,JA28320124700000000,ALVIN'S REPAIRS,"EICHELBERG, ALVIN",,,715 PROSPECT AVE,,,,
8275,,N,REVERE,AVE,9,2,2011,Residential,"Additions, Alterations, Repairs",NA,0,500,2746311,1120977,201215115,97,Existing One Or Two Family Residence,,SINGLEFAMILY,Platte,2,Park Hill,160456,PL193007300001004005,A.B. MAY COMPANY,LEAH PALMER,,,8275 N REVERE AVE,,,,
3001,,NE,RUSSELL,RD,9,24,2010,Residential,Demolition,Single Family,1,0,2776103,1092228,201116055,645,Demolition - One-Family Dwelling,,SINGLE FAMILY - DEMO,Clay,1,North Kansas City,78141,CL1811300020130001,"HECO, INC.",RUSSEL BRANSON,,,3001 NE RUSSELL RD,,,,
2041,,,SPRUCE,AVE,8,10,2011,Residential,"Additions, Alterations, Repairs",NA,0,100,2779515,1062941,201214139,97,Existing One Or Two Family Residence,,SINGLE FAMILY,Jackson,3,Kansas City,18636,JA28520291500000000,GABRIELA SILVA,,,,2041 SPRUCE AVE,,,,
11504,,,STARK,AVE,4,12,2012,Residential,Demolition,Single Family,1,80,2792020,1000447,201224010,645,Demolition - One-Family Dwelling,,SINGLE FAMILY RESIDENCE,Jackson,6,Hickman Mills,73356,JA63410010100000000,"HECO, INC.",RUSSEL BRANSON,,,11504 STARK AVE,,,,
1262,,,STRATFORD,RD,11,26,2012,Residential,"Additions, Alterations, Repairs",NA,0,23481,2758252,1038770,201319072,97,Existing One Or Two Family Residence,,SINGLE FAMILY,Jackson,6,Kansas City,108731,JA47320011300000000,A.B. MAY COMPANY,LISA DEMOSS,,,1262 STRATFORD RD,,,,
5133,,,VIRGINIA,AVE,12,12,2012,Residential,"Additions, Alterations, Repairs",NA,0,2100,2768891,1043743,201319804,97,Existing One Or Two Family Residence,,SINGLE FAMILY,Jackson,5,Kansas City,146339,JA30720051000000000,CLAYCO ELECTRIC CO.,ADAM NEWPORT,,,5133 VIRGINIA AVE,,,,
5005,,,WALROND,AVE,6,18,2012,Residential,Demolition,Single Family,1,0,2775209,1044442,201312092,645,Demolition - One-Family Dwelling,,SINGLE FAMILY,Jackson,3,Kansas City,35341,JA31430200300000000,"KAW VALLEY WRECKING, LLC",TOM LYNCH,,,5005 WALROND AVE,,,,
6447,,,WASHINGTON,ST,6,28,2012,Residential,"Additions, Alterations, Repairs",NA,0,15000,2761728,1035481,201312728,97,Existing One Or Two Family Residence,,SINGLE FAMILY,Jackson,6,Kansas City,109043,JA47340081100000000,TIM SADY,,,,6447 WASHINGTON ST,,,,
4228,,,WOODLAND,AVE,8,19,2011,Residential,New Construction,Single Family,0,5200,2770661,1049593,201214505,101,New Single Family Dwelling,,SINGLE FAMILY,Jackson,3,Kansas City,,,INTREPID ELECTRIC L.L.C.,JAMES COPELAND,,,4228 WOODLAND AVE,,,,
10109,,NE,103RD,ST,2,9,2012,Residential,New Construction,Single Family,0,6000,2801857,1133372,201221329,101,New Single Family Dwelling,AMBER LAKES FOURTH PLAT,SINGLE FAMILY,Clay,1,Liberty,254372,CL1091500150190001,"BARSCO MECHANICAL, L.L.C.","PERMIT SERVICE, INC.",,,10109 NE 103RD ST,,,,
10218,,NE,103RD,TER,1,6,2012,Residential,New Construction,Single Family,0,6100,2802375,1133785,201220000,101,New Single Family Dwelling,AMBER LAKES FOURTH PLAT,NEW SINGLE FAMILY,Clay,1,Liberty,254349,CL1091500140300001,"SCOTT HAGEN ELECTRIC, L.L.C.",SCOTT HAGEN,,,10218 NE 103RD TER,,,,
7107,,E,100TH,TER,2,14,2011,Residential,Demolition,Single Family,1,0,2786803,1010615,201121355,645,Demolition - One-Family Dwelling,,SINGLE FAMILY,Jackson,5,Hickman Mills,58199,JA49710090800000000,CHRISTOPHER R PARKER,HOMEOWNER,,SCP 2006-C23-075 LLC,7107 E 100TH TER,,,,
70,,E,107TH,TER,12,3,2012,Residential,"Additions, Alterations, Repairs",NA,0,2265,2763285,1007271,201319439,97,Existing One Or Two Family Residence,,SINGLE FAMILY,Jackson,6,Center,154928,JA65220011700000000,A.B. MAY COMPANY,LISA DEMOSS,,,70 E 107TH TER,,,,
907,,W,104TH,ST,2,7,2012,Non-Residential,"Additions, Alterations, Repairs",NA,0,12950,2759311,1009497,201221186,437,Existing - Nonresidntl Bldg-Addn-Alter-Conv,SUPERIOR AUTOMALL,SUPERIOR VOLVO,Jackson,6,Center,207644,JA48940022800000000,TRADEMARK ELECTRIC,BRETT MAGEE,,,907 W 104TH ST,,,,
8306,,NE,103RD,TER,9,24,2012,Residential,New Construction,Single Family,1,147500,2794452,1133992,201316642,101,New Single Family Dwelling,BENSON PLACE FIELDSTONE - THIRD PLAT,NEW SINGLE FAMILY,Clay,1,Liberty,256099,T1269.126,ASPEN HOMEBUILDERS LLC,SCOTT KOENIGSDORF,,,8306 NE 103RD TER,,,,
5705,,E,107TH,TER,12,28,2010,Residential,"Additions, Alterations, Repairs",NA,0,500,2781818,1006243,201119883,97,Existing One Or Two Family Residence,,SINGLE FAMILY - ELECTRICAL,Jackson,6,Hickman Mills,60648,JA64210014000000000,DANFORTH LEON JOSEPH,,,PARKS MICHAEL,5705 E 107TH TER,,,,
9118,,NE,103RD,ST,11,22,2010,Residential,New Construction,Single Family,0,4200,2798061,1133312,201118477,101,New Single Family Dwelling,BRENTWOOD PLACE FIRST PLAT,SINGLE FAMILY,Clay,1,Liberty,234910,CL1091300020230001,PALMER ELECTRIC COMPANY,TERRY CHAPMAN,,,9118 NE 103RD ST,,,,
6612,,NW,104TH,ST,11,14,2011,Residential,New Construction,Single Family,0,300,2744835,1134403,201218080,101,New Single Family Dwelling,HAWKSBURY THIRD PLAT,SINGLE FAMILY,Platte,2,Platte County R-III,229618,PL189030300011006000,"JIM ROBERTSON PLUMBING, INC.","PERMIT SERVICE, INC.",,,6612 NW 104TH ST,,,,
8109,,NE,102ND,ST,1,14,2011,Residential,New Construction,Single Family,0,5000,2794254,1132641,201120484,101,New Single Family Dwelling,BENSON PLACE FIELDSTONE FIRST PLAT,NEW SINGLE FAMILY MP #200911087,Clay,1,Liberty,236799,CL1081600140110001,"JIM ROBERTSON PLUMBING, INC.","PERMIT SERVICE, INC.",,HEARTHSIDE HOMES OF KANSAS CITY~INC,8109 NE 102ND ST,,,,
1308,,E,101ST,ST,9,6,2012,Residential,"Additions, Alterations, Repairs",NA,0,6500,2767448,1011451,201315866,97,Existing One Or Two Family Residence,,SINGLE FAMILY / PLBG,Jackson,5,Center,154202,JA48720090900000000,ROTO-ROOTER SERVICES COMPANY,PERMIT SERVICE INC,,,1308 E 101ST ST,,,,
7107,,E,107TH,PL,8,6,2010,Residential,"Additions, Alterations, Repairs",NA,0,8750,2786823,1005569,201114033,97,Existing One Or Two Family Residence,,SINGLE FAMILY - BUILDING,Jackson,6,Hickman Mills,59178,JA64110091700000000,PREMIER INSTALLATIONS AND TECHNOLOGY SERVICES,ROBERT SHELTON,,,7107 E 107TH PL,,,,
10500,,NE,106TH,TER,9,10,2012,Residential,New Construction,Single Family,0,6001,2803469,1135757,201315980,101,New Single Family Dwelling,MANDERLEY,SINGLE FAMILY,Clay,1,Liberty,248830,CL1091100050050001,"TEAGUE ELECTRIC CONSTRUCTION, INC.",ANN GARCIA,,,10500 NE 106TH TER,,,,
1046,,W,103RD,ST,3,10,2011,Non-Residential,"Additions, Alterations, Repairs",NA,0,24000,2759004,1011177,201122378,437,Existing - Nonresidntl Bldg-Addn-Alter-Conv,,APPLEBEE'S RESTAURANT,Jackson,6,Center,153076,JA48920031600000000,WATHCO INC,KENNY SCHLENKER,,CHILDRENS MERCY HOSPITAL,1046 W 103RD ST,,,,
8606,,NE,100TH,TER,5,4,2010,Residential,New Construction,Single Family,0,6000,2795518,1132120,201110097,101,New Single Family Dwelling,BENSON PLACE WOODCHASE THIRD PLAT,SINGLE FAMILY RESIDENCE,Clay,1,Liberty,236901,CL1081600010150001,"BARSCO MECHANICAL, L.L.C.","PERMIT SERVICE, INC.",,BENSON PLACE WOODCHASE 3RD PLAT LT 115,8606 NE 100TH TER,,,,
8408,,NE,102ND,TER,5,21,2010,Residential,New Construction,Single Family,1,175000,2794653,1133292,201110815,101,New Single Family Dwelling,BENSON PLACE FIELDSTONE FIRST PLAT,NEW SINGLE FAMILY MP#201010378,Clay,1,Liberty,236846,CL1081600180050001,"SAB CONSTRUCTION, LLC",GARY CASEY,,BENSON PLACE FIELDSTONE 1ST PLAT LT 70,8408 NE 102ND TER,,,,
522,,E,106TH,ST,12,29,2010,Residential,"Additions, Alterations, Repairs",NA,0,2355,2764542,1008264,201119928,97,Existing One Or Two Family Residence,,SINGLE FAMILY,Jackson,6,Center,153971,JA48840042200000000,AB MAY COMPANY,JESSICA DICKSON,,PMO IV LLC,522 E 106TH ST,,,,
7710,,E,102ND,ST,7,9,2012,Non-Residential,"Additions, Alterations, Repairs",NA,0,3660,2788639,1009632,201313165,437,Existing - Nonresidntl Bldg-Addn-Alter-Conv,,COM GOOD SHEPHERD ADULT DAY CARE,Jackson,5,Hickman Mills,70318,JA50920063300000000,AMERICAN FIRE SPRINKLER CORP.,PERMIT SERVICE,,,7710 E 102ND ST,,,,
1304,,NE,107TH,ST,3,11,2011,Residential,New Construction,Single Family,0,5000,2770380,1136302,201122439,101,New Single Family Dwelling,STALEY MEADOWS SECOND PLAT,NEW SINGLE FAMILY MSTR PLN 200911307,Clay,2,North Kansas City,252071,T1188.9,"JIM ROBERTSON PLUMBING, INC.","PERMIT SERVICE, INC.",,DANIEL KAREN L,1304 NE 107TH ST,,,,
10116,,NE,103RD,TER,12,28,2012,Residential,New Construction,Single Family,1,175000,2801910,1133876,201320301,101,New Single Family Dwelling,AMBER LAKES FOURTH PLAT,NEW SINGLE FAMILY,Clay,1,Liberty,254355,CL1091500170050001,DIRT SOLUTIONS,BRIAN BALDWIN,,,10116 NE 103RD TER,,,,
10303,,NE,103RD,TER,8,26,2011,Residential,New Construction,Single Family,1,155000,2802611,1133744,201214817,101,New Single Family Dwelling,AMBER LAKES FOURTH PLAT,NEW SINGLE FAMILY,Clay,1,Liberty,254339,CL1091500140200001,INTERGRITY HOMEBUILDERS LLC,RHONDA HOLLAND,,,10303 NE 103RD TER,,,,
6313,,E,102ND,ST,2,16,2012,Residential,"Additions, Alterations, Repairs",NA,0,99,2784630,1009857,201221531,97,Existing One Or Two Family Residence,,SINGLE FAMILY,Jackson,5,Hickman Mills,58826,JA49720190200000000,"ADT SECURITY SERVICES, INC.",DIANA CARMAN,,,6313 E 102ND ST,,,,
9118,,NE,103RD,ST,10,22,2010,Residential,New Construction,Single Family,0,3600,2798061,1133312,201117280,101,New Single Family Dwelling,BRENTWOOD PLACE FIRST PLAT,NEW SINGLE FAMILY,Clay,1,Liberty,234910,CL1091300020230001,NEWCOMER PLUMBING,PERMIT SERVICE INC,,,9118 NE 103RD ST,,,,
6704,,NW,104TH,ST,10,5,2010,Residential,New Construction,Single Family,0,4300,2744645,1134408,201116489,101,New Single Family Dwelling,HAWKSBURY THIRD PLAT,new SINGLE FAMILY,Platte,2,Platte County,229616,PL189030300011004000,"CARLYLE PLUMBING, INC.",JODY CARLYLE,,,6704 NW 104TH ST,,,,
6005,,NW,101ST,TER,12,15,2010,Residential,"Additions, Alterations, Repairs",NA,0,9089,2746277,1132916,201119455,97,Existing One Or Two Family Residence,TIFFANY GREENS FIRST ADDITION,SINGLE FAMILY,Platte,2,Platte County,211462,PL189031200002008000,"CM MOSE & SON, INC.",MIKE SCOBEE,,MARQUIS JAMES R & IMOGENE R TRUSTEE,6005 NW 101ST TER,,,,
10222,,NE,103RD,TER,7,12,2011,Residential,New Construction,Single Family,1,148000,2802386,1133785,201212819,101,New Single Family Dwelling,AMBER LAKES FOURTH PLAT,NEW SINGLE FAMILY,Clay,1,Liberty,254348,CL1091500140290001,INTERGRITY HOMEBUILDERS LLC,RHONDA HOLLAND,,,10222 NE 103RD TER,,,,
6115,,NW,107TH,ST,4,29,2010,Residential,"Additions, Alterations, Repairs",NA,0,300,2745903,1136210,201024477,97,Existing One Or Two Family Residence,TIFFANY GREENS FOURTH PLAT,SINGLE FAMILY,Platte,2,Platte County,207736,PL189030300005017000,WILLSEY PLUMBING,,,SEC 30-52-33 NW1/4 SE1/4 TIFFANY GREENS FOURTH PLAT LOT 167,6115 NW 107TH ST,,,,
121,,NE,103RD,ST,9,28,2010,Residential,"Additions, Alterations, Repairs",NA,0,950,2766552,1133838,201116206,97,Existing One Or Two Family Residence,,SINGLE FAMILY,Clay,2,North Kansas City,102904,CL0991300070790001,"B & L PLUMBING SERVICE, INC.",KERRI CLAYTON,,,121 NE 103RD ST,,,,
8509,,NE,105TH,TER,7,31,2012,Residential,"Additions, Alterations, Repairs",NA,0,8390,2795029,1135404,201314181,97,Existing One Or Two Family Residence,QUAIL RIDGE 2ND PLAT,SINGLE FAMILY,Clay,1,Liberty,173169,CL1081200070030001,A.B. MAY COMPANY,LISA DEMOSS,,,8509 NE 105TH TER,,,,
1314,,E,42ND,ST,9,24,2012,Residential,"Additions, Alterations, Repairs",NA,0,1000,2768966,1050169,201316593,97,Existing One Or Two Family Residence,,SINGLE FAMILY,Jackson,3,Kansas City,135932,JA30130222200000000,MALONE RAYMOND D,,,,1314 E 42ND ST,,,,
8215,,NE,102ND,TER,4,25,2011,Residential,New Construction,Single Family,0,5886,2794303,1133038,201124124,101,New Single Family Dwelling,BENSON PLACE FIELDSTONE FIRST PLAT,NEW SINGLE FAMILY,Clay,1,Liberty,236826,CL1081600170070001,"MCDANIEL FURNACE & SHEET METAL, INC.",SHEILA DAVIS,,BRYANT MARY,8215 NE 102ND TER,,,,
800,,E,101ST,TER,10,3,2011,Non-Residential,"Additions, Alterations, Repairs",NA,0,40000,2765568,1011452,201216392,437,EXIST - NONRESIDNTL BLDG-ADDN-ALTER-CONV,,HOLMES II TENANT FINISH 2ND FLR,Jackson,5,Center,153664,JA48810100200000000,METRO AIR CONDITIONING CO.,ROBERT CHOUN,,,800 E 101ST TER,,,,
901,,E,104TH,ST,3,22,2010,Non-Residential,"Additions, Alterations, Repairs",NA,0,128276,2765931,1009523,201022838,437,Existing - Nonresidntl Bldg-Addn-Alter-Conv,,TEVA CONFERENCE ROOM,Jackson,6,Center,153939,JA48840011000000000,"EXECUCTIVE HILLS, INC",BRICE OBERMUELLER,,901 E 104TH ST                EXECUTIVE HILLS EAST TRACT A  ON CERT OF SURVEY OF LOTS 2 & 3 & PRT OF LOT 4 FILED AS     DOCMT #K687823 IN BK S-2 AT   PG 20 ON 11-7-1985,901 E 104TH ST,,,,
908,,NE,100TH,CT,5,26,2010,Residential,"Additions, Alterations, Repairs",NA,0,3630,2770140,1131658,201110970,97,Existing One Or Two Family Residence,,SINGLE FAMILY,Clay,2,North Kansas City,103892,CL0991500030750001,APEX HEATING AND AIR CONDITIONING INC.,BRENDA ZITTEL,,908 NE 100TH CT               WILLOW PARK 2ND PLAT LOT 50,908 NE 100TH CT,,,,
