"g_nero","municipio_de_nacimiento","pa_s","municipio_direcci_n","barrio_direcci_n","estrato","estado_civil","eps","grupo_sisben","zona","nivel_de_formaci_n","ocupaci_n","medio_de_transporte","multiculturalidad","estado","fecha_de_matr_cula","jornada","programa","per_odo","nivel","edad"
"Masculino","Medellín","Colombia","Envigado","La Mina","1","Soltero(a)","No Aplica","Sin respuesta","Urbana","Media","Empleado","Sin respuesta","No aplica","Cancelado","2016-07-06T10:00:00Z","DIURNA","10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos)","2016-2","SEMESTRE 1","26"
"Femenino","Medellín","Colombia","Envigado","Zuñiga","2","Soltero(a)","EPS Sura","Sin respuesta","Urbana - rural","Media","Estudiante superior","Público Bus o Buseta","No aplica","Graduado","2017-06-22T10:00:00Z","NOCHE","11T-TÉCNICO LABORAL EN AUXILIAR CONTABLE (Solo Estudiantes Antiguos)","2020-1","SEMESTRE 2","26"
"Femenino","Envigado","Colombia","Medellín","Sin respuesta","2","Soltero(a)","EPS Sura","Sin respuesta","Urbana","Sin respuesta","Estudiante básica","Público Bus o Buseta","No aplica","Inactivo","2020-07-25T10:00:00Z","MEDIA TÉCNICA","MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL","2020 - MT","NOVENO","16"
"Masculino","Envigado","Colombia","Envigado","Barrio Obrero","3","Soltero(a)","No Aplica","Sin respuesta","Urbana","Media","Independiente","A Pie","No aplica","Sancionado","2019-07-17T10:00:00Z","NOCHE","17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO","2019-2","SEMESTRE 1","25"
"Masculino","Medellín","Colombia","Medellín","Sin respuesta","3","Soltero(a)","EPS Sura","Sin respuesta","Urbana","Básica secundaria","Estudiante básica","A Pie","No aplica","Inactivo","2019-11-21T10:00:00Z","MEDIA TÉCNICA","PROYECTOS FORMATIVOS MEDIA TECNICA","2018 - MT","ONCE","19"
"Masculino","Envigado","Colombia","Envigado","Barrio Mesa","3","Soltero(a)","Nueva Promotora de Salud - Nueva EPS","Sin respuesta","Urbana","Media","Estudiante superior","Sin respuesta","No aplica","Inactivo","2015-07-23T10:00:00Z","DIURNA","17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO","2015-2","SEMESTRE 1","26"
"Femenino","Santa Helena Del Opón","Colombia","Envigado","El Dorado","3","Casado(a)","EPS Sura","Sin respuesta","Urbana","Básica secundaria",,"Sin respuesta","No aplica","Graduado","2016-01-15T10:00:00Z","NOCHE","10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos)","2017-2","SEMESTRE 2","47"
"Masculino","Medellín","Colombia","Medellín","La América","3","Soltero(a)","Coomeva EPS","Sin respuesta","Urbana","Media","Estudiante superior","Particular Bicicleta","No aplica","Graduado","2016-07-12T10:00:00Z","DIURNA","17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO","2017-1","SEMESTRE 2","28"
"Femenino","San Pedro De Urabá","Colombia","Envigado","Las Flores","2","Soltero(a)","Cafesalud  EPS","Sin respuesta","Urbana","Media","Empleado","Público Bus o Buseta","Cabeza de familia","Sancionado","2018-06-14T10:00:00Z","NOCHE","03T-TÉCNICO LABORAL AUXILIAR EN LOGÍSTICA","2018-2","SEMESTRE 1","30"
"Masculino","Sin respuesta","Colombia","Envigado","San José",,"Sin Respuesta","No Aplica","Sin respuesta",,"Sin respuesta",,"Sin respuesta","No aplica","Activo","2021-05-04T10:00:00Z","NOCHE","FORMACIÓN EN CONOCIMIENTOS ACADÉMICOS PARA LA ACTUALIZACIÓN DEL DESEMPEÑO DOCENTE CEFIT","2021-1","SEMESTRE 1","45"
"Masculino","Itagui","Colombia","Envigado","Barrio Mesa","3","Soltero(a)","EPS Sura","Sin respuesta","Urbana","Media","Empleado","Moto","No aplica","Graduado","2015-02-03T10:00:00Z","NOCHE","10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos)","2015-2","SEMESTRE 2","30"
"Masculino","La Ceja","Colombia","Envigado","Vereda - Las Palmas","2","Soltero(a)","Savia Salud","Sin respuesta","Urbana","Media","Estudiante superior","A Pie","No aplica","Cancelado","2020-01-20T10:00:00Z","DIURNA","17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO","2020-1","SEMESTRE 1","27"
"Masculino","Medellín","Colombia","Envigado","San Rafael","2","Soltero(a)","MEDIMAS","Sin respuesta","Urbana","Media","Estudiante superior","A Pie","No aplica","Graduado","2019-01-17T10:00:00Z","NOCHE","31T-TÉCNICO LABORAL EN SISTEMAS (Estudiantes Antiguos)","2021-1","SEMESTRE 2","21"
"Femenino","Envigado","Colombia","Envigado","El Salado","2","Unión libre","Nueva Promotora de Salud - Nueva EPS","C16","Urbana","Media","Empleado","Carro Particular","No aplica","Graduado","2014-06-21T10:00:00Z","NOCHE","10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos)","2015- 1","SEMESTRE 2","29"
"Masculino","Estados Unidos de America","Colombia","Envigado","Primavera","2","Soltero(a)","EPS Sura","Sin respuesta","Urbana","Básica secundaria","Estudiante básica","Público Bus o Buseta","No aplica","Inactivo","2020-07-24T10:00:00Z","MEDIA TÉCNICA","MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL","2020 - MT","NOVENO","17"
"Femenino","Anserma","Colombia","Envigado","La Mina","2","Soltero(a)","Nueva Promotora de Salud - Nueva EPS","Sin respuesta","Urbana","Media","Estudiante superior","A Pie","No aplica","Inactivo","2016-12-01T10:00:00Z","DIURNA","04T-TÉCNICO LABORAL AUXILIAR EN SEGURIDAD Y PREVENCIÓN  DE RIESGOS LABORALES (Estudiantes Antiguos)","2018-1","SEMESTRE 2","29"
"Masculino","Envigado","Colombia","Envigado","San José","2","Soltero(a)","SISBEN","B2","Urbana","Básica secundaria","Estudiante básica","Moto","No aplica","Activo","2021-02-15T10:00:00Z","DIURNA","12T-TÉCNICO LABORAL EN AUXILIAR DE RECURSO HUMANO","2021-2","SEMESTRE 2","19"
"Femenino","Medellín","Colombia","Envigado","Jardines",,"Sin Respuesta","No Aplica","Sin respuesta",,"Sin respuesta",,"Sin respuesta","No aplica","Activo","2020-09-22T10:00:00Z","DIURNA","EXTENSIÓN - BIOSEGURIDAD","2020-2","SEMESTRE 1","60"
"Masculino","Envigado","Colombia","Envigado","Sin respuesta","2","Casado(a)","Salud Total EPS","Sin respuesta","Urbana","Media","Empleado","Particular Motocicleta","No aplica","Sancionado","2018-01-22T10:00:00Z","NOCHE","03T-TÉCNICO LABORAL AUXILIAR EN LOGÍSTICA","2018-1","SEMESTRE 1","30"
"Masculino","Buenaventura","Colombia","Envigado","Milán-vallejuelos","3","Soltero(a)","Coomeva EPS","Sin respuesta","Urbana","Básica secundaria","Estudiante básica","A Pie","No aplica","Sancionado","2017-01-19T10:00:00Z","DIURNA","24T-TÉCNICO LABORAL EN MECANICA AUTOMOTRIZ (Estudiantes Antiguos)","2017-2","SEMESTRE 2","23"
"Masculino","Itagui","Colombia","Envigado","Zona Centro","3","Soltero(a)","EPS Sura","Sin respuesta","Urbana","Media","Estudiante superior","Público Metro","No aplica","Graduado","2018-12-11T10:00:00Z","NOCHE","11T-TÉCNICO LABORAL EN AUXILIAR CONTABLE (Solo Estudiantes Antiguos)","2020-1","SEMESTRE 2","21"
"Masculino","Medellín","Colombia","Envigado","Zuñiga","2","Soltero(a)","EPS Sura","Sin respuesta","Urbana","Media","Estudiante superior","Público Bus o Buseta","No aplica","Inactivo","2020-01-17T10:00:00Z","NOCHE","17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO","2020-1","SEMESTRE 1","27"
"Femenino","Aguadas","Colombia","Envigado","La Magnolia","3","Soltero(a)","Colsanitas","N0","Urbana","Media","Empleado","Público Metro","No aplica","Sin estado",,"NOCHE","14T-TÉCNICO LABORAL EN CONTABILIDAD",,,"25"
"Femenino","Medellín","Colombia","Envigado","La Magnolia","3","Soltero(a)","EPS Sura","A1","Urbana","Sin respuesta","Estudiante básica","A Pie","No aplica","Inactivo","2021-09-21T10:00:00Z","MEDIA TÉCNICA","MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL","2021 - MT","NOVENO","15"
"Masculino","Itagui","Colombia","Medellín","Sin respuesta","3","Unión libre","E.P.S. Programa Comfenalco Antioquia","Sin respuesta","Urbana","Básica secundaria","Empleado","Peatón","No aplica","Inactivo","2017-07-18T10:00:00Z","NOCHE","27T-TÉCNICO LABORAL EN MERCADEO Y VENTAS (Estudiantes Antiguos)","2017-2","SEMESTRE 1","22"
"Masculino","Betania","Colombia","Itagui","San Pio X","3","Soltero(a)","No Aplica","Sin respuesta","Urbana - rural","Media","Empleado","Particular Automóvil","No aplica","Inactivo","2015-02-03T10:00:00Z","DIURNA","24T-TÉCNICO LABORAL EN MECANICA AUTOMOTRIZ (Estudiantes Antiguos)","2015-2","SEMESTRE 2","28"
"Masculino","Envigado","Colombia","Envigado","San Rafael","2","Soltero(a)","Savia Salud","B4","Urbana","Sin respuesta","Estudiante básica","A Pie","No aplica","Activo","2021-09-06T10:00:00Z","MEDIA TÉCNICA","MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL","2021 - MT","NOVENO","17"
"Masculino","Medellín","Colombia","Envigado","Bucarest","3","Soltero(a)","Médico Preventiva","D21","Urbana","Básica secundaria","Estudiante superior","A Pie","No aplica","Activo","2021-01-28T10:00:00Z","NOCHE","17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO","2021-2","SEMESTRE 2","18"
"Masculino","Envigado","Colombia","Envigado","San José","3","Soltero(a)","Servimedicos","Sin respuesta","Urbana","Media","Desempleado","Moto","No aplica","Sin estado",,"NOCHE","19T-TÉCNICO LABORAL EN GASTRONOMIA INTERNACIONAL",,,"25"
"Masculino","Medellín","Colombia","Envigado","Las Flores","3","Soltero(a)","No Aplica","Sin respuesta","Urbana","Media","Estudiante superior","Público Bus o Buseta","No aplica","Inactivo",,,,,,"21"
"Masculino","Girardot","Colombia","Envigado","El Salado","1","Soltero(a)","Savia Salud","C13","Urbana","Media","Desempleado","A Pie","Desplazado","Activo","2021-08-11T10:00:00Z","NOCHE","17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO","2022-1","SEMESTRE 2","35"
"Femenino","Sabaneta","Colombia","Envigado","Loma Del Barro","2","Soltero(a)","EPS Sura","Sin respuesta","Urbana","Media","Desempleado","Público Bus o Buseta","No aplica","Cancelado","2021-07-31T10:00:00Z","NOCHE","03T-TÉCNICO LABORAL AUXILIAR EN LOGÍSTICA","2021-2","SEMESTRE 1","22"
"Masculino","Medellín","Colombia","Envigado","La Paz","3","Unión libre","EPS Sura","Sin respuesta","Urbana","Pregrado","Empleado","Particular Automóvil","No aplica","Graduado","2015-02-03T10:00:00Z","DIURNA","10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos)","2015-2","SEMESTRE 2","33"
"Masculino","Medellín","Colombia","Envigado","Las Flores","3","Soltero(a)","Salud Total EPS","Sin respuesta","Urbana","Media","Estudiante superior","Moto","No aplica","Inactivo","2017-07-05T10:00:00Z","DIURNA","26T-TÉCNICO LABORAL EN MECÁNICA DE MOTOS  (Estudiantes Antiguos)","2017-2","SEMESTRE 1","26"
"Masculino","Itagui","Colombia","Envigado","La Mina","2","Soltero(a)","No Aplica","Sin respuesta","Urbana","Básica secundaria",,"Sin respuesta","No aplica","Sancionado","2016-01-15T10:00:00Z","DIURNA","11T-TÉCNICO LABORAL EN AUXILIAR CONTABLE (Solo Estudiantes Antiguos)","2016-1","SEMESTRE 1","31"
"Masculino","Bello","Colombia","Envigado","Loma Del Barro","3","Soltero(a)","EPS Sura","Sin respuesta","Urbana","Básica secundaria","Estudiante superior","A Pie","No aplica","Inactivo","2019-11-21T10:00:00Z","MEDIA TÉCNICA","PROYECTOS FORMATIVOS MEDIA TECNICA","2018 - MT","ONCE","21"
"Femenino","Venezuela","Colombia","Envigado","Las Flores","2","Soltero(a)","No Aplica","N","Urbana","Sin respuesta","Estudiante básica","Público Bus o Buseta","No aplica","Inactivo","2021-10-07T10:00:00Z","MEDIA TÉCNICA","MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL","2021 - MT","NOVENO","16"
"Masculino","Medellín","Colombia","Envigado","Barrio Mesa","3","Soltero(a)","No Aplica","Sin respuesta","Urbana","Media","Independiente","Bicicleta","No aplica","Inactivo","2018-11-29T10:00:00Z","DIURNA","17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO","2019-1","SEMESTRE 1","44"
"Masculino","Envigado","Colombia","Medellín","El Tesoro","2","Sin Respuesta","EPS Sura","Sin respuesta","Rural","Sin respuesta",,"Público Bus o Buseta","No aplica","Inactivo",,,,,,"20"
"Masculino","Medellín","Colombia","Envigado","La Sebastiana","2","Soltero(a)","EPS Sura","Sin respuesta","Urbana","Media","Empleado","Sin respuesta","No aplica","Graduado","2015-02-03T10:00:00Z","DIURNA","19T-TÉCNICO LABORAL EN GASTRONOMIA INTERNACIONAL","2015-2","SEMESTRE 2","34"
"Masculino","Medellín","Colombia","Envigado","Barrio Mesa","3","Soltero(a)","EPS Sura","Sin respuesta","Urbana","Media","Empleado","Sin respuesta","No aplica","Inactivo","2015-07-28T10:00:00Z","DIURNA","17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO","2017-1","SEMESTRE 2","27"
"Femenino","Maceo","Colombia","Envigado","El Dorado","3","Soltero(a)","EPS Sura","Sin respuesta","Urbana","Sin respuesta",,"Sin respuesta","No aplica","Graduado","2015-02-03T10:00:00Z","DIURNA","17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO","2018-1","SEMESTRE 2","6"
"Masculino","Medellín","Colombia","Envigado","Vereda - Las Palmas",,"Sin Respuesta","No Aplica","Sin respuesta",,"Sin respuesta",,"Sin respuesta","No aplica","Activo","2020-10-27T10:00:00Z","DIURNA","EXTENSIÓN MANIPULACIÓN DE ALIMENTOS","2020-2","SEMESTRE 1","35"
"Masculino","Betulia","Colombia","Itagui","San Pio X","2","Soltero(a)","EPS Sura","Sin respuesta","Urbana","Básica secundaria","Empleado","Público Bus o Buseta","No aplica","Aplazamiento Semestre","2017-01-18T10:00:00Z","NOCHE","24T-TÉCNICO LABORAL EN MECANICA AUTOMOTRIZ (Estudiantes Antiguos)","2017-2","SEMESTRE 1","32"
"Masculino","Sin respuesta","Colombia","Envigado","Barrio Mesa","4","Soltero(a)","Cafesalud  EPS","Sin respuesta","Urbana","Media","Desempleado","Bicicleta","No aplica","Inactivo","2017-07-06T10:00:00Z","NOCHE","15T-TÉCNICO LABORAL EN ELECTRICIDAD (Estudiantes Antiguos)","2017-2","SEMESTRE 1","28"
"Femenino","Medellín","Colombia","Envigado","El Chocho","2","Soltero(a)","Savia Salud","B4","Rural","Sin respuesta","Estudiante básica","Público Bus o Buseta","No aplica","Activo","2021-09-06T10:00:00Z","MEDIA TÉCNICA","MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL","2021 - MT","NOVENO","15"
"Femenino","Medellín","Colombia","Envigado","La Magnolia","2","Unión libre","EPS Sura","C2","Rural","Básica secundaria","Empleado","A Pie","No aplica","Sancionado","2021-07-27T10:00:00Z","NOCHE","09T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO","2021-2","SEMESTRE 1","49"
"Femenino","Medellín","Colombia","Envigado","El Salado","2","Soltero(a)","SISBEN","Sin respuesta","Urbana","Pregrado","Empleado","Sin respuesta","No aplica","Graduado","2015-02-03T10:00:00Z","NOCHE","10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos)","2015-2","SEMESTRE 2","32"
"Masculino","Medellín","Colombia","Envigado","La Mina","2","Soltero(a)","No Aplica","C15","Urbana","Media","Empleado","Público Otro","No aplica","Inactivo","2014-06-21T10:00:00Z","DIURNA","17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO","2015-2","SEMESTRE 2","25"
"Masculino","Medellín","Colombia","Medellín","Sin respuesta","2","Soltero(a)","EPS Sura","Sin respuesta","Urbana","Media","Empleado","Moto","No aplica","Graduado","2017-01-05T10:00:00Z","NOCHE","15T-TÉCNICO LABORAL EN ELECTRICIDAD (Estudiantes Antiguos)","2018-1","SEMESTRE 2","30"
"Masculino","Sin respuesta","Colombia","Envigado","Centro","3","Soltero(a)","No Aplica","Sin respuesta","Urbana","Sin respuesta",,"Sin respuesta","No aplica","Inactivo","2014-06-21T10:00:00Z","NOCHE","11T-TÉCNICO LABORAL EN AUXILIAR CONTABLE (Solo Estudiantes Antiguos)","2014-2","SEMESTRE 1","33"
"Femenino","Santa Rosa De Cabal","Colombia","Envigado","El Chinguí","2","Casado(a)","EPS Sura","N0","Rural","Media","Empleado","Público Metro","No aplica","Activo","2022-02-12T10:00:00Z","DIURNA","12T-TÉCNICO LABORAL EN AUXILIAR DE RECURSO HUMANO","2022-1","SEMESTRE 1","31"
"Femenino","Envigado","Colombia","Envigado","La Paz","3","Soltero(a)","EPS Sura","Sin respuesta","Urbana","Media","Independiente","Público Bus o Buseta","No aplica","Graduado","2019-01-15T10:00:00Z","DIURNA","10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos)","2019-2","SEMESTRE 2","28"
