"incidentnum","servyr","servnumid","primaryoc","moniker","age_class","from_age","to_age","race","ethnic","sex","height","weight","build","complexion","eyes","glasses","hair","hairlenght","voice","facialhair","facialhaircolor","peculiarities","comment","created_on","updated_on"
"226025-2020","2020","226025-2020-01","NA-99999999-W1",,,"50","60","White","Non-Hispanic or Latino","Male",,,,,,,,,,,,,,"2020-12-19 11:58:29.0000000","2020-12-19 11:58:49.0000000"
"199441-2021","2021","199441-2021-02",,"UNK",,"0","0","Unknown","Unknown","Male",,,,,,,,,,,,,,"2021-11-09 08:48:19.0000000","2021-11-09 08:48:39.0000000"
"063257-2021","2021","063257-2021-01","FS-29990044-L101",,,"20","30","White","Unknown","Male","5'58''","140","Slight",,,,"Black",,,,,,"Clothing Description: BLUE JEANS, DARK COLORED HAT, WHITE T SHIRT AND A BLACK BACKPACK","2021-04-18 00:21:52.0000000","2021-04-18 00:21:54.0000000"
"002524-2021","2021","002524-2021-01","MA-13990001-H1",,,"0","0","Black","Non-Hispanic or Latino","Male","6'00''","190","Slight","Dark",,,,,,,,,"Clothing Description: BLACK HOODIE, BLACK LEATHER JACKET, GRAY JEAN PANT, BLUE SNEAKERS","2021-01-05 00:32:10.0000000","2021-01-15 11:09:37.0000000"
"126455-2017","2017","126455-2017-02",,,,"20","30","Black","Non-Hispanic or Latino","Male",,,,,,,,,,,,,,"2017-06-25 07:37:30.0000000","2017-06-25 07:37:30.0000000"
"119825-2019","2019","119825-2019-01","F1-12990002-C4",,,"23","24","White","Non-Hispanic or Latino","Male","5'59''",,,,,,,"Short",,,,,"Clothing Description: WHITE SHIRT","2019-06-15 00:48:12.0000000","2019-06-15 00:48:13.0000000"
"080180-2020","2020","080180-2020-01","MA-29990043-L100",,,"0","0","Unknown","Unknown","Male",,,"Medium",,,,,,,,,,"Clothing Description: LIGHT COLORED JACKET AND PANTS WITH A SKULL MASK","2020-05-05 10:28:52.0000000","2020-12-04 07:20:01.0000000"
"025550-2019","2019","025550-2019-01","F2-13150005-D4",,,"17","90","Black",,"Male",,,,,,,,,,,,,,"2019-02-06 22:47:49.0000000","2019-02-06 22:47:49.0000000"
"033133-2018","2018","033133-2018-03","F1-12990002-C4",,,"0",,"Black","Non-Hispanic or Latino","Male",,,,,,,,,,,,,"Clothing Description: UNK","2018-03-05 15:22:48.0000000","2018-03-12 13:19:16.0000000"
"196092-2021","2021","196092-2021-01","NA-99999999-Z23",,,"25","40","Black","Non-Hispanic or Latino","Male","6'60''","180",,"Dark",,,"Black","Long",,,,,"Clothing Description: BLUE JEANS AND WHITE T-SHIRT","2021-10-28 21:27:20.0000000","2021-10-28 21:27:22.0000000"
"169683-2021","2021","169683-2021-01","MA-29990043-L100","UNK",,"0","0","Unknown","Unknown","Male",,,,,,,,,,,,,"Clothing Description: WHITE SHIRT, BLACK PANTS","2021-09-18 18:50:11.0000000","2021-12-06 08:05:09.0000000"
"095982-2020","2020","095982-2020-01","MA-22990004-F1",,,"24","28","White","Hispanic or Latino","Male","5'56''","170","Light",,,,,,,,,,"Comments: SUSPECT USED UNKNOWN TOOK TO BRAKE WINDOW AND THREW TOOL ON GROUND","2020-05-31 09:10:35.0000000","2020-05-31 09:10:37.0000000"
"217818-2018","2018","217818-2018-02","F2-22990002-E5",,,"18","50","White","Hispanic or Latino","Male",,,,,,,,,,,,,,"2018-10-03 07:34:13.0000000","2018-10-03 07:34:22.0000000"
"192270-2016","2016","192270-2016-01",,,,"30","35","White","Non-Hispanic or Latino","Male",,,"Light",,,,,"Bald",,,,,,"2016-08-10 16:48:42.0000000","2016-08-10 16:48:42.0000000"
"161186-2018","2018","161186-2018-01","F2-22990002-E6",,,"28","33","White","Non-Hispanic or Latino","Male","6'01''","170","Light",,,,"Brown","Long",,,,,"Comments: SUSPECT ALSO HAD FACE COVERED WITH MUD. Clothing Description: NO SHOES, NO SHIRT, NO PANTS WEARING ONLY DARK COLORED UNDERWEAR.","2018-07-25 06:48:28.0000000","2018-07-25 06:48:31.0000000"
"168635-2014","2014","168635-2014-02",,,,"30","30","Black",,"Male",,,"Thin",,,,,,,,,,"Shirt: WHITE MUSCLE SHIRT Pants: WHITE SHOES","2014-07-14 03:40:46.0000000","2014-07-14 03:40:46.0000000"
"177186-2020","2020","177186-2020-01","MB-57070020-U291,MA-13990001-H1",,,"40","50","Black","Unknown","Male","5'57''","160",,,,,,,,,,,,"2020-10-05 02:25:14.0000000","2020-10-05 02:25:19.0000000"
"065268-2020","2020","065268-2020-01","F1-12990002-C4",,,"28","35","Black","Non-Hispanic or Latino","Male","6'00''","160","Medium","Dark",,,"Black","Short",,"Goatee",,,"Comments: POSSIBLE PUMA OR NIKE SHOES Clothing Description: WHT SS SHIRT WITH DESIGN/LOGO, DARK SHORTS, WHITE T-SHOES W/LOGO, CHIN STRAP, GOATEE, SHORT BRAIDS","2020-04-10 03:59:53.0000000","2020-04-10 03:59:54.0000000"
"211182-2016","2016","211182-2016-02",,,,"20","30","Hispanic or Latino","Hispanic or Latino","Male","6'6''","200","Heavy","Dark","Unknown",,"Black","Short","Unknown","Unshaved","Black",,"Shirt: RED TANK Jacket: N/A Pants: UNK Shoe: UNK Hat: N/A","2016-09-02 08:12:29.0000000","2016-09-02 08:12:29.0000000"
"020714-2018","2018","020714-2018-01",,,,"19","21","Black",,"Male","6'02''","230","Medium","Dark",,"Yes","Black","Short",,,,,,"2018-01-28 22:12:04.0000000","2018-01-28 22:12:04.0000000"
"276220-2015","2015","276220-2015-02",,,,"16","25","Hispanic or Latino",,"Male",,,,,,,,,,,,,,"2015-11-28 06:56:53.0000000","2015-11-28 06:56:53.0000000"
"142833-2018","2018","142833-2018-03","FS-22990001-E1",,,"15","28","White","Hispanic or Latino","Male","5'11''","170","Light","Light",,,"Black","Short",,,,,"Clothing Description: TAPER FADE, BANDANA ON FACE, LONG SLEEVE, LIGHT COLORED PANTS","2018-07-02 16:31:38.0000000","2018-07-02 16:31:38.0000000"
"063981-2021","2021","063981-2021-01","F2-13150005-D4","E",,"0","0","Black","Unknown","Male",,,,,,,"Black","Long",,,,,"Clothing Description: WHITE TSHIRT AND GRAY BASKETBALL SHORTS","2021-04-14 04:05:22.0000000","2021-04-20 14:47:37.0000000"
"090132-2018","2018","090132-2018-01","MA-13990001-H1",,,"30","40","Black",,"Male",,,"Medium",,,,"Black",,,,,,"Clothing Description: ALL BLACK CLOTHING ON YELLOW BIKE","2018-04-30 00:16:48.0000000","2018-04-30 00:16:51.0000000"
"196790-2020","2020","196790-2020-03","FS-24110003-G14",,,"14","99","White","Hispanic or Latino","Male","5'56''","225","Medium",,,,,,,,,,"Clothing Description: BLACK T SHIRT, BLACK SHORT, RED HAT, RED SHOES","2020-11-03 23:43:21.0000000","2020-11-03 23:43:22.0000000"
"260712-2015","2015","260712-2015-01",,,,"25","32","White",,"Male","6'62''","210",,,,,"Brown",,,"Goatee","Brown",,,"2015-11-08 23:39:21.0000000","2015-11-08 23:39:21.0000000"
"040101-2021","2021","040101-2021-01","MB-29990042-L99",,,"0","0","Unknown","Unknown","Male",,,,,,,,,,,,,"Clothing Description: GRAY HOODIE WITH BLUE WRITING, DARK BLUE JEANS, GLOVES AND WHITE MASK.","2021-03-09 06:52:48.0000000","2021-03-16 13:31:02.0000000"
"092633-2021","2021","092633-2021-01","MB-54990031-U267",,,"17","99","Black",,"Male",,,,,,,,,,,,,,"2021-05-27 02:05:42.0000000","2021-05-27 02:05:45.0000000"
"095275-2018","2018","095275-2018-01","FS-23990194-F195",,,"30","40","White","Non-Hispanic or Latino","Male","5'11''","220","Obese",,,,"Brown","Medium",,,,,,"2018-05-08 16:18:33.0000000","2018-05-08 16:18:33.0000000"
"153867-2019","2019","153867-2019-02","F1-12990002-C4",,,"17","99","Black",,"Male",,,,,,,,,,,,,,"2019-08-04 00:40:20.0000000","2019-08-04 00:40:20.0000000"
"046325-2015","2015","046325-2015-02",,,,"20","25","Black","Non-Hispanic or Latino","Male","5'08''","180",,,,,,,,,,,,"2015-03-02 08:39:50.0000000","2015-03-02 08:39:50.0000000"
"206728-2018","2018","206728-2018-01","F2-13150005-D4",,,"25","35","White","Non-Hispanic or Latino","Male","5'10''","160","Medium","Light","Unknown","No","Blonde","Medium","Unknown","None","N/A",,"Comments: SUSP Clothing Description: OFF WHITE SHIRT, BLUE JEANS, STRAW FEDORA HAT, BROWN BOOTS W/ TASSLES","2018-09-22 00:51:35.0000000","2018-09-22 00:51:39.0000000"
"160230-2016","2016","160230-2016-01",,,,"19","25","Black",,"Male",,,,,,,,,,,,,"Trademark: DREADS","2016-07-02 14:18:01.0000000","2016-07-02 14:18:01.0000000"
"285581-2016","2016","285581-2016-01",,,,"25","35","Hispanic or Latino","Hispanic or Latino","Male",,"260","Heavy",,,,,,,"Goatee",,,"Jacket: GREY","2016-11-30 18:31:09.0000000","2016-11-30 18:31:09.0000000"
"031955-2016","2016","031955-2016-03",,,,"18","20","Black",,"Male",,,,,,,,,,,,,"Shirt: DARK HOODIES Hat: MASK","2016-02-09 09:41:14.0000000","2016-02-09 09:41:14.0000000"
"044688-2021","2021","044688-2021-02","MA-22990004-F1",,,"13","18","White","Hispanic or Latino","Male",,,,,,,,,,,,,,"2021-03-16 09:44:22.0000000","2021-03-16 09:44:23.0000000"
"024216-2021","2021","024216-2021-01","F2-13150005-D4",,,"20","25","Black","Non-Hispanic or Latino","Male",,,,,,,,,,,,,"Clothing Description: HOODIE","2021-02-09 16:00:48.0000000","2021-02-09 16:00:49.0000000"
"163991-2019","2019","163991-2019-01","MB-23990191-F183",,,"15","20","Black","Non-Hispanic or Latino","Male","6'00''","140","Thin",,,,"Black","Medium",,,,,"Clothing Description: WHITE T-SHIRT; BASKETBALL SHORTS Trademark: SHAGGY AFRO","2019-08-13 23:08:09.0000000","2019-08-13 23:08:10.0000000"
"117471-2017","2017","117471-2017-01",,,,,,"Black",,"Male","6'01''","200",,,,,,,,,,,,"2017-05-26 15:06:24.0000000","2017-05-26 15:06:24.0000000"
"129479-2016","2016","129479-2016-01",,,,,,,,"Male",,,,,,,,,,,,,"Shirt: BLACK Jacket: BLACK SWEATER Pants: BLACK PANTS Shoe: BOOTS Hat: NONE","2016-05-31 07:05:47.0000000","2016-05-31 07:05:47.0000000"
"289310-2016","2016","289310-2016-04",,,,"20","30","Hispanic or Latino",,"Male",,,,,,,,,,,,,,"2016-12-05 06:40:29.0000000","2016-12-05 06:40:29.0000000"
"253072-2018","2018","253072-2018-02","FS-23990132-F42",,,"18","40","Black","Non-Hispanic or Latino","Male",,,,,,,,,,,,,,"2018-11-28 00:37:26.0000000","2018-11-28 00:37:27.0000000"
"003714-2017","2017","003714-2017-01",,,,"19","30","Black","Non-Hispanic or Latino","Male","6'60''","145","Thin","Dark","Brown",,"Black","Unknown",,"Goatee","Black",,"Shirt: NAVY BLUE Jacket: RED Pants: BLACK Additional Clothing: RED S GARLAND JACKET, BLUE HOODIE AND BLACK SWEAT PANTS","2017-01-05 13:57:31.0000000","2017-01-05 13:57:31.0000000"
"144091-2018","2018","144091-2018-01","FS-23990194-F194",,,"20","60","White","Hispanic or Latino","Male",,,,,,,,,,,,,,"2018-07-03 16:07:53.0000000","2018-07-03 16:07:54.0000000"
"292989-2017","2017","292989-2017-02",,,,"20","25","Hispanic or Latino","Hispanic or Latino","Male","5'08''","165",,,,,,,,,,,"Comments: (1) UNK SUSP. FRONT PASSANGER Shirt: GRAY SWEAT HOODIE Pants: BLACK JEANS Hat: GRAY BEANIE HAT Additional Clothing: GRY BEANIE HAT, GRY HOODIE, BLL JEANS","2017-12-27 21:54:14.0000000","2017-12-27 21:54:14.0000000"
"064460-2016","2016","064460-2016-01",,,,,,"Black","Non-Hispanic or Latino","Male","6'62''","250",,,,,,,,,,,"Comments: SUSPECT IDENTITY IS UNKNOWN. Additional Clothing: WEARING ALL RED CLOTHING","2016-03-18 04:42:59.0000000","2016-03-18 04:42:59.0000000"
"162676-2018","2018","162676-2018-01","MB-23990191-F183",,,"40","50","Black","Non-Hispanic or Latino","Male","5'10''","185",,,,,,,,,,,,"2018-07-27 05:44:56.0000000","2018-07-27 05:44:59.0000000"
"096945-2015","2015","096945-2015-01",,,,,,"Unknown",,"Male",,,,,,,,,,,,,,"2015-05-01 01:06:34.0000000","2015-05-01 01:06:34.0000000"
"007851-2021","2021","007851-2021-02","F1-12990002-C4",,,"0","0","Unknown","Unknown","Male",,,,,,,,,,,,,,"2021-01-14 03:24:45.0000000","2021-02-02 09:05:24.0000000"
"174199-2020","2020","174199-2020-01","NA-99999999-Z15",,,"20","25","White","Hispanic or Latino","Male",,,,,,,,,,,,,,"2020-10-07 10:13:10.0000000","2020-10-07 10:13:12.0000000"
"188267-2020","2020","188267-2020-01","NA-99999999-Z3",,,"40","50","Black","Non-Hispanic or Latino","Male","5'11''","180",,,,,,,,"Beard","White",,"Clothing Description: BLACK HAT, BLACK BACKPACK, BLUE TSHIRT, BLUE JEANS","2020-10-21 22:01:21.0000000","2020-10-21 22:01:22.0000000"
"054622-2020","2020","054622-2020-01","MA-13990001-H1",,,"25","35","Black",,"Male",,,,,"Brown",,"Black","Unknown",,,,,"Clothing Description: JEANS Trademark: SCAR UNDER RIGHT EYE","2020-03-21 21:30:33.0000000","2020-03-21 21:30:34.0000000"
"211697-2020","2020","211697-2020-02","F1-12990002-C3",,,"20","30","White","Non-Hispanic or Latino","Male",,,,,,,,,,,,,,"2020-11-26 21:42:07.0000000","2020-11-26 21:42:08.0000000"
"020992-2016","2016","020992-2016-03",,,,"20","40","Black","Non-Hispanic or Latino","Male","6'6''","0",,,,,,,,,,,"Additional Clothing: BLACK HOODIE/BLACK PANTS","2016-01-27 04:40:45.0000000","2016-01-27 04:40:45.0000000"
"287743-2017","2017","287743-2017-01",,,,,,"Black","Non-Hispanic or Latino","Male",,,,,,,,,,,,,,"2017-12-20 05:22:35.0000000","2017-12-20 05:22:35.0000000"
"024343-2018","2018","024343-2018-01",,,,"29","39","White",,"Male","5'57''","200","Heavy","Medium",,,"Brown","Short",,"Beard","Brown",,"Comments: SUSPECT ON VIDEO ,DID NOT HAVE EFFECTIVE CONSENT TO ENTER BUT HAD THE CODE. Shirt: T SHIRT Jacket: LEATHER Pants: LITE BLUE JEANS Shoe: TENNIS Hat: BLK WHITE BALL CAP Additional Clothing: WHITE/BLACK BALL CAP ,BLACK T SHIRT  LEATHER JACKET JEANS HOLES IN BOTH KNEES MUSTACHE BEARD Trademark: SIMILAR OFFENSES","2018-02-02 10:06:19.0000000","2018-02-02 10:06:19.0000000"
"246438-2016","2016","246438-2016-01",,,,,,"Hispanic or Latino","Hispanic or Latino","Male",,,,,,,,,,,,,,"2016-10-27 20:33:44.0000000","2016-10-27 20:33:44.0000000"
"215371-2018","2018","215371-2018-01","NA-99999999-X3",,,"30","40","White",,"Male",,,,,,,"Black",,,"Beard",,,"Clothing Description: GREEN SHIRT , BLUE JEANS , BEARD","2018-09-29 15:09:41.0000000","2018-09-29 15:09:42.0000000"
"050758-2019","2019","050758-2019-01","F3-48010020-U275",,,"17","21","Black",,"Male",,,,,,,,,,,,,,"2019-03-14 07:28:12.0000000","2019-03-14 07:28:29.0000000"
"191912-2019","2019","191912-2019-01","F1-12990002-C4",,,"17","18","Black","Non-Hispanic or Latino","Male","5'57''","110","Small","Medium",,,,"Medium",,,,,,"2019-09-21 08:30:07.0000000","2019-09-21 08:30:08.0000000"
"028940-2021","2021","028940-2021-02","FS-24110003-G13",,,"0","0","White","Hispanic or Latino","Male",,,,,,,,,,,,,,"2021-02-19 19:45:49.0000000","2021-02-25 13:17:25.0000000"
"036042-2021","2021","036042-2021-01","MB-23990191-F192",,,"0","0","Unknown","Unknown","Male",,,,,,,,,,,,,"Clothing Description: NFI.","2021-03-02 23:53:05.0000000","2021-05-07 12:12:36.0000000"
"095408-2021","2021","095408-2021-01","MA-13990001-H1",,,"20","35","White","Unknown","Male",,,,,,,,,,,,,,"2021-05-31 03:27:38.0000000","2021-05-31 03:27:40.0000000"
"207391-2019","2019","207391-2019-01","F2-13150004-D3",,,"30","40","Black",,"Male",,,,,,,,,,,,,"Comments: GOES BY ""LAZY EYE"" - SKINNY BUILD","2019-10-11 20:49:42.0000000","2019-10-11 20:49:43.0000000"
"280951-2017","2017","280951-2017-01",,,,"30","32","Hispanic or Latino","Hispanic or Latino","Male","5'10''","175","Medium",,"Brown",,"Black","Short",,"None","N/A",,"Jacket: BLACK JACKET Pants: BLUE JEANS Hat: RED KNIT HAT Additional Clothing: RED KNIT HAT, BLACK JACET, BLUE JEANS","2017-12-11 11:35:12.0000000","2017-12-11 11:35:12.0000000"
"227247-2015","2015","227247-2015-05",,,,"16","20","Black","Non-Hispanic or Latino","Male","5'10''","180","Medium","Dark","Brown",,"Black","Other",,"None",,,"Shirt: ORANGE Pants: BEIGE","2015-10-03 02:08:19.0000000","2015-10-03 02:08:19.0000000"
"204563-2020","2020","204563-2020-01","NA-99999999-NC51",,,"1","99","Unknown",,"Male",,,,,,,,,,,,,,"2020-11-15 15:33:04.0000000","2020-11-15 15:33:05.0000000"
"172764-2020","2020","172764-2020-02","F2-12990001-C2",,,"25","30","Black","Unknown","Male","5'00''","170",,,,,,,,,,,,"2020-10-01 10:57:22.0000000","2020-10-01 10:57:23.0000000"
"053863-2015","2015","053863-2015-04",,,,,,"Black","Hispanic or Latino","Male",,,,,,,,,,,,,,"2015-03-11 01:46:53.0000000","2015-03-11 01:46:53.0000000"
"060726-2018","2018","060726-2018-02","MA-22990004-F1",,,"0","0","Black",,"Male",,,,,,,,,,,,,,"2018-04-13 08:48:25.0000000","2018-04-13 08:48:30.0000000"
"074079-2018","2018","074079-2018-01","FS-22990001-E2",,,"25","35","Black",,"Male",,,,,,,,,,,,,,"2018-04-09 21:21:08.0000000","2018-04-09 21:21:15.0000000"
"197000-2017","2017","197000-2017-01",,,,"18","20","Black",,"Male","5'57''","150","Slight","Dark",,,,,,,,,"Shirt: GRAY HOODIE Pants: BLACK SHORTS","2017-08-28 19:24:04.0000000","2017-08-28 19:24:04.0000000"
"182476-2017","2017","182476-2017-01",,,,,,"Hispanic or Latino","Hispanic or Latino","Male","5'56''",,,,,,"Black",,,,,,,"2017-08-12 05:08:34.0000000","2017-08-12 05:08:34.0000000"
"021386-2019","2019","021386-2019-01","F1-12990002-C4",,,"25","30","Black",,"Male","5'10''",,,"Dark",,,,,,,,,"Clothing Description: GREY HOODIE, BLUE JEANS","2019-02-04 01:37:27.0000000","2019-02-04 01:37:29.0000000"
"074764-2017","2017","074764-2017-01",,,,"23","27","Black",,"Male","6'00''","170","Light","Dark",,,"Black","Other",,,,,"Shirt: BLACK T SHIRT Pants: DARK PANTS","2017-04-04 13:14:09.0000000","2017-04-04 13:14:09.0000000"
"023044-2020","2020","023044-2020-01","MA-13990001-H1",,,"30","40","Black","Non-Hispanic or Latino","Male","5'59''","140","Small",,"Brown","No","Black","Short",,"None",,,"Clothing Description: RED SHIRT, RED PANTS","2020-02-05 00:16:17.0000000","2020-02-05 00:16:27.0000000"
"223871-2016","2016","223871-2016-01",,,,,,"Black","Non-Hispanic or Latino","Male",,,,,,,,,,,,,"Comments: THEFT OF PROPERTY","2016-10-21 08:15:34.0000000","2016-10-21 08:15:34.0000000"
"159867-2018","2018","159867-2018-01","FS-23990132-F42",,,"30","38","White","Non-Hispanic or Latino","Male","6'63''","170",,,,,"Brown","Short",,"None","N/A",,"Clothing Description: BLUE SHIRT, JEANS","2018-07-22 06:16:19.0000000","2018-07-22 06:16:23.0000000"
"131013-2017","2017","131013-2017-01",,,,,,,,"Male",,,"Medium",,,,,,,,,,"Jacket: BLACK HOOD W/ WHITE LETTERS Pants: BLUE JEAN SHORTS Shoe: WHITE Additional Clothing: WHITE MASK Trademark: BETWEEN 150-180 LBS","2017-06-10 11:13:13.0000000","2017-06-10 11:13:13.0000000"
"269784-2017","2017","269784-2017-01",,,,,,"Unknown","Hispanic or Latino","Male","5'58''","120","Light",,,,,,,,,,"Jacket: BLACK HOODIE Pants: BLUE JEANS Additional Clothing: MASK","2017-11-27 12:10:45.0000000","2017-11-27 12:10:45.0000000"
"201992-2017","2017","201992-2017-02",,,,"30",,"White",,"Male",,,,,,,,,,,,,"Trademark: LARGE AMOUNT OF TATTOOS","2017-09-03 19:32:05.0000000","2017-09-03 19:32:05.0000000"
