"businessname","contractorlicensenumber","contractorlicensetypecode","contractorlicensetypecodedesc","address1","address2","city","state","zip","phonenumber","licenseeffectivedate","licenseexpirationdate","businesstypecode","businesstypecodedesc","specialtycode1","specialtycode1desc","specialtycode2","specialtycode2desc","ubi","primaryprincipalname","statuscode","contractorlicensestatus","contractorlicensesuspenddate"
"JOC GENERAL CONTRACTOR LLC","JOCGEGC809BZ","CC","CONSTRUCTION CONTRACTOR","218 SW 301ST ST",,"FEDERAL WAY","WA","98023","2533475395","2020-01-09T00:00:00.000","2024-01-10T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604385019","CASSIO CERDA, JORGE OMAR","A","ACTIVE",
"EXCAVATORS NORTHWEST","EXCAVN*908O7","CC","CONSTRUCTION CONTRACTOR","PO BOX 70286",,"SEATTLE","WA","98107","2069482000","2010-09-27T00:00:00.000","2024-07-28T00:00:00.000","C","Corporation","01","GENERAL",,,"601939289","SHIELDS, FRANK LYTTON","A","ACTIVE",
"ANDERBAR CONSTRUCTION LLC","ANDERCL814PW","CC","CONSTRUCTION CONTRACTOR","12391 GLENWOOD RD SW",,"PORT ORCHARD","WA","98367","3608652450","2019-10-16T00:00:00.000","2023-10-16T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604516985","MERCER, IAN EDWARD","A","ACTIVE",
"HNF CONSTRUCTION LLC","HNFCOCL785KD","CC","CONSTRUCTION CONTRACTOR","8906 16TH PL SE",,"LAKE STEVENS","WA","98258","3605409961","2022-07-13T00:00:00.000","2024-07-13T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604818577","ERDMANN, RYAN MICHAEL","A","ACTIVE",
"SA Construction","SACONC*905BF","CC","CONSTRUCTION CONTRACTOR","233 167th St E",,"SPANAWAY","WA","98387","2533534311","2010-01-06T00:00:00.000","2024-02-11T00:00:00.000","I","Individual","RE","Tile, Ceramic, Mosaic, Natural and MFG Stone",,,"602977969","Scripnic, Andrei","A","ACTIVE",
"AZ CONSTRUCTION LLC","AZCONCL794C3","CC","CONSTRUCTION CONTRACTOR","PO BOX 331",,"MOUNT ANGEL","OR","97362","5038074263","2021-02-23T00:00:00.000","2023-02-23T00:00:00.000","L","Limited Liability Company","SL","Framing and Rough Carpentry",,,"604703782","ZENUHIN, ALEX","S","SUSPENDED","2021-10-06T00:00:00.000"
"WALL TO WALL PAINTING","WALLWWP834MJ","CC","CONSTRUCTION CONTRACTOR","407 N Elm Ave",,"PASCO","WA","99301","5095398289","2017-07-11T00:00:00.000","2023-10-06T00:00:00.000","I","Individual","CB","PAINTING/WALLCOVERING",,,"604146482","RIVAS, FELIX ANDREW","A","ACTIVE",
"AULD FLOORS & MORE LLC","AULDFFM854P6","CC","CONSTRUCTION CONTRACTOR","140 PANORAMA RD",,"WOODLAND","WA","98674","5039575967","2015-10-26T00:00:00.000","2023-10-26T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"603549478","AULD, PAMELA DAWN","A","ACTIVE",
"JI Maintenance","JIMAIM*843P8","CC","CONSTRUCTION CONTRACTOR","18324 152nd Court SE",,"Yelm","WA","98597","2063711908","2016-10-28T00:00:00.000","2018-10-28T00:00:00.000","I","Individual","PW","PRESSURE WASHING",,,"604022998","Uribe Alencastro, Eduardo","E","EXPIRED",
"SPENCER WALDIE INC","SPENCWI000DM","CC","CONSTRUCTION CONTRACTOR","4217 85TH AVE SE",,"MERCER ISLAND","WA","98040","2062308672","2000-03-14T00:00:00.000","2023-01-31T00:00:00.000","C","Corporation","01","GENERAL",,,"601783960","WALDIE, IAN SPENCER","S","SUSPENDED","2022-01-10T00:00:00.000"
"NATURAL GAS SERVICES LLC","NATURGS954PQ","EC","ELECTRICAL CONTRACTOR","718 GRIFFIN AVE # 36",,"ENUMCLAW","WA","98022","2539315479","2007-10-05T00:00:00.000","2021-10-06T00:00:00.000","L","Limited Liability Company","6A","HVAC/RFRG",,,"602160098","PELLETIER, DANIEL","E","EXPIRED",
"NELSON EXCAVATING LLC","NELSOEL821BS","CC","CONSTRUCTION CONTRACTOR","486 HAWKINS RD",,"ZILLAH","WA","98953","5099529166","2018-01-10T00:00:00.000","2022-01-10T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604200439","NELSON, MARK EDWARD","E","EXPIRED","2020-12-09T00:00:00.000"
"AM PAINTING","AMPAIP*823C7","CC","CONSTRUCTION CONTRACTOR","12800 se 318th way",,"Auburn","WA","98092","4256147478","2018-02-27T00:00:00.000","2024-03-02T00:00:00.000","I","Individual","01","GENERAL",,,"604129015","JIMENEZ MENDOZA, LUIS ANTONIO","A","ACTIVE",
"JEANPRO PAINTING LLC","JEANPPL786DB","CC","CONSTRUCTION CONTRACTOR","4500 HARBOUR POINTE BLVD #121",,"MUKILTEO","WA","98275","2068804840","2022-03-02T00:00:00.000","2024-03-02T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604855487","GONZALEZ SUAREZ, JEAN CARLOS","A","ACTIVE",
"VASHON CONSTRUCTION","VASHOC*802C8","CC","CONSTRUCTION CONTRACTOR","19505 Vashon HWY STE A",,"Vashon","WA","98070","2069993721","2020-02-28T00:00:00.000","2024-03-02T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604574074","MITCHELL, KEVIN DANIEL","A","ACTIVE",
"PEAK DRYWALL SOLUTIONS INC","PEAKDDS800MZ","CC","CONSTRUCTION CONTRACTOR","12100 NORTHUP WAY SUITE 110",,"BELLEVUE","WA","98005","4252005339","2020-07-09T00:00:00.000","2024-07-13T00:00:00.000","C","Corporation","01","GENERAL",,,"604587466","PACIFIC CONST PARTNERS INC","A","ACTIVE",
"ABB SOLUTION LLC","ABBSOSL783JG","CC","CONSTRUCTION CONTRACTOR","29211 58TH PL S",,"AUBURN","WA","98001","2532594500","2022-04-12T00:00:00.000","2024-04-12T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604850090","ROMANETS, ROMAN PAVLOVICH","A","ACTIVE",
"GJON ELECTRIC LLC","GJONEEL781DU","EC","ELECTRICAL CONTRACTOR","838 3RD AVE N APT1",,"KENT","WA","98032","4257329257","2022-04-01T00:00:00.000","2024-04-01T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604888184","Aleksander, Lesi","A","ACTIVE",
"SPECIALTY PUMP SERVICE INC","SPECIPS835PF","CC","CONSTRUCTION CONTRACTOR","4712 S THOR ST",,"SPOKANE","WA","99223","5095343382","2017-10-06T00:00:00.000","2021-10-06T00:00:00.000","C","Corporation","01","GENERAL","90",,"602463930","Socci, III, James Joseph","E","EXPIRED",
"JURCEVICH FRAMING LLC","JURCEFL794DA","CC","CONSTRUCTION CONTRACTOR","11579 N Hauser Lake Rd",,"HAUSER","ID","83854","2087044641","2021-04-08T00:00:00.000","2023-04-08T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604531710","Jurcevich, Dustin George","S","SUSPENDED","2022-01-10T00:00:00.000"
"BROERSMA PLUMBING LLC","BROERPL793O8","PC","PLUMBING CONTRACTOR","11119 NE 192ND AVE",,"BRUSH PRAIRIE","WA","98606","3609779071","2021-10-05T00:00:00.000","2023-10-05T00:00:00.000","L","Limited Liability Company","01","JOURNEY LEVEL",,,"602942391","BROERSMA, RONALD ALAN","A","ACTIVE",
"CREATION CONSTRUCTION","CREATC*841PS","CC","CONSTRUCTION CONTRACTOR","723 N CUSHMAN AVE","APT 6","TACOMA","WA","98403","2534058209","2016-10-10T00:00:00.000","2022-10-10T00:00:00.000","I","Individual","SB","Cabinets, Millwork and Finish Carpentry",,,"604038554","HARRINGTON-JAMES, JOANNE","A","ACTIVE",
"BETO'S LANDSCAPING","BETOSL*803MO","CC","CONSTRUCTION CONTRACTOR","3903 E 18TH ST #33",,"VANCOUVER","WA","98661","9712081138","2020-07-20T00:00:00.000","2024-07-20T00:00:00.000","I","Individual","01","GENERAL",,,"604603897","MORENO, ANNA MONIQUE","A","ACTIVE",
"THE DUCT CLEANERS","DUCTCDC823DN","CC","CONSTRUCTION CONTRACTOR","7831 196th St. SW #101",,"Edmonds","WA","98026","2064809090","2018-03-15T00:00:00.000","2024-04-12T00:00:00.000","L","Limited Liability Company","SO","Insulation and Acoustical",,,"603587534","FOX, DUSTIN LEE","A","ACTIVE",
"PC2 LLC","PC2LLL*806PW","CC","CONSTRUCTION CONTRACTOR","1097 N ROSARIO ST STE 200",,"MERIDIAN","ID","83642","2083234500","2020-10-16T00:00:00.000","2022-10-16T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604548993","FRANK, JERALD SCOTT","S","SUSPENDED","2021-10-06T00:00:00.000"
"DAN'S TREE SERVICE LLC","DANSTTS822JJ","CC","CONSTRUCTION CONTRACTOR","35025 SE 257TH ST",,"RAVENSDALE","WA","98051","4254174182","2018-04-11T00:00:00.000","2024-04-20T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604196956","FLAHERTY, DANIEL OWEN","A","ACTIVE",
"BAROUMES BACKFLOWS LLC","BAROUBL787JH","CC","CONSTRUCTION CONTRACTOR","2009 147TH ST CT E",,"TACOMA",,"98445","2537200537","2022-04-11T00:00:00.000","2024-04-11T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604822337","BAROUMES, BRENDIN HAROLD","A","ACTIVE",
"BESTPAINTERG","BESTP**785JK","CC","CONSTRUCTION CONTRACTOR","3000 ROYAL HILLS DR SE","APT 19-I","RENTON","WA","98058","2064602165","2022-04-12T00:00:00.000","2024-04-12T00:00:00.000","I","Individual","CB","PAINTING/WALLCOVERING",,,"604897057","GOLYSHEVSKY, VENIAMIN V","A","ACTIVE",
"HAMILTON-WILLIAMS MGMT LLC","HAMILML796DU","CC","CONSTRUCTION CONTRACTOR","1632 King Rd",,"WINLOCK","WA","98596","3608801188","2021-04-26T00:00:00.000","2023-04-26T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604521085","Hamilton, Cory Dean","S","SUSPENDED","2021-10-06T00:00:00.000"
"SACHEEN SEWER SERVICES LLC","SACHESS786JE","CC","CONSTRUCTION CONTRACTOR","5977 HWY 211",,"NEWPORT","WA","99156","5098448802","2022-04-12T00:00:00.000","2024-04-12T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604770141","JOHNSON, NATHAN SPENCER","A","ACTIVE",
"WESTERN GARDENS INC","WESTEG*005DF","CC","CONSTRUCTION CONTRACTOR","1992 Elger Bay Rd","PMB525","CAMANO ISLAND","WA","98282","3603870811","2001-02-15T00:00:00.000","2024-01-10T00:00:00.000","C","Corporation","01","GENERAL",,,"602012382","BEYKOVSKY, PAUL JOSEPH","A","ACTIVE",
"ANANIA TRUCKING/EXCAVATING LLC","ANANITL854QF","CC","CONSTRUCTION CONTRACTOR","PO BOX 506",,"COUPEVILLE","WA","98239","3606327431","2015-11-06T00:00:00.000","2023-11-06T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"603553593","ANANIA, DOMINIC MARSHALL","A","ACTIVE",
"NEW ROOTS RENOVATION","NEWRORR816NT","CC","CONSTRUCTION CONTRACTOR","711 WINCHELL AVE",,"VANCOUVER","WA","98661","5033492841","2019-11-01T00:00:00.000","2023-11-01T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604482159","BARRY, ZACHARY THOMAS","A","ACTIVE",
"SPEED PAINTING LLC","SPEEDPL866K3","CC","CONSTRUCTION CONTRACTOR","10803 14TH AVE S",,"SEATTLE","WA","98168","2063877781","2014-05-23T00:00:00.000","2022-01-10T00:00:00.000","L","Limited Liability Company","CB","PAINTING/WALLCOVERING",,,"602736383","MENDEZ ROSALES, KELVIN","E","EXPIRED","2020-12-06T00:00:00.000"
"RIVERFRONT PHASE 3 LLC","RIVERP3802BG","CC","CONSTRUCTION CONTRACTOR","11624 SE 5th St Ste210",,"BELLEVUE","WA","98005","4255592300","2020-01-07T00:00:00.000","2024-01-07T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604483291","GOW, JEFFERY D","A","ACTIVE",
"J THOMPSON CONSTRUCTION","JTHOMTC786JK","CC","CONSTRUCTION CONTRACTOR","17001 NE 4TH PLAIN BLVD",,"VANCOUVER","WA","98682","5413730882","2022-04-12T00:00:00.000","2024-04-12T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604084463","Thompson, Jonathon","A","ACTIVE",
"GREY PEAK LLC","GREYPPL786JH","CC","CONSTRUCTION CONTRACTOR","8727 N Courcelles Pkwy",,"HAYDEN","ID","83835","5093013563","2022-04-08T00:00:00.000","2024-04-08T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604893523","Wijma, Hans Gosse","A","ACTIVE",
"PMG Mechanical Inc","PMGMEI*053DA","CC","CONSTRUCTION CONTRACTOR","15600 NE 8TH ST STE B1 #671",,"BELLEVUE","WA","98008","2066245040","1995-03-01T00:00:00.000","2024-04-17T00:00:00.000","C","Corporation","SM","Heating/Vent/Air-Conditioning and Refrig (HVAC/R)",,,"601534791","GAULKE, BRENT STEVE","A","ACTIVE",
"ALL CABINET SERVICES LLC","ALLCACS839QF","CC","CONSTRUCTION CONTRACTOR","1018 SW IVORY LOOP",,"GRESHAM","OR","97080","5037291301","2017-11-06T00:00:00.000","2023-11-06T00:00:00.000","L","Limited Liability Company","SB","Cabinets, Millwork and Finish Carpentry",,,"604185485","VAZQUEZ, LEOPOLDO","A","ACTIVE",
"MARTIR CONSTRUCTION LLC","MARTICL863Q5","CC","CONSTRUCTION CONTRACTOR","5703 120th ST",,"SEATTLE","WA","98178","2064065741","2014-11-25T00:00:00.000","2022-11-25T00:00:00.000","L","Limited Liability Company","SW","Siding",,,"603437111","AGUILAR AVILA, JULIO M","A","ACTIVE",
"FRIEDMAN-HONG BROS CONST LLC","FRIEDBC786ML","CC","CONSTRUCTION CONTRACTOR","718 NE 60TH ST",,"SEATTLE","WA","98115","2067954636","2022-07-13T00:00:00.000","2024-07-13T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604929002","FRIEDMAN, DAVID ALEXANDER","A","ACTIVE",
"SAMRUK LLC","SAMRUL*827DF","CC","CONSTRUCTION CONTRACTOR","4429 85TH PL SW",,"MUKILTEO","WA","98275","2069545323","2018-03-06T00:00:00.000","2024-04-12T00:00:00.000","L","Limited Liability Company","SW","Siding",,,"604235015","RUBANOV, MAKSYM","A","ACTIVE",
"MONTEMAYOR TRANSPORT LLC","MONTETL795CJ","CC","CONSTRUCTION CONTRACTOR","PO BOX 426",,"OTHELLO","WA","99344","5099894626","2021-02-11T00:00:00.000","2023-02-11T00:00:00.000","L","Limited Liability Company","SE","Construction Clean-up",,,"604378165","Montemayor, Teodulo III","S","SUSPENDED","2022-01-10T00:00:00.000"
"GRITTY LANDS DEVELOPMENT LLC","GRITTLD789KB","CC","CONSTRUCTION CONTRACTOR","2900 N GOVERNMENT WAY # 167",,"COEUR D ALENE","ID","83815","2086596416","2022-04-22T00:00:00.000","2024-04-22T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604865753","DEMERS, GARRETT TERRY","A","ACTIVE",
"LOGAN CONSTRUCTION LLC","LOGANCL805PK","CC","CONSTRUCTION CONTRACTOR","9718 52ND ST W APT B",,"UNIVERSITY PLACE","WA","98467","2533134531","2020-10-12T00:00:00.000","2022-10-12T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604653813","STANISLAV, LOGAN","A","ACTIVE",
"PBJ CONSTRUCTION","PBJCOC*846N9","CC","CONSTRUCTION CONTRACTOR","435 PLEASANT VALLEY RD",,"MINERAL","WA","98355","2532796191","2016-08-29T00:00:00.000","2024-09-21T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604024712","Larrow, David Jacob","A","ACTIVE",
"DJL GLASS","DJLGLG*844D9","CC","CONSTRUCTION CONTRACTOR","21246 S BAKERS FERRY RD",,"OREGON CITY","OR","97045","5036318984","2016-03-29T00:00:00.000","2024-04-12T00:00:00.000","I","Individual","BP","GLAZING/GLASS",,,"603601785","LEECH, DONALD JAMES","A","ACTIVE",
"FREEMAN BUILDING COMPANY LLC","FREEMBC802BW","CC","CONSTRUCTION CONTRACTOR","2105 Walnut Rd NW",,"OLYMPIA","WA","98502","3607919965","2020-01-16T00:00:00.000","2024-01-16T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604556757","Freeman, Jeffrey Dean","A","ACTIVE",
"SAWYER COMPANY INC, THE","SAWYE**034JK","CC","CONSTRUCTION CONTRACTOR","903 183rd PL SE",,"BOTHELL","WA","98012","3065133852","1997-04-12T00:00:00.000","2024-04-16T00:00:00.000","C","Corporation","01","GENERAL",,,"601771723","SAWYER, GARY DENNIS","A","ACTIVE",
"Seattle Grounds Management LLC","SEATTGM856OQ","CC","CONSTRUCTION CONTRACTOR","1203 S DONOVAN ST",,"SEATTLE","WA","98108","2062267318","2015-09-18T00:00:00.000","2023-10-06T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"603455445","Nuth, Bunna","A","ACTIVE",
"EVERLAST HARDWOOD FLOORS INC","EVERLHF945L6","CC","CONSTRUCTION CONTRACTOR","6242 NE 27th ST",,"TACOMA","WA","98422","2533328597","2006-06-26T00:00:00.000","2024-07-23T00:00:00.000","C","Corporation","SK","Floor Covering and Counter Tops",,,"602528699","SHKARIN, ALEKSEY SERGEEVICH","A","ACTIVE",
"CROW SEPTIC SOLUTIONS LLC","CROWSSS814OT","CC","CONSTRUCTION CONTRACTOR","32650 STATE ROUTE 20,","SUITE B102, #42","OAK HARBOR","WA","98277","3608533642","2019-09-30T00:00:00.000","2023-10-06T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604491145","PADGETT, SHAWN GORDON","A","ACTIVE",
"JJJ CONSTRUCTION LLC","JJJCOCL824BH","CC","CONSTRUCTION CONTRACTOR","24620 Russell Rd #R-202",,"KENT","WA","98032","2065486138","2018-01-08T00:00:00.000","2022-01-10T00:00:00.000","I","Individual","01","GENERAL",,,"603122800","Sanchez Vallejo, Juan Gabriel","E","EXPIRED",
"ANDERSON & SNS PTYMTC/CONS LLC","ANDERSP781JK","CC","CONSTRUCTION CONTRACTOR","6553 LUNDE RD",,"EVERSON","WA","98247","3606844416","2022-04-12T00:00:00.000","2024-04-12T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604897203","ANDERSON, BRIAN TAIT","A","ACTIVE",
"R-C TRUE LINE CORPORATION","RCTRULC038QG","EC","ELECTRICAL CONTRACTOR","18415 78TH AVE E",,"PUYALLUP","WA","98375","2538461562","1997-11-07T00:00:00.000","2023-11-07T00:00:00.000","C","Corporation","01","GENERAL",,,"601828382","RAU, ROBERT H","A","ACTIVE",
"A CLEAR SOLUTION","CLEARCS815BS","CC","CONSTRUCTION CONTRACTOR","PO Box 1802",,"SILVERDALE","WA","98383","3606989400","2019-01-10T00:00:00.000","2023-02-05T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604379866","GIFFEY, JOHN CORY","S","SUSPENDED","2022-01-10T00:00:00.000"
"BRADLEY LOUDERBACK CONSTR LLC","BRADLLC949M7","CC","CONSTRUCTION CONTRACTOR","PO BOX 608",,"SHELTON","WA","98584","3604261412","2006-07-27T00:00:00.000","2024-07-27T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"602628550","LOUDERBACK, CRAIG STEPHEN","A","ACTIVE",
"PRINGLES POWER VAC INC","PRINGPV936DA","CC","CONSTRUCTION CONTRACTOR","2395 ROBERTSON DR",,"RICHLAND","WA","99354","5093750500","2007-03-01T00:00:00.000","2024-07-13T00:00:00.000","C","Corporation","SM","Heating/Vent/Air-Conditioning and Refrig (HVAC/R)",,,"601093859","LASATER, DAVID LELAND","A","ACTIVE",
"Blue Collar Spokane","BLUECCS781JJ","CC","CONSTRUCTION CONTRACTOR","8020 E Mission",,"SPOKANE VALLEY","WA","99212","5093621105","2022-04-11T00:00:00.000","2024-04-11T00:00:00.000","I","Individual","01","GENERAL",,,"604107885","BAKKEN, THOMAS JASON","A","ACTIVE",
"DEDICATED TILE COMPANY LLC","DEDICTC846KL","CC","CONSTRUCTION CONTRACTOR","23414 Rhododendron Ln NW",,"POULSBO","WA","98370","4252382395","2016-05-15T00:00:00.000","2024-05-15T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"603597448","Mason, Gregory Lynn","A","ACTIVE",
"DM PAINTING","DMPAIP*841PU","CC","CONSTRUCTION CONTRACTOR","6413 123RD AVE SE TRLR 1",,"SNOHOMISH","WA","98290","4257377029","2016-10-31T00:00:00.000","2022-10-31T00:00:00.000","I","Individual","CB","PAINTING/WALLCOVERING",,,"603613622","MENDEZ MATA, DOMINGO","A","ACTIVE",
"KOHLI BUILDERS LLC","KOHLIBL783JK","CC","CONSTRUCTION CONTRACTOR","16725 46TH LANE SOUTH",,"SEATAC","WA","98188","2063305574","2022-04-12T00:00:00.000","2024-04-12T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604837829","KOHLI, SUNNY","A","ACTIVE",
"HANDYMAN HAVER","HANDYH*800BS","CC","CONSTRUCTION CONTRACTOR","14524 SHERMAN DR NW",,"GIG HARBOR","WA","98332","3086721005","2020-01-10T00:00:00.000","2022-01-10T00:00:00.000","I","Individual","01","GENERAL",,,"604557658","HAVER, STEVEN L","E","EXPIRED","2022-01-09T00:00:00.000"
"HAMMING HOMES LLC","HAMMIHL912OJ","CC","CONSTRUCTION CONTRACTOR","P O BOX 1725",,"OAK HARBOR","WA","98277","3606755120","2009-09-11T00:00:00.000","2021-10-06T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"602772866","HAMMING, GREGORY TODD","E","EXPIRED","2020-10-05T00:00:00.000"
"PICATTI BROTHERS INC","PICATBI791ON","PC","PLUMBING CONTRACTOR","PO BOX 9576",,"YAKIMA","WA","98909","5092482540","2021-09-24T00:00:00.000","2023-09-24T00:00:00.000","C","Corporation","03","PUMP & IRRIGATION",,,"397015849","PICATTI, DONALD S","A","ACTIVE",
"AMAYAPARADA GNRL CONTRNG LL","AMAYAGC794B9","CC","CONSTRUCTION CONTRACTOR","326 PACIFIC AVE",,"BREMERTON","WA","98337","2534145315","2021-01-29T00:00:00.000","2023-01-29T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604679531","AMAYA, MARIO","A","ACTIVE",
"Bliven Painting","BLIVEP*853PF","CC","CONSTRUCTION CONTRACTOR","13011 Military Rd S",,"TUKWILA","WA","98168","2063532174","2015-10-06T00:00:00.000","2021-10-06T00:00:00.000","I","Individual","CB","PAINTING/WALLCOVERING",,,"602423547","Bliven, Blake Anthony","E","EXPIRED","2021-08-15T00:00:00.000"
"VIP PRECISION TILE & NATU STON","VIPPRPT920OB","CC","CONSTRUCTION CONTRACTOR","3094 S. 276th Court",,"AUBURN","WA","98001","2067694994","2008-09-02T00:00:00.000","2023-05-18T00:00:00.000","I","Individual","RE","Tile, Ceramic, Mosaic, Natural and MFG Stone",,,"602786141","PETRIK, VITALIY","A","ACTIVE",
"A Carpenter Son LLC","CARPECS880O8","CC","CONSTRUCTION CONTRACTOR","403 Mckenzie Ave sw",,"YELM","WA","98597","3602398691","2012-09-28T00:00:00.000","2022-10-25T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"603241468","Arnestad, Jeremiah Joel","A","ACTIVE",
"OREGON CNCRT RESURFACING LLC","OREGOCR789JK","CC","CONSTRUCTION CONTRACTOR","12912 NE PINEBROOK ST",,"VANCOUVER","WA","98684","9713013383","2022-04-12T00:00:00.000","2024-04-12T00:00:00.000","L","Limited Liability Company","SK","Floor Covering and Counter Tops",,,"604896444","EICHHORN, DAVID MERLE","A","ACTIVE",
